"sample.depths","sample.ages","upland.sum","Betula","Carya","Asteraceae.undiff.","Cyperaceae","Poaceae.undiff.","Platanus","Quercus","Rumex","Salix","Ulmus","Vitis","Zea.mays","Alnus","Acer","Ambrosia","Fraxinus","Juglans","Pinus","Amaranthaceae","Eucalyptus","Rhus","Fabaceae","Populus","Caryophyllaceae","Celtis","Fagus","Ostrya.Carpinus","Corylus","Liquidambar","Tsuga","Rosaceae","Plantago","Phlox","Nyssa","Cupressaceae","Iris","Parthenocissus","Picea","Thalictrum","Tilia","Portulaca","Urtica","Viburnum","Castanea","Polygonaceae.undiff.","Impatiens","Onagraceae","Dipsacus","Apiaceae"
30,64,331,1,1,14,8,20,1,23,1,59,10,3,1,1,2,70,2,1,4,52,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,81,427,4,3,26,0,19,0,27,0,48,0,0,0,1,5,99,4,4,7,85,92,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,98,326,3,29,24,14,15,4,99,0,0,10,1,0,0,0,38,10,4,4,4,58,0,1,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,115,452,2,9,142,12,20,0,69,0,5,9,0,0,1,2,80,2,2,8,31,51,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,132,387,1,42,30,22,20,2,134,0,0,14,0,0,0,4,53,5,5,4,7,38,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,149,419,1,21,44,23,37,4,126,2,0,6,0,0,0,5,60,2,11,4,3,59,0,3,0,0,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,166,400,1,28,43,19,12,4,139,0,2,8,0,0,1,4,63,3,2,3,1,54,0,3,0,0,2,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,183,324,4,19,24,21,16,6,104,0,1,0,0,0,0,4,46,4,7,2,0,54,0,2,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,200,318,2,31,14,6,7,1,173,0,1,9,0,0,0,2,12,2,3,6,1,39,0,0,0,0,0,4,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,284,346,5,55,0,4,3,9,168,0,3,4,0,0,0,2,3,0,5,8,1,67,0,0,0,0,0,5,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,368,327,4,55,0,2,3,8,156,0,1,6,1,0,0,4,4,12,1,4,0,57,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,452,349,6,56,1,9,2,5,163,0,0,7,0,0,1,3,1,10,3,7,0,67,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,536,362,4,33,3,14,1,2,147,0,0,8,1,0,0,0,7,1,6,4,2,116,0,0,1,4,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,620,363,4,66,0,13,6,4,172,0,0,10,0,0,0,2,4,13,7,5,0,51,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
190,704,323,6,46,0,11,0,10,154,0,1,7,1,0,0,2,6,7,4,6,2,47,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
210,788,326,5,42,0,18,2,12,161,0,2,6,0,0,0,1,8,8,3,2,0,44,0,0,0,8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,872,302,3,24,0,1,1,8,131,0,1,5,0,0,0,2,0,9,3,2,0,30,0,0,0,73,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,956,415,4,54,2,19,3,10,211,0,2,12,2,0,0,5,2,10,2,6,0,50,0,0,0,10,1,7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
270,1040,307,1,37,2,5,1,4,171,0,1,3,1,0,1,2,6,8,4,5,3,41,0,0,0,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
290,1124,429,1,57,2,8,1,5,245,0,0,20,0,0,0,3,5,12,8,3,1,50,0,0,0,0,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
310,1208,539,4,101,1,3,1,8,256,0,1,18,1,0,1,3,14,9,8,9,2,82,0,0,0,0,2,10,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
330,1292,506,3,83,8,5,8,18,236,0,2,16,0,0,0,5,29,10,13,8,2,48,0,0,0,1,1,3,0,2,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
350,1375,598,9,102,3,0,12,14,293,0,1,20,0,0,0,5,28,18,17,8,3,44,0,0,0,1,3,11,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,1459,424,4,86,1,2,3,11,181,0,2,19,0,1,0,5,17,13,5,7,2,50,0,0,0,0,0,7,0,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
390,1543,353,5,51,1,0,15,4,121,0,1,9,0,0,0,3,62,5,3,12,5,43,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0
410,1626,469,4,47,7,9,18,9,189,0,4,17,0,0,0,4,46,8,3,14,18,62,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
420,1667,301,1,23,1,2,5,6,140,0,1,6,1,0,0,7,36,2,1,11,8,34,0,3,0,0,0,3,2,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0
430,1708,406,4,28,7,6,23,7,122,0,3,6,2,0,0,5,54,10,3,11,27,73,0,5,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
440,1749,335,3,28,7,14,16,12,98,0,3,8,0,0,1,6,44,6,10,6,4,59,0,1,0,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
