"sample.depths","sample.ages","upland.sum","Acer.negundo","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Betula","Bidens.type","Carya","Caryophyllaceae","Iva.annua.type","Corylus","Cyperaceae","Fraxinus..tricolpate.","Fraxinus.undiff.","Gleditsia","Poaceae.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Liquidambar","Morus","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Planera.aquatica","Platanus","Quercus","Rhus","Rubus","Rumex","Salix","Sambucus","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Zea.mays","Amaranthaceae","Cupressaceae.undiff.","Acer.saccharinum","Cephalanthus.occidentalis","Populus.deltoides.type","Viburnum.acerifolium.type","Viburnum.lentago.type","Celtis.Maclura.type","Fraxinus.pennsylvanica.F..americana.type","Artemisia","Asteraceae.subf..Cichorioideae","Plantago.undiff.","Taxodium","Thalictrum","Urtica","Toxicodendron.radicans","Fraxinus.quadrangulata.F..nigra.type","Tilia","Acer.saccharum","Prunus.virginiana.type","Lamiaceae.undiff.","Plantago.major","Polygonum.hydropiper.type","Clethra","Fabaceae","Juglans.undiff.","Onagraceae.undiff.","Apiaceae","Berchemia.scandens","Mentha.type","Humulus","Calycanthus","Plantago.lanceolata","Picea","Polygonum.aviculare","Fagus","Ilex.type","Abies","Galium","Brassicaceae","Impatiens","Cirsium.Carduus.type","Myrica.type","Ranunculus.flabellaris.type","Gaura","Saxifragaceae","Achillea.type","Epilobium","Shepherdia.argentea","Prunus.undiff.","Potentilla","Viburnum.opulus.type","Cornus.canadensis.type","Prunus.americana.type","Larix","Shepherdia.canadensis"
0,-32,659.5,4,1,1,147,3,6,6,18,2,1,46,5,13,2,15,4,1,1,11,1,1,4,7,2.5,1,10,93,2,2,4,35,10,4,25,11,8,10,9,4,91,2,12,15,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.5,303,504.5,1,3,1,30,9,5,7,11,1,10,14,16,19,0,18,0,1,1,10,0,1,5,8,5.5,2,11,111,1,0,0,37,9,1,56,25,3,3,0,2,36,1,1,20,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,535,552,3,0,1,88,12,14,12,3,2,1,10,20,11,1,14,11,0,1,8,0,0,5,2,7,0,5,117,0,1,1,64,4,0,22,38,7,2,0,2,30,3,5,0,1,7,3,4,0,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.5,561,500,1,0,1,104,11,9,6,1,2,0,3,6,3,1,17,2,0,2,9,0,2,6,2,12,0,8,94,0,1,0,83,3,0,21,34,4,4,0,5,24,0,1,0,1,0,2,9,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,587,671,0,0,4,92,11,10,6,6,1,5,23,28,17,1,20,0,0,0,14,0,0,13,7,2,4,14,121,0,0,0,91,10,0,51,36,10,3,3,7,36,2,2,5,0,0,3,7,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2153,473,0,0,1,64,0,6,9,1,1,0,19,17,6,0,15,0,0,0,10,0,5,4,1,5,0,7,129,0,0,0,45,0,1,3,31,20,5,0,5,37,6,4,2,0,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2466,415.5,2,0,1,44,4,6,4,3,0,1,8,20,3,1,16,0,0,0,17,0,0,5,10,8.5,1,3,103,0,0,1,50,0,0,12,14,2,6,0,0,55,2,5,0,1,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3093,489,3,2,1,58,2,9,10,7,0,0,17,19,5,1,18,0,0,0,10,0,1,7,4,10,0,3,138,0,1,5,22,1,0,16,28,11,2,0,3,47,2,13,0,0,3,0,4,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3719,447.5,4,0,2,34,3,4,12,5,0,0,22,26,0,0,8,0,0,0,8,0,1,2,6,2.5,0,3,119,0,0,0,40,1,0,19,21,7,1,0,3,61,0,15,0,0,2,0,6,0,0,0,4,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,4346,512.5,1,0,0,19,0,8,17,1,0,1,26,25,7,1,19,0,0,0,5,0,0,1,3,2.5,0,1,130,0,0,0,102,0,0,13,5,9,1,0,4,40,1,34,0,0,2,0,6,0,0,0,6,0,1,0,0,0,0,1,1,0,2,0,0,13,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
