"sample.depths","sample.ages","Pinus.Strobus","Pinus.banksiana.P..resinosa","Picea","Abies","Tsuga","Larix","Juniperus.Thuja","Quercus","Fagus","Carya","Populus","Acer.rubrum","Acer.saccharum","Betula","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Salix","Tilia","Ostrya.Carpinus","Ulmus","Alnus","Ericaceae","Corylus","Ilex.Nemopanthus","Cyperaceae","Poaceae","Chenopodiaceae.Amaranthaceae","Ambrosia","Rumex","Artemisia","Plantago","Lamiaceae","Apiaceae","Caryophyllaceae","Sambucus","Ranunculaceae","Morus","Liquidambar","Asteraceae.subf..Asteroideae.undiff.","Polygonum.amphibium","Iris"
0,-29,0.0357941834451902,0.54586129753915,0.0111856823266219,0,0.00223713646532438,0.00223713646532438,0,0.0447427293064877,0,0,0,0,0.00894854586129754,0.109619686800895,0,0,0.0156599552572707,0,0.00671140939597315,0.00223713646532438,0.00894854586129754,0.00447427293064877,0,0,0.0850111856823266,0.0246085011185682,0.0201342281879195,0.0402684563758389,0.0134228187919463,0.0111856823266219,0,0,0,0,0,0,0.00447427293064877,0.00223713646532438,0,0,0
5,149,0.0330275229357798,0.519266055045872,0.036697247706422,0.0091743119266055,0.0146788990825688,0.0073394495412844,0,0.0256880733944954,0.0018348623853211,0,0.0055045871559633,0,0,0.110091743119266,0,0.0018348623853211,0,0.0055045871559633,0.0110091743119266,0.0055045871559633,0.0422018348623853,0.036697247706422,0.0091743119266055,0,0.055045871559633,0.0110091743119266,0,0.0440366972477064,0.0018348623853211,0.0073394495412844,0.0018348623853211,0.0018348623853211,0.0018348623853211,0,0,0,0,0,0,0,0
15,504,0.162903225806452,0.266129032258065,0.0290322580645161,0.0129032258064516,0.0274193548387097,0.00161290322580645,0,0.0241935483870968,0.017741935483871,0.0032258064516129,0,0,0.00483870967741936,0.232258064516129,0,0,0,0,0.0064516129032258,0.00806451612903226,0.0225806451612903,0.0112903225806452,0,0,0.0967741935483871,0,0.00161290322580645,0.0532258064516129,0,0.0145161290322581,0,0,0.00161290322580645,0.00161290322580645,0,0,0,0,0,0,0
25,860,0.201048951048951,0.146853146853147,0.06993006993007,0.006993006993007,0.0576923076923077,0.006993006993007,0,0.0297202797202797,0.0314685314685315,0,0.00174825174825175,0,0.006993006993007,0.262237762237762,0,0,0,0,0.006993006993007,0.0174825174825175,0.0367132867132867,0.034965034965035,0.00874125874125874,0,0.0384615384615385,0.00524475524475524,0,0.0122377622377622,0.00174825174825175,0.0104895104895105,0.00174825174825175,0,0,0,0.00174825174825175,0.00174825174825175,0,0,0,0,0
35,1216,0.30379746835443,0.0795660036166365,0.0198915009041591,0.0162748643761302,0.0307414104882459,0.00180831826401447,0,0.0361663652802893,0.0253164556962025,0.00180831826401447,0,0.00180831826401447,0.0126582278481013,0.267631103074141,0,0,0,0,0.0180831826401447,0.0216998191681736,0.0198915009041591,0.0180831826401447,0.0054249547920434,0,0.0976491862567812,0.00723327305605787,0,0.0054249547920434,0,0.00904159132007233,0,0,0,0,0,0,0,0,0,0,0
45,1571,0.205479452054795,0.13013698630137,0.0428082191780822,0.00856164383561644,0.0291095890410959,0.00684931506849315,0,0.047945205479452,0.0102739726027397,0,0.00171232876712329,0.00171232876712329,0.00513698630136986,0.267123287671233,0,0.00171232876712329,0.00171232876712329,0,0.0188356164383562,0.0136986301369863,0.023972602739726,0.0154109589041096,0,0,0.143835616438356,0.00513698630136986,0.00342465753424658,0.00513698630136986,0,0.0102739726027397,0,0,0,0,0,0,0,0,0,0,0
65,2283,0.396363636363636,0.08,0.02,0.00181818181818182,0.0290909090909091,0.00545454545454545,0,0.04,0.0127272727272727,0,0,0,0.0145454545454545,0.287272727272727,0.00545454545454545,0.00545454545454545,0,0,0.0127272727272727,0.02,0.0127272727272727,0.00181818181818182,0.00363636363636364,0,0.0181818181818182,0,0.00363636363636364,0.0181818181818182,0,0.0109090909090909,0,0,0,0,0,0,0,0,0,0,0
75,2638,0.355805243445693,0.112359550561798,0.0224719101123595,0.00561797752808989,0.0318352059925094,0.00749063670411985,0,0.0355805243445693,0.0187265917602996,0,0,0,0.0187265917602996,0.307116104868914,0.00936329588014981,0,0.00187265917602996,0,0,0.0112359550561798,0.0149812734082397,0.00187265917602996,0.00374531835205993,0,0.0168539325842697,0.00374531835205993,0.00561797752808989,0.00374531835205993,0,0.0112359550561798,0,0,0,0,0,0,0,0,0,0,0
85,2994,0.451612903225806,0.0848896434634974,0.0135823429541596,0.0033955857385399,0.0220713073005093,0,0,0.0424448217317487,0.0101867572156197,0,0.00169779286926995,0.00169779286926995,0.0118845500848896,0.229202037351443,0.0067911714770798,0,0,0,0.0118845500848896,0.0203735144312394,0.0118845500848896,0.00169779286926995,0.00169779286926995,0.00169779286926995,0.0560271646859083,0,0,0.0067911714770798,0,0.00848896434634975,0,0,0,0,0,0,0,0,0,0,0
90,3172,0.322378716744914,0.0970266040688576,0.0250391236306729,0.00625978090766823,0.0250391236306729,0.00156494522691706,0,0.0453834115805947,0.0187793427230047,0.00156494522691706,0,0,0.00938967136150235,0.275430359937402,0.00156494522691706,0.00156494522691706,0.00469483568075117,0.00156494522691706,0.0172143974960876,0.00782472613458529,0.0234741784037559,0,0.00469483568075117,0.00156494522691706,0.0860719874804382,0.00469483568075117,0,0.00782472613458529,0,0.00938967136150235,0,0,0,0,0,0,0,0,0,0,0
95,3350,0.519877675840979,0.0642201834862385,0.0214067278287462,0.00611620795107034,0.0122324159021407,0,0,0.0382262996941896,0.00305810397553517,0,0,0,0.0091743119266055,0.197247706422018,0,0.00458715596330275,0,0,0.0137614678899083,0.0152905198776758,0.0214067278287462,0.00152905198776758,0.00458715596330275,0.00152905198776758,0.0443425076452599,0.00611620795107034,0,0.00458715596330275,0.00458715596330275,0.00611620795107034,0,0,0,0,0,0,0,0,0,0,0
102,3599,0.355008787346221,0.15817223198594,0.0210896309314587,0,0.0228471001757469,0.0105448154657293,0,0.0650263620386643,0.00527240773286467,0.00175746924428822,0,0,0.0210896309314587,0.0984182776801406,0,0,0.00351493848857645,0.00175746924428822,0.0070298769771529,0.0140597539543058,0.015817223198594,0,0.00175746924428822,0,0.170474516695958,0.00351493848857645,0.00351493848857645,0.00175746924428822,0,0.0140597539543058,0,0,0,0,0,0,0,0,0.00175746924428822,0.00175746924428822,0
107,NA,0.484018264840183,0.132420091324201,0.0182648401826484,0,0.0525114155251142,0.0182648401826484,0.00228310502283105,0.0547945205479452,0.00684931506849315,0,0,0,0.0136986301369863,0.0730593607305936,0.0045662100456621,0,0,0,0.00228310502283105,0.0182648401826484,0.0159817351598174,0,0.00228310502283105,0,0.0570776255707763,0.00684931506849315,0,0.0136986301369863,0,0.0114155251141553,0,0,0,0,0,0,0,0,0.00228310502283105,0,0.0091324200913242
