"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Koenigia.islandica","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Juniperus.type","Poaceae","Onagraceae","Rosaceae","Campanula.type","Oxyria.digyna.type","Pinus.banksiana.type","Polygonum.viviparum","Salix.vestita.type","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Picea.undiff.","Salix.undiff.","Ambrosia.type","Amaranthaceae","Fraxinus.nigra.type","Populus.tremuloides.type","Quercus","Pinus.strobus","Impatiens","Thalictrum","Viburnum.edule","Salix.herbacea.type","Myrica.gale","Juglans.cinerea","Fagus","Brassicaceae","Saxifraga.stellaris.type","Castanea.dentata","Apiaceae","Saxifragaceae.undiff.","Tsuga.canadensis","Acer.spicatum","Polygonaceae.undiff.","Acer.saccharum"
0,0,0.00468384074941452,0.0749414519906323,0.00702576112412178,0.0468384074941452,0.00936768149882904,0.559718969555035,0.0140515222482436,0.00702576112412178,0.00234192037470726,0.0281030444964871,0.0140515222482436,0.00702576112412178,0.00468384074941452,0.00234192037470726,0.00468384074941452,0.00234192037470726,0.0679156908665105,0.00234192037470726,0.00702576112412178,0.00234192037470726,0.0210772833723653,0.0187353629976581,0.00468384074941452,0.00234192037470726,0.00234192037470726,0.00234192037470726,0.0257611241217799,0.053864168618267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,513,0.00575815738963532,0.0614203454894434,0.0115163147792706,0.138195777351248,0.0115163147792706,0.45873320537428,0.0191938579654511,0.0153550863723608,0,0.0403071017274472,0,0.00383877159309021,0,0,0.00191938579654511,0.00191938579654511,0.136276391554703,0.00191938579654511,0,0,0.00383877159309021,0.0115163147792706,0,0.0115163147792706,0,0,0.017274472168906,0.0383877159309021,0.00575815738963532,0.00383877159309021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,1282,0.00596125186289121,0.0640834575260805,0.00447093889716841,0.0506706408345753,0.00745156482861401,0.536512667660209,0.0104321907600596,0.00894187779433681,0,0.0253353204172876,0.0208643815201192,0.00596125186289121,0,0,0.00447093889716841,0,0.116244411326379,0,0,0,0.0134128166915052,0.0104321907600596,0,0,0,0,0.0134128166915052,0.0819672131147541,0.0029806259314456,0.0014903129657228,0.00447093889716841,0.00745156482861401,0.0014903129657228,0.0014903129657228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2051,0.00609756097560976,0.121951219512195,0.008130081300813,0.189024390243902,0.00609756097560976,0.361788617886179,0.0121951219512195,0.00203252032520325,0,0.0691056910569106,0.00203252032520325,0.008130081300813,0.0040650406504065,0,0.0040650406504065,0,0.109756097560976,0,0.00203252032520325,0,0.008130081300813,0.0142276422764228,0.00203252032520325,0.008130081300813,0,0,0.008130081300813,0.048780487804878,0.00203252032520325,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,2821,0,0.101321585903084,0.0066079295154185,0.0638766519823789,0.0066079295154185,0.541850220264317,0.00440528634361234,0.0066079295154185,0,0.0286343612334802,0.00440528634361234,0.00220264317180617,0.0110132158590308,0,0.00220264317180617,0,0.107929515418502,0,0,0,0.0176211453744493,0.0198237885462555,0,0.0220264317180617,0,0.00440528634361234,0.0220264317180617,0.0110132158590308,0.00220264317180617,0.00220264317180617,0,0,0,0,0.00440528634361234,0.00220264317180617,0.00440528634361234,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3590,0.0040650406504065,0.150406504065041,0.0142276422764228,0.164634146341463,0,0.329268292682927,0.0203252032520325,0.00203252032520325,0,0.144308943089431,0,0.008130081300813,0,0,0,0,0.056910569105691,0,0,0,0.016260162601626,0.0040650406504065,0.00203252032520325,0.0101626016260163,0,0.0040650406504065,0.016260162601626,0.0426829268292683,0.0040650406504065,0.0040650406504065,0,0,0,0,0,0,0,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0
42.5,4241,0.00173010380622837,0.307958477508651,0.0069204152249135,0.0674740484429066,0.00173010380622837,0.295847750865052,0.0103806228373702,0.00173010380622837,0,0.0346020761245675,0.0121107266435986,0.0173010380622837,0.0190311418685121,0,0,0,0.0951557093425606,0,0.00346020761245675,0,0.0155709342560554,0.0155709342560554,0.00173010380622837,0.00173010380622837,0,0,0.0622837370242214,0.0242214532871972,0,0,0,0,0,0,0,0,0,0,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0
50,4657,0,0.269754768392371,0.0217983651226158,0.20708446866485,0.00272479564032698,0.294277929155313,0.00817438692098093,0,0,0.0490463215258856,0,0.00817438692098093,0,0,0.00544959128065395,0.00272479564032698,0.0544959128065395,0,0,0.00272479564032698,0.0108991825613079,0,0,0.0108991825613079,0,0.00272479564032698,0.00544959128065395,0.0326975476839237,0.00272479564032698,0,0,0,0,0.00544959128065395,0,0,0,0,0,0.00272479564032698,0,0,0,0,0,0,0,0,0,0
57.5,5073,0.00257731958762887,0.298969072164948,0.0103092783505155,0.172680412371134,0,0.27319587628866,0.0077319587628866,0.0077319587628866,0,0.0412371134020619,0.00257731958762887,0.0128865979381443,0.0077319587628866,0,0,0,0.0618556701030928,0,0.00257731958762887,0,0.0128865979381443,0.0206185567010309,0.00257731958762887,0.0180412371134021,0,0,0.0231958762886598,0.0103092783505155,0.00515463917525773,0.00257731958762887,0,0,0,0,0,0,0,0,0,0,0.00257731958762887,0,0,0,0,0,0,0,0,0
65,5489,0,0.38771186440678,0.0233050847457627,0.194915254237288,0,0.0953389830508475,0.0105932203389831,0,0,0.0783898305084746,0,0.00211864406779661,0,0,0.00423728813559322,0.00211864406779661,0.0656779661016949,0,0.00211864406779661,0,0.0233050847457627,0,0,0.00635593220338983,0,0,0.0169491525423729,0.0741525423728814,0.00211864406779661,0.00211864406779661,0,0,0.00211864406779661,0,0,0,0,0,0,0,0,0.00211864406779661,0.00423728813559322,0,0,0,0,0,0,0
