"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Aquifoliaceae","Betula","Carya","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Poaceae.undiff.","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Thalictrum","Trees.undiff.","Tsuga","Ulmus","Myrica","Populus","Acer.saccharinum.type","Artemisia","Rhamnaceae.Vitaceae.undiff.","Salix","Tilia","Acer.pensylvanicum","Amorpha.type","Amaranthaceae.undiff.","Ericaceae","Juglans.cinerea","Dalea","Polygonum","Ceanothus","Salsola","Brassicaceae","Sarcobatus.vermiculatus","Ephedra","Acer.undiff.","Iva.annua.type","Celtis","Iva.xanthifolia.type","Larix","Acer.negundo","Morus","Asteraceae.subf..Asteroideae.undiff.","Prunus.Sorbus","Crataegus.type","Moraceae.undiff.","Saxifragaceae","Fraxinus.pennsylvanica.type","Lamiaceae","Fagus","Oxyria.digyna","Galium","Herbs.undiff.","Ranunculaceae.undiff.","Cornus","Fabaceae.undiff.","Cerealia","Potentilla.type","Anacardiaceae","Gleditsia","Apiaceae","Shepherdia","Vitis","Shrubs.undiff.","Rosaceae.undiff.","Pyrus.type"
1,NA,0.00872093023255814,0.00872093023255814,0.0261627906976744,0.00290697674418605,0.0203488372093023,0.00581395348837209,0.162790697674419,0.00581395348837209,0.00290697674418605,0.00581395348837209,0.00290697674418605,0.0232558139534884,0.00290697674418605,0.0116279069767442,0.00290697674418605,0.0174418604651163,0.00581395348837209,0.0406976744186047,0.299418604651163,0.186046511627907,0.0116279069767442,0.0959302325581395,0.00290697674418605,0.00581395348837209,0.00290697674418605,0.0116279069767442,0.0174418604651163,0.00581395348837209,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,NA,0.00392156862745098,0.00196078431372549,0.0392156862745098,0,0.0117647058823529,0,0.168627450980392,0,0.00196078431372549,0.00392156862745098,0,0.0274509803921569,0.00784313725490196,0.00196078431372549,0,0.0117647058823529,0.00392156862745098,0.0274509803921569,0.27843137254902,0.227450980392157,0.00392156862745098,0.13921568627451,0.00196078431372549,0,0,0.00784313725490196,0.0117647058823529,0,0.00196078431372549,0.00196078431372549,0.00588235294117647,0.00196078431372549,0.00196078431372549,0.00392156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,0.00833333333333333,0.00208333333333333,0.0458333333333333,0,0.00416666666666667,0.00416666666666667,0.179166666666667,0.00208333333333333,0.00833333333333333,0.00625,0.0145833333333333,0.0125,0.0145833333333333,0.0270833333333333,0,0.0145833333333333,0.00208333333333333,0.0395833333333333,0.160416666666667,0.141666666666667,0.00416666666666667,0.233333333333333,0,0.00416666666666667,0,0.00416666666666667,0.0208333333333333,0,0.0104166666666667,0,0.0104166666666667,0.00416666666666667,0.00416666666666667,0,0.00208333333333333,0.00208333333333333,0.00208333333333333,0.00208333333333333,0.00416666666666667,0.00208333333333333,0.00208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,NA,0,0.00239234449760766,0.129186602870813,0,0.0263157894736842,0.00239234449760766,0.267942583732057,0,0.00717703349282297,0.0167464114832536,0.0119617224880383,0.0119617224880383,0.00717703349282297,0.0263157894736842,0,0.0263157894736842,0,0.00956937799043062,0.0502392344497608,0.0717703349282297,0.00239234449760766,0.248803827751196,0,0.00478468899521531,0,0.00478468899521531,0.0167464114832536,0,0.00717703349282297,0,0.0167464114832536,0.00239234449760766,0.0119617224880383,0.00239234449760766,0,0,0.00717703349282297,0,0,0,0,0.00239234449760766,0.00239234449760766,0.00239234449760766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,NA,0.00743494423791822,0.00185873605947955,0.0408921933085502,0,0.00929368029739777,0,0.130111524163569,0.00185873605947955,0.0111524163568773,0.00185873605947955,0.00371747211895911,0.0130111524163569,0.0111524163568773,0.016728624535316,0,0.0223048327137546,0,0.0353159851301115,0.353159851301115,0.128252788104089,0.00371747211895911,0.135687732342007,0,0.00185873605947955,0,0.00743494423791822,0.0185873605947955,0,0.00557620817843866,0,0.0223048327137546,0,0.00185873605947955,0,0,0.00185873605947955,0.00557620817843866,0,0.00371747211895911,0,0,0,0,0,0.00185873605947955,0.00185873605947955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,NA,0.0037593984962406,0.0037593984962406,0.0639097744360902,0,0.0169172932330827,0,0.300751879699248,0.0018796992481203,0.0056390977443609,0,0.0075187969924812,0.0206766917293233,0.0018796992481203,0.0169172932330827,0,0.0150375939849624,0.0018796992481203,0.0338345864661654,0.161654135338346,0.0526315789473684,0,0.236842105263158,0,0.0018796992481203,0,0,0.018796992481203,0,0.0112781954887218,0,0.0075187969924812,0.0037593984962406,0.0037593984962406,0,0,0,0.0018796992481203,0,0,0,0,0,0,0,0.0018796992481203,0,0.0018796992481203,0.0018796992481203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,NA,0.0122850122850123,0,0.0663390663390663,0,0.0171990171990172,0,0.152334152334152,0.00491400491400491,0.0122850122850123,0,0.00491400491400491,0.0294840294840295,0.0221130221130221,0.0221130221130221,0,0.0221130221130221,0.00245700245700246,0.0245700245700246,0.0761670761670762,0.0466830466830467,0.00982800982800983,0.380835380835381,0,0.00245700245700246,0,0.00737100737100737,0.0245700245700246,0,0.00245700245700246,0,0.027027027027027,0,0.00491400491400491,0.00245700245700246,0,0,0.00737100737100737,0,0.00245700245700246,0,0,0,0,0.00245700245700246,0,0,0,0,0.00245700245700246,0.00245700245700246,0.00491400491400491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1923,0.0151515151515152,0.00757575757575758,0.0568181818181818,0,0.0151515151515152,0,0.1875,0.00378787878787879,0.00757575757575758,0.00568181818181818,0.00378787878787879,0.00757575757575758,0.00946969696969697,0.0284090909090909,0.00189393939393939,0.0397727272727273,0,0.00568181818181818,0.138257575757576,0.0946969696969697,0,0.303030303030303,0,0.00189393939393939,0,0.00189393939393939,0.0246212121212121,0,0.00757575757575758,0,0.0113636363636364,0,0,0.00568181818181818,0,0.00189393939393939,0.00378787878787879,0,0.00568181818181818,0,0,0.00189393939393939,0,0,0,0,0,0.00189393939393939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2077,0.0196671709531014,0.00605143721633888,0.0332829046898638,0.00151285930408472,0.00907715582450832,0,0.177004538577912,0.00151285930408472,0.00605143721633888,0.00302571860816944,0.00151285930408472,0.0151285930408472,0.0287443267776097,0.010590015128593,0.00151285930408472,0.0302571860816944,0,0.0196671709531014,0.190620272314675,0.0726172465960666,0.00302571860816944,0.29803328290469,0,0,0,0.00151285930408472,0.0302571860816944,0,0.0075642965204236,0.00453857791225416,0.0121028744326778,0,0.00151285930408472,0.00453857791225416,0,0.00453857791225416,0.00151285930408472,0,0,0,0,0,0,0,0,0,0,0.00151285930408472,0,0,0,0.00151285930408472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2386,0.00697674418604651,0,0.0232558139534884,0.00232558139534884,0.00697674418604651,0,0.12093023255814,0.00232558139534884,0.00465116279069767,0.00465116279069767,0,0.00465116279069767,0.00465116279069767,0.00232558139534884,0.00232558139534884,0.027906976744186,0,0.0186046511627907,0.43953488372093,0.186046511627907,0.00232558139534884,0.0883720930232558,0,0,0,0,0.0186046511627907,0,0.00232558139534884,0,0.00232558139534884,0.00232558139534884,0,0.013953488372093,0.00232558139534884,0,0.00232558139534884,0,0.00465116279069767,0,0,0,0,0,0,0,0,0,0,0,0.00232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
