"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.nigra","Larix","Lycopodium.type","Moraceae","Myricaceae","Myriophyllum","Onagraceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis"
10,104,1,0,2,29,1,4,0,7,2,32,0,0,1,3,4,0,0,0,1,0,6,6,0,0,0,1,0,0,0,0,0,1,34,195,27,0,0,0,2,0,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0
20,361,6,0,1,41,0,12,0,14,4,57,0,0,0,4,5,0,1,0,0,1,6,15,0,2,0,7,1,0,0,0,0,2,106,439,37,0,0,7,1,0,0,10,0,0,2,0,0,3,1,0,1,0,0,0,0
30,619,2,0,1,15,2,2,0,5,1,26,0,0,0,2,3,0,0,0,0,0,3,3,0,1,0,2,1,0,0,0,0,1,38,204,26,0,0,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,2,0,0
40,876,7,0,1,33,1,3,0,10,3,33,0,0,1,1,3,0,0,1,0,0,0,13,1,0,0,14,1,0,1,0,0,0,87,300,29,0,0,7,3,0,0,10,0,0,2,0,0,1,0,0,0,1,0,0,1
60,1390,1,0,0,24,2,2,0,3,3,25,0,0,2,4,5,1,0,0,0,1,4,4,0,0,0,2,1,0,0,0,0,0,30,220,12,0,0,6,0,1,0,4,0,0,3,0,0,2,0,0,0,0,0,0,0
70,1647,5,0,0,42,2,0,0,5,1,41,0,0,1,5,1,0,0,0,2,0,2,5,0,0,0,5,0,0,0,0,0,3,23,205,14,0,0,2,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
80,1904,5,0,0,22,0,1,0,7,0,35,0,0,0,4,2,0,0,0,1,1,2,7,0,0,0,6,2,0,0,0,1,5,37,189,26,0,0,7,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
90,2162,3,0,0,28,2,2,0,6,1,21,0,0,1,10,3,0,1,0,0,0,3,7,0,0,0,7,2,0,1,0,0,0,29,204,21,0,0,6,2,0,3,3,0,0,1,0,0,0,0,0,1,2,1,0,0
100,2419,10,0,0,63,2,8,0,8,5,66,0,0,4,5,4,0,0,0,2,0,9,16,0,0,0,11,1,0,4,0,0,2,66,372,47,0,0,5,8,0,0,8,0,0,1,1,0,3,2,0,0,1,2,0,0
120,2933,3,0,0,35,0,2,0,5,3,55,0,0,1,3,1,0,0,0,1,0,5,6,0,0,0,2,1,0,3,0,0,2,31,240,50,0,1,8,6,0,0,6,0,0,2,0,0,1,0,0,0,1,0,0,0
