"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharinum.type","Ambrosia.type","Carya","Celtis","Cupressaceae","Cyperaceae","Poaceae.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Quercus","Salix","Saxifragaceae","Ulmus","Vitis","Alnus","Amaranthaceae","Cephalanthus","Herbs.undiff.","Asteraceae.subf..Asteroideae.undiff.","Betula","Polygonum","Artemisia","Xanthium","Fraxinus","Corylus","Juglans.nigra","Thalictrum","Cerealia","Parthenocissus","Fagus","Rubus","Clethra","Acer.saccharum.type","Juglans.cinerea","Acer.negundo","Liriodendron","Rhus","Pinus.subg..Strobus","Fabaceae","Sambucus","Urtica.type","Rosaceae.undiff.","Cornus","Onagraceae","Picea","Populus"
1,36,158,1,1,16,5,2,4,8,2,8,20,3,14,17,1,33,1,2,6,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,137,138,1,0,9,5,0,3,5,1,8,25,0,26,14,1,31,0,0,2,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,262,171,0,0,2,3,0,0,24,3,8,27,1,16,18,0,43,0,0,2,0,9,1,0,5,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,388,186,0,0,1,5,0,0,13,1,8,37,0,27,21,0,54,0,0,0,0,1,1,0,5,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,656,210,0,0,2,4,0,1,17,1,6,52,0,22,18,0,66,0,0,0,0,1,2,0,2,12,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1478,210,0,0,4,6,0,0,0,1,11,73,1,1,20,0,79,1,0,1,0,3,2,0,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2300,164,0,0,3,6,0,0,0,0,8,81,0,0,14,0,49,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2383,229,3,2,4,38,0,0,0,7,10,8,0,0,6,0,112,6,3,1,2,0,1,4,0,12,5,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2687,155,4,0,2,17,0,0,0,2,7,27,0,0,4,0,77,6,0,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2704,198,0,3,7,33,1,0,0,2,9,24,2,1,9,0,85,0,1,5,1,0,0,1,1,7,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2744,176,3,3,5,26,0,0,0,6,3,13,2,0,3,0,89,2,0,3,0,1,0,5,0,6,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2772,286,4,1,10,28,1,0,1,8,13,8,2,0,9,1,148,16,6,12,0,0,0,2,0,6,2,3,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
123,2891,192,2,3,6,14,0,0,0,5,5,2,2,3,2,0,110,12,2,3,2,3,0,2,0,4,3,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
127,3593,180,1,3,0,20,1,0,0,2,7,6,0,3,1,2,109,3,0,7,3,1,0,1,0,2,0,0,1,0,2,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,4470,163,3,1,4,23,1,0,0,0,2,2,0,1,5,0,87,3,0,6,1,3,0,8,0,3,4,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,6225,172,2,2,2,8,3,0,0,2,2,0,4,0,4,1,93,4,0,3,2,28,0,3,0,1,1,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,7102,184,3,3,3,17,1,0,0,3,4,3,2,0,1,1,107,4,0,3,4,8,0,7,0,1,2,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,7980,145,1,0,2,9,0,1,2,1,2,0,1,0,3,0,78,19,0,5,2,2,0,6,0,2,2,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157,8857,167,0,1,3,11,1,0,0,3,1,0,3,0,1,0,111,4,0,9,2,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0
166,9925,145,1,0,0,13,0,0,0,3,1,0,1,0,0,2,94,3,0,7,5,1,0,6,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
172,10100,158,0,0,5,19,0,0,2,3,0,1,2,0,0,0,102,3,0,8,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
177,10246,146,0,1,3,20,1,0,0,1,1,1,5,1,0,0,90,1,0,6,0,1,0,0,0,0,4,1,0,0,2,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,10393,145,0,0,2,15,0,0,0,0,5,0,4,0,1,1,84,0,0,17,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202,10977,145,1,1,3,9,2,0,1,3,2,6,0,1,2,0,82,1,0,8,2,3,0,1,0,1,0,0,0,0,1,0,2,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0
220,NA,206,1,0,5,20,13,0,1,0,1,1,4,4,1,3,106,0,0,23,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,9,0,0,2,1,0,0,1,1,0,0,0,0,1,0,1,1
230,NA,138,0,2,4,9,3,0,0,3,1,0,4,0,1,1,85,1,0,11,0,1,0,0,0,0,2,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
