"sample.depths","sample.ages","Abies","Cyperaceae","Picea","Taxus","Alnus","Myrica","Pinus","cf..Myrica","Betula.greater.than.20.microm","Apiaceae","Rosaceae.undiff.","Cornus","Poaceae","Ericales","Quercus","Salix","Ulmus","Urticaceae","Sorbus","Juniperus","Betula.less.than.20.microm","Acer","Asteraceae.undiff.","Ranunculaceae.undiff.","Thalictrum","Saxifragaceae","Caryophyllaceae","Ambrosia","Ostrya_Carpinus","Tsuga","Brassicaceae","Platanus","Populus","Artemisia","Primulaceae","Plantago","Fagus","Amaranthaceae","Fabaceae","Epilobium","Oxyria.digyna","Rumex","Campanulaceae"
0,-27,0.086021505,0.010752688,0.38172043,0.016129032,0.053763441,0.010752688,0.016129032,0.032258065,0.392473118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-11,0.163636364,0,0.268181818,0,0.054545455,0,0.018181818,0.027272727,0.436363636,0.004545455,0.009090909,0.004545455,0.004545455,0.009090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20,0.07106599,0.005076142,0.284263959,0,0.045685279,0,0.020304569,0.020304569,0.512690355,0,0.005076142,0.005076142,0,0.020304569,0.005076142,0.005076142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,51,0.158914729,0.015503876,0.178294574,0.003875969,0.050387597,0.007751938,0.015503876,0.015503876,0.507751938,0,0,0,0.007751938,0.011627907,0.007751938,0,0.003875969,0.011627907,0.003875969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,113,0.159624413,0.004694836,0.300469484,0.004694836,0.03286385,0.014084507,0.004694836,0.014084507,0.44600939,0,0.004694836,0,0,0,0,0.004694836,0,0,0,0.009389671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,259,0.126315789,0.015789474,0.268421053,0,0.052631579,0.005263158,0.015789474,0.042105263,0.457894737,0,0,0,0,0.005263158,0,0,0,0,0,0.005263158,0.005263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,490,0.078212291,0,0.318435754,0.106145251,0.022346369,0,0.027932961,0.016759777,0.407821229,0,0,0,0,0.011173184,0,0,0,0,0,0.005586592,0,0.005586592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,720,0.146443515,0,0.238493724,0,0.037656904,0.008368201,0.020920502,0,0.518828452,0,0.0041841,0,0,0.016736402,0,0,0,0.0041841,0,0,0,0,0.0041841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,950,0.2,0,0.318181818,0,0.031818182,0.004545455,0.018181818,0.036363636,0.331818182,0,0.009090909,0,0.004545455,0.022727273,0,0,0,0.009090909,0,0,0,0,0,0.004545455,0.009090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1181,0.06372549,0.004901961,0.338235294,0.009803922,0.034313725,0,0.009803922,0.019607843,0.485294118,0,0.014705882,0.004901961,0.004901961,0.004901961,0,0,0,0,0,0,0,0,0,0,0,0.004901961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1523,0.110497238,0,0.298342541,0.005524862,0.055248619,0.005524862,0,0.027624309,0.447513812,0,0.011049724,0,0,0.005524862,0.005524862,0,0,0,0,0.005524862,0.005524862,0,0,0,0,0.005524862,0.005524862,0.005524862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1976,0.138755981,0,0.339712919,0.004784689,0.023923445,0.009569378,0.009569378,0.023923445,0.43062201,0,0.004784689,0,0,0,0.004784689,0,0,0,0,0,0.004784689,0,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2430,0.075268817,0.010752688,0.290322581,0,0.043010753,0.005376344,0,0.010752688,0.52688172,0,0.005376344,0,0.021505376,0,0.005376344,0,0,0,0,0,0,0,0.005376344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2884,0.063492063,0.006349206,0.253968254,0.003174603,0.012698413,0.003174603,0.00952381,0.003174603,0.6,0,0.00952381,0,0,0.006349206,0,0,0.003174603,0,0,0,0.003174603,0.003174603,0.003174603,0.003174603,0.003174603,0,0,0,0.003174603,0.003174603,0.003174603,0,0,0,0,0,0,0,0,0,0,0,0
245,3337,0.09223301,0,0.252427184,0.004854369,0.038834951,0.009708738,0.019417476,0.04368932,0.495145631,0,0.009708738,0.004854369,0.009708738,0.014563107,0.004854369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,3791,0.152380952,0,0.266666667,0,0.061904762,0.004761905,0.033333333,0,0.452380952,0,0,0,0.004761905,0.004761905,0,0,0,0,0,0,0.00952381,0,0,0,0,0,0,0,0,0,0,0.004761905,0.004761905,0,0,0,0,0,0,0,0,0,0
285,4245,0.102702703,0.005405405,0.243243243,0.010810811,0.081081081,0.005405405,0.010810811,0.021621622,0.464864865,0,0.010810811,0,0.010810811,0,0,0,0,0,0,0,0.021621622,0.005405405,0.005405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,4699,0.115183246,0.005235602,0.256544503,0.015706806,0.036649215,0,0.005235602,0,0.481675393,0,0.010471204,0,0.005235602,0.015706806,0,0,0,0,0,0,0.02617801,0,0.005235602,0,0,0.005235602,0,0,0,0,0.005235602,0,0,0.005235602,0.005235602,0,0,0,0,0,0,0,0
325,5152,0.100244499,0.014669927,0.312958435,0.004889976,0.04400978,0.007334963,0.012224939,0.029339853,0.4400978,0,0.002444988,0,0,0,0,0,0.002444988,0.002444988,0,0.004889976,0.012224939,0,0.002444988,0.004889976,0,0,0,0,0,0,0,0,0,0.002444988,0,0,0,0,0,0,0,0,0
345,5606,0.095435685,0.01659751,0.302904564,0,0.041493776,0.008298755,0.020746888,0.058091286,0.394190871,0,0.004149378,0,0.012448133,0.008298755,0,0,0,0,0,0.008298755,0.004149378,0.008298755,0,0,0,0,0,0,0,0,0,0,0.01659751,0,0,0,0,0,0,0,0,0,0
365,6060,0.104377104,0.006734007,0.279461279,0.016835017,0.057239057,0.013468013,0.02020202,0.016835017,0.404040404,0,0.003367003,0,0,0.01010101,0,0,0.006734007,0,0,0.006734007,0.006734007,0,0.003367003,0,0,0,0,0,0,0,0,0,0.043771044,0,0,0,0,0,0,0,0,0,0
385,6513,0.066298343,0.008287293,0.254143646,0.013812155,0.14640884,0.002762431,0.019337017,0.008287293,0.337016575,0,0.008287293,0,0.002762431,0,0.002762431,0.002762431,0,0,0,0.002762431,0.096685083,0,0,0,0,0,0,0,0,0,0,0,0.027624309,0,0,0,0,0,0,0,0,0,0
405,6967,0.047169811,0.003144654,0.194968553,0.028301887,0.103773585,0,0.018867925,0.006289308,0.477987421,0,0.009433962,0,0.012578616,0,0,0,0,0.003144654,0,0.003144654,0.072327044,0,0.003144654,0,0,0,0,0,0,0,0,0,0.01572327,0,0,0,0,0,0,0,0,0,0
425,7421,0.044736842,0.015789474,0.265789474,0.044736842,0.078947368,0.005263158,0.026315789,0.015789474,0.423684211,0,0.005263158,0,0,0,0,0,0,0,0,0,0.044736842,0,0.010526316,0,0,0.005263158,0,0,0,0,0,0,0.010526316,0,0,0.002631579,0,0,0,0,0,0,0
