"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Larix","Asteraceae.subf..Cichorioideae","Picea","Quercus","Ranunculaceae.undiff.","Salix","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Rosaceae.undiff.","Fraxinus","Myrica","Pinus","Populus","Amorpha","Poaceae","Saxifragaceae.undiff.","Abies","Corylus","Fabaceae.undiff.","Apiaceae","Sedum","Ulmus","Juglans","Thalictrum","Carpinus","Ericaceae","Epilobium","Acer","Rubiaceae","Carya","Brassicaceae","Elaeagnus","Shepherdia.canadensis","Urticaceae","Lamiaceae","Rumex","Campanulaceae","Caryophyllaceae","Parnassia","Shepherdia.argentea","Menispermum","Plantago","Solanaceae","Rubus","Caprifoliaceae"
0,-25,2984,54,598,50,4,44,12,2,446,2,2,64,4,20,696,4,6,4,2,900,22,2,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,190,1714,46,362,10,2,40,18,0,348,0,0,18,4,4,396,10,10,0,4,390,4,0,38,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,513,1036,14,204,6,2,28,18,0,122,0,2,30,0,4,182,0,2,2,0,384,4,0,22,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,728,2688,62,614,4,2,78,14,0,374,4,0,64,4,20,580,4,12,2,4,696,44,0,80,0,12,4,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,836,2434,34,430,10,0,106,10,0,404,8,0,28,0,14,346,0,0,0,0,990,8,0,30,0,6,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1052,2954,40,454,12,18,90,30,0,450,2,4,60,2,8,726,0,4,0,0,934,34,0,64,0,0,8,0,6,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1267,1702,40,268,2,2,24,8,0,296,0,0,22,4,4,296,10,2,0,0,668,8,0,42,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1483,2000,56,322,10,0,40,0,0,326,0,2,36,2,12,452,4,6,0,0,672,14,0,40,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1698,1062,20,108,6,0,40,2,0,268,2,0,10,0,4,176,8,2,0,0,390,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1914,1660,54,168,12,2,44,0,0,318,0,0,34,0,2,308,2,0,0,0,664,6,0,30,0,0,12,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2129,3144,46,524,2,16,100,28,0,430,2,4,76,4,4,626,6,10,2,12,1098,36,0,100,0,0,6,0,2,0,0,0,2,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2345,1466,16,188,6,2,24,0,0,284,2,0,32,0,0,210,0,2,2,0,656,8,0,24,0,0,2,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2668,3212,86,318,8,2,96,18,0,544,2,0,54,4,8,594,4,0,4,6,1330,16,0,92,0,8,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2992,4002,66,522,8,12,66,42,0,622,2,0,118,0,14,740,6,4,0,0,1658,10,0,90,0,2,8,0,2,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3207,5792,104,946,14,26,160,44,2,520,4,2,224,6,44,1524,0,8,10,10,1928,38,0,136,4,2,16,0,6,0,6,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,3507,1884,46,328,10,6,44,4,0,204,2,0,32,0,8,416,2,0,2,0,712,16,0,38,2,0,8,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3704,5694,194,774,32,4,76,30,2,558,2,2,180,0,30,920,10,4,0,8,2666,48,0,110,0,4,10,0,10,0,8,0,2,2,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3900,1546,34,302,4,4,12,0,0,236,2,0,14,0,4,248,8,2,0,0,632,20,0,18,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,4097,3368,76,378,22,8,60,30,0,566,2,0,56,0,12,588,2,0,0,4,1424,28,0,88,2,6,4,0,2,0,2,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4392,2844,48,502,10,8,38,6,0,256,8,0,66,2,8,442,8,4,6,2,1328,28,0,48,4,2,2,0,6,0,6,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
220,4589,3656,124,392,24,6,110,12,0,276,14,2,104,0,14,1060,2,8,4,4,1302,20,0,136,4,2,6,0,10,0,8,0,2,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
230,4785,3092,98,422,30,14,62,6,0,344,0,0,64,0,14,404,6,2,0,8,1486,8,0,90,2,8,12,0,2,0,2,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
240,4982,2102,56,396,16,16,46,10,0,228,0,0,40,2,8,310,2,2,0,4,886,18,0,48,2,0,2,0,0,0,4,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
250,5179,3114,98,532,12,38,104,16,0,328,14,4,80,2,20,470,2,6,4,34,1196,2,0,110,2,8,10,4,2,0,2,0,6,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
260,5375,2068,88,346,14,12,48,0,0,226,2,0,30,0,16,232,12,8,0,10,954,6,0,44,0,4,6,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5572,2936,86,914,36,62,98,22,0,270,12,0,44,2,16,286,2,4,4,24,904,42,0,78,2,2,16,0,2,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,5867,1290,38,246,20,34,44,8,0,76,0,0,12,0,0,106,10,0,0,0,660,6,0,24,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,5966,4900,200,1076,50,68,136,16,0,346,6,2,134,0,36,646,12,6,2,54,1898,88,2,92,4,2,6,2,2,0,0,0,4,0,2,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
300,6162,1010,14,208,14,10,50,4,0,148,2,0,26,0,10,150,0,8,0,4,312,4,0,36,0,2,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,6359,3748,68,428,20,22,92,6,0,372,4,0,90,2,18,1014,28,0,8,34,1402,18,4,96,0,2,6,2,2,0,0,0,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
320,6556,1588,60,370,32,78,46,24,0,82,4,0,50,0,4,240,20,0,0,26,488,22,0,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
