"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Myrica","Populus","Amaranthaceae","Poaceae","Epilobium","Fagus","Salix","Tsuga","Fraxinus","Ostrya","Rosaceae.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Acer","Rubus.chamaemorus","Thalictrum","Abies","Rumex","Polygonum.viviparum","Plantago","Platanus","Brassicaceae","Rubiaceae","Carya","Caryophyllaceae","Castanea","Juglans"
0,56,1065,5,116,0,7,9,11,1,606,41,5,34,1,12,14,0,183,6,1,2,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,198,659,3,80,2,2,4,6,4,337,30,3,13,2,2,1,0,159,2,0,2,3,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,336,680,3,67,0,4,3,4,5,439,19,1,7,0,2,1,0,116,1,0,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,470,700,3,86,0,1,3,4,6,420,32,3,7,0,6,3,0,108,5,0,2,4,0,0,0,0,1,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8,601,511,2,54,1,6,1,2,3,323,12,2,5,0,7,1,0,85,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,729,656,4,80,1,2,5,5,8,397,12,2,5,0,8,4,0,115,1,0,0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,853,665,3,64,0,2,11,4,4,389,24,2,5,0,7,2,0,132,4,0,2,5,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,975,621,3,63,0,2,6,5,5,369,9,6,13,4,4,3,0,119,2,0,0,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1093,566,4,84,1,2,5,7,4,258,12,1,6,0,13,3,0,153,0,0,2,6,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,1207,608,5,70,0,1,1,4,3,337,12,0,9,1,19,2,0,127,2,0,1,9,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,1319,661,4,50,0,4,5,7,8,431,14,4,9,1,4,1,0,109,3,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1428,639,3,61,0,2,2,4,7,407,17,3,6,1,23,2,0,90,3,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,1534,564,5,42,0,0,2,4,3,395,3,0,10,0,3,1,0,90,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
26,1637,818,3,68,0,5,2,5,12,520,28,3,12,5,15,0,0,127,4,0,1,2,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
28,1737,592,5,67,0,4,0,4,4,348,22,1,3,1,13,1,0,111,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
30,1835,563,3,55,0,2,5,4,3,309,12,3,14,0,7,1,0,127,4,0,2,7,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2110,1112,1,91,0,1,3,8,6,788,14,5,16,0,15,2,0,147,3,0,0,5,1,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
40,2281,639,1,67,1,3,1,11,4,382,14,2,8,2,14,2,1,119,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2481,681,1,96,0,2,2,6,4,380,10,1,6,2,6,2,0,145,5,0,1,2,1,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2701,670,1,74,1,1,2,6,1,305,12,2,4,0,10,1,0,234,7,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2870,573,8,67,0,0,1,4,2,303,7,4,6,1,6,0,0,155,1,0,2,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2996,551,1,65,0,2,2,4,1,310,26,2,5,0,3,0,0,122,2,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3224,661,2,82,0,1,2,2,1,352,5,2,3,0,8,1,0,192,3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3277,1062,3,141,1,0,6,8,4,532,6,0,2,1,19,1,0,321,6,0,1,4,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,3425,683,1,72,0,0,3,6,1,442,3,2,6,0,6,1,0,132,2,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3517,659,6,56,1,9,12,3,1,430,19,3,5,0,7,1,0,93,1,1,0,4,0,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3603,1188,7,155,0,3,2,11,3,598,16,2,11,2,18,0,0,334,5,1,3,9,1,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,3722,861,5,119,1,3,8,7,3,429,6,1,1,0,8,0,0,261,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3831,761,6,104,0,2,5,2,6,404,5,2,15,0,18,0,0,184,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,3899,634,4,57,1,1,0,8,1,368,17,2,7,0,0,0,0,157,4,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,3964,591,4,90,0,3,1,5,1,324,4,3,4,1,7,0,0,139,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,4084,702,1,86,0,2,5,7,2,349,6,0,1,1,10,2,0,211,4,0,1,7,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,4141,655,4,83,0,0,2,4,4,326,5,1,2,2,6,0,0,209,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4196,784,2,125,0,3,2,5,2,354,5,0,9,2,18,0,0,237,3,4,0,5,0,0,3,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4250,730,5,147,0,1,1,2,3,290,2,1,2,0,7,0,0,252,5,0,0,5,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,4330,618,2,100,0,0,3,3,1,230,7,0,1,0,4,2,0,249,6,1,0,2,1,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
