"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Larix","Liquidambar","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Unknown"
40,NA,0,1,12,2,20,17,1,8,2,0,4,0,11,25,1,3,1,3,0,0,0,0,19,0,5,18,33,0,15,1,118,0,4,1,7,8,1
50,NA,0,1,8,3,16,9,3,17,2,0,1,1,30,4,1,3,3,0,1,0,0,0,7,0,0,3,60,2,21,0,121,0,2,0,5,8,4
60,NA,0,2,5,2,12,9,0,10,5,0,1,2,19,6,1,6,2,5,1,0,0,0,4,4,2,15,47,0,17,0,160,0,1,0,6,4,1
70,NA,0,2,16,4,15,28,5,13,8,0,1,4,33,5,4,1,3,8,0,0,0,0,11,0,0,2,74,4,37,0,158,0,3,0,8,10,3
80,NA,0,5,7,1,4,4,3,12,4,0,1,0,11,19,0,2,3,3,0,1,0,0,10,0,3,15,29,0,19,0,162,1,2,0,8,3,18
90,NA,0,2,5,0,8,16,0,22,1,0,1,1,25,12,2,7,4,4,2,0,0,1,11,1,4,8,34,0,21,0,145,0,3,0,3,5,0
100,NA,1,2,15,1,5,11,4,16,5,0,1,2,22,11,1,7,0,4,0,0,0,0,13,2,10,26,27,1,20,0,117,0,2,0,4,5,3
110,NA,0,4,8,1,3,9,1,16,3,0,3,1,28,31,4,5,5,5,2,0,1,1,8,0,6,17,47,0,22,0,97,0,4,0,2,11,1
120,NA,0,2,4,5,15,31,6,14,4,0,1,3,13,129,2,5,1,9,2,1,0,0,4,0,0,9,36,1,47,2,103,0,4,1,2,7,4
140,NA,0,3,12,2,10,9,2,7,7,1,2,1,17,4,2,9,1,7,1,0,0,0,21,0,1,14,29,3,22,0,111,0,2,0,4,15,2
150,NA,0,1,6,2,11,15,2,33,6,0,0,0,3,0,3,1,4,4,1,0,0,0,10,0,0,16,143,1,17,0,76,0,2,0,1,5,1
160,NA,0,1,9,1,4,6,2,21,3,0,5,3,5,0,0,7,2,1,0,0,0,0,4,1,4,18,35,1,9,0,196,0,2,1,4,4,9
170,NA,0,0,19,2,9,11,3,15,1,0,1,2,15,7,1,4,7,1,2,0,0,0,12,0,8,17,29,3,19,0,134,0,1,0,1,7,6
180,NA,0,1,2,7,22,17,2,5,5,0,1,3,17,2,4,7,0,0,0,0,0,0,14,0,2,16,36,0,24,1,117,0,2,1,3,7,1
190,NA,0,2,15,1,4,3,4,21,1,0,0,1,16,3,1,7,1,3,2,1,0,0,15,0,5,18,21,1,20,0,181,0,0,0,7,9,3
200,NA,1,2,3,1,5,23,7,12,4,0,2,0,9,4,0,6,2,5,2,0,0,0,3,0,4,7,40,1,33,0,106,0,2,0,2,19,4
210,NA,0,0,5,1,5,19,1,9,1,0,2,1,15,1,1,5,0,1,2,0,0,0,8,0,5,28,27,1,15,0,165,0,0,1,1,4,5
270,NA,0,1,8,4,7,6,4,1,2,0,1,2,86,2,0,4,1,2,2,0,0,0,5,0,3,1,31,1,43,1,96,0,1,2,0,7,1
290,NA,0,0,5,2,7,9,6,2,1,1,1,0,69,0,1,2,0,2,0,0,0,0,6,1,4,8,33,0,43,0,93,0,0,1,0,11,2
320,NA,0,0,10,1,16,14,9,2,2,0,0,1,69,0,0,4,0,1,1,0,0,0,9,0,2,14,30,1,43,1,121,0,0,1,0,13,1
340,NA,0,2,3,3,21,13,8,2,1,0,0,7,49,0,1,2,2,7,0,0,0,0,11,0,0,5,35,0,48,0,89,0,1,2,0,12,1
360,NA,0,1,5,1,23,20,7,5,1,0,0,5,44,0,0,5,1,0,2,0,0,0,7,0,3,11,49,0,31,0,99,0,2,1,0,10,2
380,NA,0,0,6,2,5,10,6,1,1,0,1,3,38,0,0,6,1,2,1,0,0,0,16,0,3,16,48,0,14,1,115,0,1,2,0,12,0
397,6235,0,4,5,4,7,16,3,1,2,0,2,2,23,0,0,7,1,0,3,0,0,0,17,0,2,7,52,0,16,1,95,0,0,0,0,35,1
420,6815,0,1,5,4,13,10,1,3,10,0,1,3,23,0,0,8,4,9,5,0,0,0,25,0,2,6,66,0,13,0,126,0,1,0,0,36,5
440,7320,0,3,9,5,21,10,2,2,3,0,0,4,12,0,0,5,2,6,2,0,0,0,27,0,0,7,74,1,15,1,108,0,1,4,0,45,3
460,7825,0,2,6,3,20,15,1,1,1,0,1,0,14,0,0,9,0,9,2,1,0,0,26,0,0,10,88,0,15,1,77,0,4,3,0,28,2
480,8330,0,2,17,5,19,12,5,3,5,0,5,2,14,0,0,8,0,3,2,0,0,0,34,0,1,0,109,0,6,0,99,0,2,1,0,32,1
500,8835,1,3,8,5,15,4,1,2,6,0,2,7,8,0,0,12,6,4,3,0,0,0,29,1,1,11,77,0,12,3,76,0,4,0,0,32,2
520,9340,0,4,10,3,19,8,2,7,4,0,4,4,12,0,0,7,0,10,2,0,0,0,13,0,10,5,81,0,3,1,85,0,2,0,0,39,2
540,9635,0,2,7,0,6,6,2,5,4,0,3,2,7,0,0,11,2,0,2,1,0,0,19,0,7,12,202,1,11,0,50,0,1,1,0,51,1
