"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Picea","Quercus","Salix","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Populus","Poaceae","Cyperaceae","Herbs.undiff.","Cupressaceae","Fagus","Tsuga","Abies","Aquifoliaceae","Corylus","Larix","Ostrya.Carpinus","Asteraceae.subf..Asteroideae.undiff.","Myrica","Ericaceae","Sarcobatus.vermiculatus","Thalictrum","Tilia","Carya","Rosaceae","Ephedra","Shepherdia"
3,54,232,10,1,49,1,14,6,1,2,17,1,1,1,122,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,131,214,1,0,78,1,27,4,0,1,4,2,5,0,79,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,339,213,2,0,66,0,16,9,0,1,11,1,2,0,96,0,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,546,250,1,3,108,0,10,6,1,1,14,1,2,0,86,0,1,2,0,0,2,0,2,1,2,4,2,1,0,0,0,0,0,0,0,0,0
40,754,289,2,1,71,1,20,3,0,2,11,3,7,0,156,0,0,1,0,0,0,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
50,961,213,0,1,70,2,14,3,0,1,8,3,2,0,96,0,0,3,0,0,2,2,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0
60,1169,345,1,1,109,2,28,9,0,5,18,4,0,0,148,4,0,2,0,0,2,0,7,0,2,2,0,1,0,0,0,0,0,0,0,0,0
70,1376,362,2,3,158,1,25,5,1,2,12,2,3,1,130,0,0,1,0,0,1,2,1,0,2,5,0,0,0,2,1,2,0,0,0,0,0
80,1584,365,1,1,122,0,19,5,0,4,9,2,0,0,184,2,1,0,0,0,1,1,5,1,5,0,1,0,1,0,0,0,0,0,0,0,0
90,1791,266,2,0,92,1,25,3,0,3,12,1,2,0,107,3,1,4,0,0,3,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0
100,1999,229,0,3,70,0,13,5,1,5,9,2,2,0,104,1,1,1,0,0,1,4,1,0,3,1,0,0,2,0,0,0,0,0,0,0,0
110,2206,286,0,1,97,0,26,4,0,4,11,1,2,0,127,1,0,2,0,1,0,1,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0
120,2414,407,2,2,125,1,29,7,0,5,16,2,1,0,194,4,1,7,1,1,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
130,2621,311,3,1,107,0,11,3,0,3,14,3,6,0,137,2,1,4,2,2,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
140,2829,261,1,0,80,0,24,2,1,2,10,7,1,0,124,1,0,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
150,3036,266,0,3,97,0,13,2,0,2,14,1,6,0,116,0,1,1,1,1,2,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
160,3244,270,1,2,79,0,15,2,0,0,15,2,5,0,139,1,1,0,0,0,0,1,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0
170,3452,258,0,1,97,0,13,5,0,2,21,3,4,0,103,1,0,1,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
180,3659,222,1,2,69,0,7,8,1,4,8,0,4,0,108,3,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
190,3867,351,1,3,132,0,18,8,0,2,11,2,8,0,149,4,1,2,1,0,1,1,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0
200,4074,320,1,0,135,1,7,10,1,1,8,2,5,0,138,2,1,0,1,0,2,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0
210,4282,336,0,2,102,0,9,7,0,2,10,1,4,0,189,0,1,1,0,0,0,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0
220,4489,202,0,0,68,1,8,6,0,0,7,1,2,0,102,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
230,4697,285,3,1,95,2,8,6,1,5,6,1,13,1,131,3,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0
240,4898,320,2,1,82,0,8,6,0,3,12,3,3,0,191,3,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
250,5085,225,0,1,53,1,5,4,0,3,6,0,0,0,140,5,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
260,5273,396,1,0,83,1,9,5,0,2,10,1,2,0,271,2,0,1,0,0,0,0,1,1,2,1,0,0,0,1,0,1,1,0,0,0,0
270,5460,204,0,1,54,2,1,3,0,0,7,1,4,0,124,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
