"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Caprifoliaceae.undiff.","Castanea","Cornus","Corylus","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Lamiaceae","Poaceae","Ranunculaceae.undiff.","Rosaceae","Thalictrum"
4,96,344,8,27,5,144,0,0,0,0,13,10,0,0,1,1,2,59,0,16,0,30,14,0,0,3,0,0,0,7,1,1,1,0,0,1,0,0,0,0,0
7,200,497,12,34,5,187,0,0,0,0,19,25,3,0,0,0,6,68,0,18,0,18,0,0,3,73,0,0,0,10,1,0,5,0,1,2,0,5,0,2,0
10,305,337,12,9,4,152,0,0,0,0,14,13,0,1,2,0,0,57,2,16,3,22,7,0,1,9,1,1,0,4,0,1,5,0,0,0,0,1,0,0,0
12,375,771,10,19,8,364,0,0,0,3,35,31,1,2,0,1,8,128,2,27,4,54,28,0,0,3,0,4,0,7,2,0,10,1,1,6,0,12,0,0,0
14,444,342,20,4,9,161,0,0,0,0,14,12,0,1,0,0,0,54,0,17,0,28,12,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0
15.5,497,487,6,13,7,223,0,1,0,3,20,2,9,1,2,1,0,92,0,30,0,39,8,0,1,6,0,0,0,15,0,0,0,0,0,3,0,2,0,3,0
19,619,1030,10,5,8,436,0,0,0,14,60,18,0,0,1,3,14,124,2,52,8,118,70,0,17,13,0,4,0,45,1,0,0,0,1,4,0,1,0,1,0
23,758,634,8,5,6,324,0,0,0,8,20,15,0,2,0,0,0,70,2,32,4,52,22,0,0,17,0,0,0,41,2,0,1,0,1,0,0,1,0,1,0
24.5,815,497,7,1,4,242,0,0,0,1,14,8,0,0,0,0,0,50,0,55,0,62,7,0,0,12,0,0,0,30,0,0,0,0,1,0,0,0,0,2,1
25.5,852,1330,8,9,6,610,0,0,0,3,75,36,0,1,1,2,4,74,5,125,8,196,74,0,11,11,0,2,2,52,2,0,0,2,0,0,0,10,0,1,0
27,908,519,15,7,6,232,0,0,0,1,29,7,0,0,2,0,1,34,4,56,5,70,16,0,0,6,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0
28,946,727,2,8,10,337,0,2,1,4,46,33,0,1,2,1,11,30,0,60,20,80,20,0,4,9,0,1,0,38,0,0,0,0,0,2,0,2,0,3,0
29.5,1002,493,5,6,2,265,0,0,0,0,28,7,0,0,0,0,0,36,4,37,6,50,14,0,0,7,0,0,0,22,1,0,0,0,0,0,0,0,0,3,0
32,1096,1108,11,14,2,409,0,0,0,4,67,32,1,0,0,0,14,27,8,133,12,206,76,0,0,21,0,0,0,63,4,0,0,0,1,0,0,2,0,1,0
34,1553,541,14,3,3,206,0,0,0,1,27,5,0,0,0,0,0,10,12,76,16,97,25,0,0,14,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
