"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Picea","Quercus","Salix","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Populus","Poaceae","Cyperaceae","Herbs.undiff.","Cupressaceae","Fagus","Tsuga","Abies","Aquifoliaceae","Corylus","Larix","Ostrya.Carpinus","Asteraceae.subf..Asteroideae.undiff.","Myrica","Ericaceae","Sarcobatus.vermiculatus","Thalictrum","Tilia","Carya","Rosaceae","Ephedra","Shepherdia"
3,54,0.0431034482758621,0.00431034482758621,0.211206896551724,0.00431034482758621,0.0603448275862069,0.0258620689655172,0.00431034482758621,0.00862068965517241,0.0732758620689655,0.00431034482758621,0.00431034482758621,0.00431034482758621,0.525862068965517,0.021551724137931,0.00431034482758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,131,0.00467289719626168,0,0.364485981308411,0.00467289719626168,0.126168224299065,0.0186915887850467,0,0.00467289719626168,0.0186915887850467,0.00934579439252336,0.0233644859813084,0,0.369158878504673,0.0373831775700935,0.00467289719626168,0.00934579439252336,0.00467289719626168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,339,0.00938967136150235,0,0.309859154929577,0,0.0751173708920188,0.0422535211267606,0,0.00469483568075117,0.0516431924882629,0.00469483568075117,0.00938967136150235,0,0.450704225352113,0,0.00938967136150235,0.0140845070422535,0.00469483568075117,0.00469483568075117,0.00469483568075117,0.00469483568075117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,546,0.004,0.012,0.432,0,0.04,0.024,0.004,0.004,0.056,0.004,0.008,0,0.344,0,0.004,0.008,0,0,0.008,0,0.008,0.004,0.008,0.016,0.008,0.004,0,0,0,0,0,0,0,0,0
40,754,0.0069204152249135,0.00346020761245675,0.245674740484429,0.00346020761245675,0.069204152249135,0.0103806228373702,0,0.0069204152249135,0.0380622837370242,0.0103806228373702,0.0242214532871972,0,0.539792387543253,0,0,0.00346020761245675,0,0,0,0.0103806228373702,0.0207612456747405,0,0,0.0069204152249135,0,0,0,0,0,0,0,0,0,0,0
50,961,0,0.00469483568075117,0.328638497652582,0.00938967136150235,0.0657276995305164,0.0140845070422535,0,0.00469483568075117,0.0375586854460094,0.0140845070422535,0.00938967136150235,0,0.450704225352113,0,0,0.0140845070422535,0,0,0.00938967136150235,0.00938967136150235,0.00938967136150235,0,0.00938967136150235,0.00469483568075117,0,0,0.00469483568075117,0,0,0,0,0,0,0,0
60,1169,0.00289855072463768,0.00289855072463768,0.315942028985507,0.00579710144927536,0.081159420289855,0.0260869565217391,0,0.0144927536231884,0.0521739130434783,0.0115942028985507,0,0,0.428985507246377,0.0115942028985507,0,0.00579710144927536,0,0,0.00579710144927536,0,0.0202898550724638,0,0.00579710144927536,0.00579710144927536,0,0.00289855072463768,0,0,0,0,0,0,0,0,0
70,1376,0.00552486187845304,0.00828729281767956,0.43646408839779,0.00276243093922652,0.069060773480663,0.0138121546961326,0.00276243093922652,0.00552486187845304,0.0331491712707182,0.00552486187845304,0.00828729281767956,0.00276243093922652,0.359116022099448,0,0,0.00276243093922652,0,0,0.00276243093922652,0.00552486187845304,0.00276243093922652,0,0.00552486187845304,0.0138121546961326,0,0,0,0.00552486187845304,0.00276243093922652,0.00552486187845304,0,0,0,0,0
80,1584,0.00273972602739726,0.00273972602739726,0.334246575342466,0,0.052054794520548,0.0136986301369863,0,0.010958904109589,0.0246575342465753,0.00547945205479452,0,0,0.504109589041096,0.00547945205479452,0.00273972602739726,0,0,0,0.00273972602739726,0.00273972602739726,0.0136986301369863,0.00273972602739726,0.0136986301369863,0,0.00273972602739726,0,0.00273972602739726,0,0,0,0,0,0,0,0
90,1791,0.0075187969924812,0,0.345864661654135,0.0037593984962406,0.093984962406015,0.0112781954887218,0,0.0112781954887218,0.0451127819548872,0.0037593984962406,0.0075187969924812,0,0.402255639097744,0.0112781954887218,0.0037593984962406,0.0150375939849624,0,0,0.0112781954887218,0,0.0075187969924812,0,0.0037593984962406,0.0112781954887218,0.0037593984962406,0,0,0,0,0,0,0,0,0,0
100,1999,0,0.0131004366812227,0.305676855895196,0,0.0567685589519651,0.0218340611353712,0.00436681222707424,0.0218340611353712,0.0393013100436681,0.00873362445414847,0.00873362445414847,0,0.454148471615721,0.00436681222707424,0.00436681222707424,0.00436681222707424,0,0,0.00436681222707424,0.0174672489082969,0.00436681222707424,0,0.0131004366812227,0.00436681222707424,0,0,0.00873362445414847,0,0,0,0,0,0,0,0
110,2206,0,0.0034965034965035,0.339160839160839,0,0.090909090909091,0.013986013986014,0,0.013986013986014,0.0384615384615385,0.0034965034965035,0.006993006993007,0,0.444055944055944,0.0034965034965035,0,0.006993006993007,0,0.0034965034965035,0,0.0034965034965035,0.0104895104895105,0,0.0034965034965035,0.0034965034965035,0.0034965034965035,0,0.0034965034965035,0.0034965034965035,0,0,0,0,0,0,0
120,2414,0.00491400491400491,0.00491400491400491,0.307125307125307,0.00245700245700246,0.0712530712530713,0.0171990171990172,0,0.0122850122850123,0.0393120393120393,0.00491400491400491,0.00245700245700246,0,0.476658476658477,0.00982800982800983,0.00245700245700246,0.0171990171990172,0.00245700245700246,0.00245700245700246,0.00491400491400491,0.00245700245700246,0.00982800982800983,0,0.00491400491400491,0,0,0,0,0,0,0,0,0,0,0,0
130,2621,0.00964630225080386,0.00321543408360129,0.344051446945338,0,0.0353697749196141,0.00964630225080386,0,0.00964630225080386,0.045016077170418,0.00964630225080386,0.0192926045016077,0,0.440514469453376,0.00643086816720257,0.00321543408360129,0.0128617363344051,0.00643086816720257,0.00643086816720257,0.00643086816720257,0,0.00643086816720257,0,0.0257234726688103,0,0,0,0,0,0,0,0,0,0,0,0
140,2829,0.00383141762452107,0,0.306513409961686,0,0.0919540229885057,0.00766283524904215,0.00383141762452107,0.00766283524904215,0.0383141762452107,0.0268199233716475,0.00383141762452107,0,0.475095785440613,0.00383141762452107,0,0.00383141762452107,0,0,0.00383141762452107,0.00383141762452107,0.00383141762452107,0.00383141762452107,0.0114942528735632,0,0,0,0,0,0,0,0,0,0,0,0
150,3036,0,0.0112781954887218,0.364661654135338,0,0.0488721804511278,0.0075187969924812,0,0.0075187969924812,0.0526315789473684,0.0037593984962406,0.0225563909774436,0,0.43609022556391,0,0.0037593984962406,0.0037593984962406,0.0037593984962406,0.0037593984962406,0.0075187969924812,0.0037593984962406,0.0075187969924812,0,0,0.0075187969924812,0,0,0,0.0037593984962406,0,0,0,0,0,0,0
160,3244,0.0037037037037037,0.00740740740740741,0.292592592592593,0,0.0555555555555556,0.00740740740740741,0,0,0.0555555555555556,0.00740740740740741,0.0185185185185185,0,0.514814814814815,0.0037037037037037,0.0037037037037037,0,0,0,0,0.0037037037037037,0.00740740740740741,0.0037037037037037,0,0.00740740740740741,0,0.0037037037037037,0,0.0037037037037037,0,0,0,0,0,0,0
