"sample.depths","sample.ages","Celtis","Cephalanthus","Asteraceae.undiff.","Ilex","Quercus","Rhizophora","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Cupressaceae.Taxaceae","Alnus","Fabaceae","Cyperaceae.undiff.","Conocarpus","Bumelia","Polygonaceae","Casuarina","Euphorbiaceae","Annonaceae","Avicennia","Ulmus","Bursera.simaruba"
1,-41,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.145833333333333,0.708333333333333,0.0208333333333333,0.0104166666666667,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0
2,-38,0,0,0.0105263157894737,0.0105263157894737,0.0210526315789474,0,0.0315789473684211,0.326315789473684,0.368421052631579,0,0.126315789473684,0.0210526315789474,0.0105263157894737,0.0315789473684211,0.0421052631578947,0,0,0,0,0,0,0,0,0
3,-34,0,0.00970873786407767,0.0388349514563107,0,0.087378640776699,0.0194174757281553,0.0485436893203883,0.475728155339806,0.174757281553398,0.00970873786407767,0.0194174757281553,0.00970873786407767,0,0.029126213592233,0.0194174757281553,0.058252427184466,0,0,0,0,0,0,0,0
4,-31,0,0.0125,0.075,0.0125,0.025,0.0125,0.05,0.325,0.3125,0.1,0,0.0375,0,0,0.025,0,0.0125,0,0,0,0,0,0,0
5,-27,0,0,0.0512820512820513,0,0.0256410256410256,0,0.0384615384615385,0.282051282051282,0.512820512820513,0.0256410256410256,0.0384615384615385,0.0128205128205128,0,0,0,0,0,0.0128205128205128,0,0,0,0,0,0
7,-20,0,0,0.0625,0,0.03125,0.046875,0.0625,0.265625,0.453125,0.046875,0.015625,0,0,0,0,0,0,0,0.015625,0,0,0,0,0
9,-13,0.0104166666666667,0,0.0416666666666667,0.0520833333333333,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.270833333333333,0.479166666666667,0.03125,0,0.0416666666666667,0,0,0.03125,0,0,0.0104166666666667,0,0,0,0,0,0
11,-4,0,0.0170940170940171,0.0769230769230769,0.0683760683760684,0.0170940170940171,0.0598290598290598,0.0341880341880342,0.333333333333333,0.290598290598291,0.0683760683760684,0,0.0256410256410256,0,0.00854700854700855,0,0,0,0,0,0,0,0,0,0
15,18,0,0,0.0683760683760684,0.0598290598290598,0,0.256410256410256,0.00854700854700855,0.341880341880342,0.179487179487179,0.0170940170940171,0.00854700854700855,0,0,0,0,0,0.0341880341880342,0.0170940170940171,0,0.00854700854700855,0,0,0,0
21,51,0,0,0.0392156862745098,0.0294117647058824,0,0.156862745098039,0,0.382352941176471,0.333333333333333,0.0196078431372549,0.0196078431372549,0,0,0,0,0.00980392156862745,0,0.00980392156862745,0,0,0,0,0,0
25,184,0,0,0.03,0.04,0,0.08,0,0.32,0.32,0.03,0.01,0,0,0.03,0.01,0,0.01,0.11,0,0,0.01,0,0,0
31,384,0,0.00943396226415094,0.00943396226415094,0.0377358490566038,0,0.245283018867925,0,0.339622641509434,0.113207547169811,0.132075471698113,0,0,0.00943396226415094,0.0283018867924528,0.0377358490566038,0,0,0,0.00943396226415094,0,0,0.0283018867924528,0,0
35,408,0,0.00769230769230769,0.0230769230769231,0.00769230769230769,0.0153846153846154,0.0153846153846154,0.00769230769230769,0.169230769230769,0.261538461538462,0.453846153846154,0,0.00769230769230769,0.00769230769230769,0.00769230769230769,0,0,0,0.0153846153846154,0,0,0,0,0,0
41,445,0,0,0.0361111111111111,0,0.00416666666666667,0.00972222222222222,0,0.025,0.0375,0.879166666666667,0.00138888888888889,0,0,0.00555555555555556,0,0,0,0.00138888888888889,0,0,0,0,0,0
45,469,0,0,0.136645962732919,0.0186335403726708,0.0062111801242236,0.0372670807453416,0,0.186335403726708,0.130434782608696,0.260869565217391,0.0062111801242236,0,0,0.0186335403726708,0.124223602484472,0,0,0.062111801242236,0,0,0,0,0.0124223602484472,0
51,506,0,0,0.0663507109004739,0.004739336492891,0.014218009478673,0.440758293838863,0,0.018957345971564,0.023696682464455,0.364928909952607,0.004739336492891,0,0,0.023696682464455,0.028436018957346,0,0,0.009478672985782,0,0,0,0,0,0
55,530,0,0,0.251968503937008,0.015748031496063,0.0078740157480315,0.488188976377953,0.0078740157480315,0.0078740157480315,0.102362204724409,0.0078740157480315,0,0,0,0.015748031496063,0.0708661417322835,0,0.0078740157480315,0,0,0.015748031496063,0,0,0,0
61,567,0,0,0.227544910179641,0,0.00598802395209581,0.532934131736527,0,0.0598802395209581,0.0838323353293413,0,0,0,0.00598802395209581,0.0119760479041916,0.0119760479041916,0,0,0.0598802395209581,0,0,0,0,0,0
65,NA,0.0177514792899408,0,0.0591715976331361,0.0236686390532544,0.00591715976331361,0.153846153846154,0.00591715976331361,0.260355029585799,0.349112426035503,0.112426035502959,0,0,0,0.0118343195266272,0,0,0,0,0,0,0,0,0,0
71,NA,0,0,0.0132450331125828,0.0132450331125828,0.00662251655629139,0.0132450331125828,0,0.152317880794702,0.529801324503311,0.218543046357616,0.00662251655629139,0.00662251655629139,0.00662251655629139,0,0.0198675496688742,0,0.00662251655629139,0,0,0,0,0,0,0.00662251655629139
77,NA,0,0,0,0,0.0105263157894737,0.0105263157894737,0,0.0526315789473684,0.863157894736842,0.0421052631578947,0.0105263157894737,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0
