"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Betula","Carya","Corylus","Cyperaceae","Fagus","Larix","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Rumex","Thalictrum","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Juniperus.Thuja","Juglans","Amaranthaceae","Viburnum","Poaceae","Ranunculus","Acer.saccharum","Pinus.strobus","Fraxinus.nigra","Fraxinus.pennsylvanica","Picea.glauca","Arceuthobium","Artemisia","Castanea","Morus","Salix","Vitis","Populus","Alnus.viridis","Rosaceae.undiff.","Filipendula","Saxifraga.oppositifolia","Oxyria.digyna","Myrica","Caryophyllaceae","Galium","Celtis","Brassicaceae","Cornus.racemosa","Picea.mariana","Epilobium","Shepherdia","Ephedra","Nyssa","Saxifraga.undiff.","Dalea","Cornus.canadensis","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Apiaceae","Urtica","Polygonum"
715,0,1018,3,3,110,9,1,1,68,2,24,188,1,81,3,1,9,259,1,40,14,2,1,1,2,2,1,1,24,140,13,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,120,995,4,2,144,13,11,2,57,3,20,186,5,80,7,0,7,181,3,44,29,0,30,1,0,0,3,3,27,85,25,2,12,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,240,1001,0,0,149,8,12,1,69,2,13,149,5,105,11,0,17,197,2,50,26,0,13,2,0,0,1,1,48,57,43,1,3,1,2,1,0,0,0,1,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,360,986,2,10,128,18,11,1,100,5,17,139,4,90,5,0,7,172,0,53,35,0,8,5,1,0,3,1,23,100,17,6,7,1,3,2,0,5,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,480,997,0,2,133,17,12,1,95,4,16,189,6,81,4,0,12,197,2,62,24,0,5,0,0,0,0,1,47,50,24,5,2,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,600,1011,1,0,150,9,7,2,106,3,11,195,4,66,18,0,9,192,1,43,16,0,5,6,0,0,1,1,36,86,29,2,6,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,720,980,2,1,128,9,12,1,93,1,22,200,2,64,9,0,6,176,0,30,15,0,7,1,1,5,2,0,39,107,28,0,10,0,2,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,840,1000,3,0,147,13,26,3,116,5,6,196,3,66,12,0,6,162,1,66,23,0,3,3,0,0,1,0,37,57,31,2,4,1,2,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,960,980,0,1,151,10,14,1,110,2,15,154,5,93,4,0,7,181,3,55,10,0,10,1,0,0,0,2,32,72,31,2,7,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,1080,1039,6,3,127,9,7,2,119,4,31,188,4,59,9,0,11,195,2,55,26,0,8,0,0,1,1,1,26,95,25,7,4,2,5,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
815,1199,987,1,1,132,17,21,4,120,3,7,142,2,55,5,0,8,177,4,68,22,0,7,3,0,0,1,1,38,100,36,6,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,1319,1001,1,0,128,22,7,3,115,2,24,92,9,86,11,0,9,218,3,54,23,0,18,3,1,0,0,3,47,79,30,2,4,0,3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,1445,1003,2,4,111,9,1,2,85,1,17,161,4,81,3,0,3,266,1,44,11,0,9,1,0,0,3,1,26,114,20,2,5,0,7,0,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
