"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asplenium.rhizophyllum","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus.occidentalis","Cheilanthes","Cornus","Corylus","Cyperaceae","Dennstaedtia","Dryas","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Humulus","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Juniperus.Thuja","Larix","Lemnaceae","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nemopanthus.mucronatus","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Other.upland.herbs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum","Polypodium","Polystichum","Populus","Potamogetonaceae.Triglochin","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus","Rumex","Salix","Sambucus","Sanguisorba","Saxifragaceae","Selaginella","Stachys.type","Thalictrum","Tilia","Tsuga.canadensis","Typha","Ulmus","Unknown","Urtica","Vitis"
0.5,-23,2,0,2,2,13,2,8,1,0,0,0,92,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,14,0,2,0,0,0,11,0,0,0,2,1,0,0,0,0,4,0,0,0,1,0,0,12,0,8,12,50,17,28,1,0,0,11,0,13,59,0,0,0,0,2,4,1,0,0,0,0,0,21,0,1,0,0,0
5.5,93,5,0,3,6,6,0,7,5,0,0,0,91,0,1,0,2,0,0,0,0,1,1,0,0,1,0,0,0,10,0,1,0,0,1,30,0,0,1,0,2,0,0,1,0,3,0,0,0,3,0,1,14,3,17,6,56,17,11,0,0,0,2,2,9,64,0,0,2,11,1,0,0,0,0,0,0,2,18,0,5,0,3,0
10.5,209,18,0,1,1,14,0,7,0,0,7,0,105,0,2,0,2,1,0,0,0,1,1,0,0,8,0,0,0,11,0,6,0,0,0,9,1,0,0,6,0,0,0,0,0,0,0,0,4,15,1,0,7,0,22,1,23,7,15,0,0,0,2,0,0,65,0,0,0,0,2,3,0,0,0,1,0,0,27,0,0,5,0,0
15.5,326,8,0,2,5,11,0,2,0,0,0,0,89,0,1,0,1,0,0,0,1,0,0,0,0,3,0,1,2,14,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,2,0,0,0,5,0,2,13,0,24,17,41,17,2,0,0,0,4,0,6,60,0,0,0,0,1,0,0,0,0,0,0,0,40,0,3,0,0,1
20.5,444,4,1,2,1,7,0,4,1,0,0,1,101,0,2,1,2,0,0,0,0,3,0,0,0,1,0,0,0,13,5,3,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,1,19,0,31,2,43,12,3,0,0,0,1,2,10,74,0,0,0,0,7,0,0,0,0,0,0,1,32,0,2,21,0,0
25.5,565,2,2,1,2,10,1,1,0,0,0,0,74,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,28,0,3,0,0,1,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,13,0,33,0,46,14,1,0,0,0,4,1,3,54,0,0,1,0,0,0,0,0,0,0,0,0,45,0,2,1,0,1
30.5,691,5,0,6,1,10,0,2,0,0,0,0,82,0,1,0,0,0,0,0,0,6,0,0,0,5,0,0,0,25,2,5,2,0,0,5,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,18,0,25,6,38,12,3,0,0,0,4,1,2,43,0,0,0,0,1,0,0,0,1,0,0,1,65,0,4,13,0,0
35.5,826,5,1,5,3,7,0,2,2,0,0,0,87,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,37,0,2,0,0,0,13,0,0,2,1,0,0,0,0,0,3,1,0,0,0,0,2,8,1,21,3,37,10,1,0,0,0,6,0,2,84,0,0,1,1,0,0,0,0,0,0,0,0,80,0,3,0,0,0
40.5,970,6,0,8,9,8,0,2,0,0,0,0,109,0,2,1,1,0,0,0,0,6,0,0,0,4,0,0,1,38,0,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,19,0,20,5,54,14,0,0,0,3,1,0,1,47,0,0,0,0,1,0,0,0,0,0,0,1,76,0,2,12,0,0
45.5,1125,3,0,2,2,4,0,1,1,0,0,0,68,0,0,0,2,0,0,0,0,1,2,0,0,3,0,1,0,28,0,6,0,0,0,22,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,13,1,6,0,49,14,2,0,0,0,2,0,5,57,0,0,0,0,0,0,0,0,0,0,0,1,62,0,0,0,0,0
50.5,1293,3,0,7,9,14,2,5,0,1,0,0,112,0,2,0,1,0,0,1,0,0,0,3,0,6,0,1,0,40,0,6,1,0,0,25,0,0,0,0,0,1,0,1,0,0,1,1,4,5,1,3,18,0,13,12,74,16,9,0,0,1,0,0,6,85,0,0,0,0,1,0,0,0,0,0,0,1,120,0,2,13,0,0
