"sample.depths","sample.ages","Abies","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Picea","Quercus","Salix","Saxifragaceae","Shepherdia.canadensis","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Ambrosia","Rosaceae.undiff.","Juglans","Myrica","Pinus","Amaranthaceae","Poaceae","Carpinus","Fraxinus","Plantago","Caryophyllaceae","Acer","Fabaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","Rumex","Fagus","Carya","Larix","Potentilla","Rhus","Urticaceae","Pterocarya","Celtis","Lamiaceae","Cornus","Elaeagnus","Tsuga","Populus","Symphoricarpos"
0,-14,0.00149700598802395,0.062874251497006,0.329341317365269,0.0194610778443114,0.0029940119760479,0.0404191616766467,0.143712574850299,0.00449101796407186,0.0269461077844311,0.00149700598802395,0.00149700598802395,0.00149700598802395,0.0029940119760479,0.00598802395209581,0.0029940119760479,0.160179640718563,0.00598802395209581,0.00449101796407186,0.0029940119760479,0.00449101796407186,0.104790419161677,0.0134730538922156,0.0538922155688623,0.00149700598802395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,86,0.00292397660818713,0.064327485380117,0.385964912280702,0.00584795321637427,0,0.00292397660818713,0.157894736842105,0.0087719298245614,0.0233918128654971,0,0,0.00292397660818713,0.0146198830409357,0,0,0.169590643274854,0.0116959064327485,0.00292397660818713,0,0.00292397660818713,0.0818713450292398,0.0146198830409357,0.0409356725146199,0,0.00292397660818713,0.00292397660818713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,187,0,0.0930232558139535,0.333333333333333,0.0135658914728682,0.00387596899224806,0.0406976744186047,0.137596899224806,0,0.0193798449612403,0,0,0.00193798449612403,0.0155038759689922,0.00193798449612403,0.00193798449612403,0.137596899224806,0.0116279069767442,0.00581395348837209,0,0,0.10077519379845,0.0116279069767442,0.0678294573643411,0,0,0.00193798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,287,0,0.0643564356435644,0.321782178217822,0.0173267326732673,0,0.0198019801980198,0.146039603960396,0.00247524752475248,0.051980198019802,0,0,0.00247524752475248,0.00495049504950495,0.00495049504950495,0,0.168316831683168,0.00247524752475248,0.0148514851485149,0,0,0.0816831683168317,0.0123762376237624,0.0742574257425743,0,0,0,0.00247524752475248,0.00247524752475248,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,437,0.00536672629695885,0.0572450805008945,0.291592128801431,0.0071556350626118,0.00178890876565295,0.0161001788908766,0.178890876565295,0.0143112701252236,0.0232558139534884,0,0.00178890876565295,0,0.0071556350626118,0.00536672629695885,0,0.0930232558139535,0.00536672629695885,0.00178890876565295,0,0,0.0697674418604651,0.162790697674419,0.0483005366726297,0.00178890876565295,0,0,0,0,0,0.0035778175313059,0.00178890876565295,0.00178890876565295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,537,0.012216404886562,0.055846422338569,0.369982547993019,0.0174520069808028,0.00174520069808028,0.0296684118673647,0.212914485165794,0.0139616055846422,0.0226876090750436,0,0.00174520069808028,0.00349040139616056,0.0087260034904014,0.00349040139616056,0,0.106457242582897,0.012216404886562,0.00174520069808028,0,0.00698080279232112,0.0645724258289703,0.00698080279232112,0.0383944153577661,0,0.00523560209424084,0.00174520069808028,0,0.00174520069808028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,638,0.00527240773286467,0.0755711775043937,0.332161687170475,0.015817223198594,0,0.0175746924428823,0.193321616871705,0.0070298769771529,0.0439367311072056,0.00175746924428822,0,0.00175746924428822,0.00878734622144113,0.0070298769771529,0,0.114235500878735,0.0123022847100176,0.015817223198594,0,0.00527240773286467,0.070298769771529,0.00527240773286467,0.0474516695957821,0,0.0070298769771529,0,0,0.0070298769771529,0.00175746924428822,0,0,0,0.00351493848857645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,738,0.0032626427406199,0.0750407830342577,0.32626427406199,0.0146818923327896,0,0.032626427406199,0.249592169657423,0.0065252854812398,0.0212071778140294,0,0,0.0032626427406199,0.0163132137030995,0.00163132137030995,0,0.112561174551387,0.00815660685154975,0,0,0.00163132137030995,0.0717781402936378,0.0163132137030995,0.034257748776509,0,0,0,0,0.0032626427406199,0.00163132137030995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,838,0.00187265917602996,0.099250936329588,0.305243445692884,0.0205992509363296,0,0.0262172284644195,0.142322097378277,0.00561797752808989,0.050561797752809,0,0,0,0.0224719101123595,0.00187265917602996,0,0.159176029962547,0.00374531835205993,0.00374531835205993,0,0.00187265917602996,0.0917602996254682,0.0149812734082397,0.0393258426966292,0,0,0.00374531835205993,0,0.00374531835205993,0,0,0,0,0,0.00187265917602996,0,0,0,0,0,0,0,0,0,0,0,0,0
95,939,0.00403225806451613,0.0564516129032258,0.350806451612903,0.0221774193548387,0,0.0181451612903226,0.147177419354839,0.0120967741935484,0.0423387096774194,0,0,0,0.0262096774193548,0.00201612903225806,0,0.145161290322581,0.0141129032258065,0.00806451612903226,0,0,0.0766129032258065,0.00604838709677419,0.0665322580645161,0,0.00201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1039,0.00346020761245675,0.0709342560553633,0.384083044982699,0.0173010380622837,0,0.0207612456747405,0.167820069204152,0.00346020761245675,0.0346020761245675,0,0,0.00519031141868512,0.0173010380622837,0,0,0.147058823529412,0.00519031141868512,0.00519031141868512,0,0.00519031141868512,0.055363321799308,0.00865051903114187,0.0449826989619377,0,0,0,0,0,0,0,0,0,0,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1189,0,0.0899581589958159,0.420502092050209,0.0167364016736402,0.00209205020920502,0.0167364016736402,0.219665271966527,0.0104602510460251,0,0,0,0,0.0104602510460251,0.00627615062761506,0,0.0899581589958159,0.0104602510460251,0.00627615062761506,0,0,0.0460251046025105,0.0167364016736402,0.0376569037656904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1289,0.00219298245614035,0.0701754385964912,0.383771929824561,0.0263157894736842,0,0.0263157894736842,0.164473684210526,0.0087719298245614,0.0307017543859649,0,0,0.0043859649122807,0.0087719298245614,0,0,0.118421052631579,0.0043859649122807,0,0,0.0087719298245614,0.0657894736842105,0.0131578947368421,0.0526315789473684,0.0043859649122807,0.00219298245614035,0.00219298245614035,0,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1390,0.00665557404326123,0.0948419301164725,0.311148086522463,0.0349417637271215,0,0.0316139767054908,0.091514143094842,0.0183028286189684,0.043261231281198,0.00166389351081531,0,0,0.0149750415973378,0.00166389351081531,0.00166389351081531,0.154742096505824,0.00499168053244592,0.0116472545757072,0.00166389351081531,0.00665557404326123,0.0565723793677205,0.0232945091514143,0.0732113144758735,0,0.00499168053244592,0,0,0.00166389351081531,0,0.00166389351081531,0,0,0,0,0.00166389351081531,0.00166389351081531,0.00332778702163062,0,0,0,0,0,0,0,0,0,0
