"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Boehmeria","Brassicaceae","Campanulaceae","Carya","Castanea","Celtis","Cephalanthus","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Eriocaulon","Fabaceae","Fraxinus","Galium","Ilex","Impatiens","Indeterminable","Juglans","Lamiaceae","Liliaceae","Liquidambar","Malvaceae","Mimosaceae","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Phacelia","Picea","Pinus","Planera.aquatica","Plantago","Poaceae","Polygonum","Primula","Quercus","Ranunculaceae","Rhamnus","Rhus","Sagittaria","Salix","Sparganium","Tilia","Typha","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica","Utricularia","Viburnum","Xyris"
5,183,0,3,0,2,14,0,0,11,0,0,10,0,0,3,0,0,0,0,0,0,1,10,0,0,1,0,0,72,0,33,0,0,1,0,0,0,3,0,0,0,0,0,10,0,0,0,2,0,0,6,0,0,208,0,0,0,0,0,0,0,0,7,3,2,15,2,0,0,0
10,399,0,0,0,7,25,0,0,28,0,0,60,0,0,3,0,2,0,0,0,0,0,9,0,0,3,3,0,35,0,21,0,0,0,0,0,0,67,0,0,0,0,0,89,0,0,0,2,0,0,9,0,0,117,0,0,0,0,1,0,0,0,7,5,40,74,1,0,0,0
13,529,0,0,0,0,2,0,0,18,0,0,125,0,0,3,0,0,0,0,0,0,0,139,0,0,5,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,32,0,0,65,0,0,0,0,0,0,0,1,0,7,3,0,0,0,0,0
20,831,0,0,0,2,66,3,0,30,1,0,5,6,0,30,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,5,0,0,136,1,0,67,0,0,0,0,0,0,0,3,1,1,8,20,0,0,0,0
30,1263,0,3,0,0,53,6,0,25,0,0,38,6,0,6,0,0,0,0,0,0,0,85,0,0,2,0,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,90,0,0,47,0,0,0,1,2,0,0,1,1,7,0,9,0,0,0,0
40,1809,0,0,0,1,9,27,0,21,1,0,2,7,0,15,0,0,0,0,0,0,0,151,0,0,1,1,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,4,0,0,56,0,0,65,0,0,0,0,0,0,0,2,0,0,0,30,0,0,0,0
50,2468,0,0,0,0,11,21,0,35,0,0,0,9,0,28,0,1,0,0,0,0,0,102,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,2,0,0,112,0,0,63,0,0,0,0,1,0,0,0,0,3,2,98,0,0,0,0
60,3126,0,0,0,0,11,5,1,17,0,0,0,1,0,27,0,1,0,0,0,0,0,177,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,5,0,0,62,0,0,64,0,0,0,0,0,0,0,0,1,1,3,9,0,0,0,0
70,3785,0,0,0,0,4,2,0,14,0,0,6,0,0,15,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,100,0,0,40,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0
80,4444,0,0,0,0,7,2,0,29,0,0,13,0,0,20,0,0,0,0,0,0,0,116,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,88,3,0,84,0,0,0,0,0,0,0,0,2,32,0,39,0,0,0,0
90,5103,0,0,0,1,12,0,0,27,0,0,0,0,0,5,0,1,0,0,0,0,0,210,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,95,0,0,39,0,0,0,0,5,0,0,0,0,3,0,9,0,0,0,0
100,5762,0,1,0,0,18,1,0,12,0,0,1,0,0,29,0,1,0,0,0,0,0,52,0,0,0,0,0,0,0,17,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,65,0,0,128,0,0,0,0,8,0,0,0,3,4,0,0,1,0,0,1
110,6420,0,0,0,3,27,3,0,22,0,0,1,0,0,35,0,1,0,0,0,0,0,41,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,48,0,0,175,0,0,0,0,11,0,0,0,2,7,0,2,0,0,0,0
120,7079,0,0,0,1,10,12,0,29,0,0,0,1,0,10,0,0,0,0,0,0,0,219,0,0,1,1,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,13,0,4,0,2,0,2,80,0,0,51,0,0,0,0,6,0,0,0,0,26,0,0,0,0,0,0
130,7738,0,0,0,1,8,2,0,52,0,0,0,15,0,2,0,0,0,0,0,0,0,100,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,1,0,1,150,0,0,78,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0
140,8397,0,3,0,1,19,8,0,35,0,0,0,4,0,10,0,0,9,0,0,0,0,91,0,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,112,0,3,64,0,0,0,0,6,0,0,0,0,37,0,3,0,0,0,0
150,9056,0,4,0,4,21,3,5,30,1,1,0,12,0,3,0,0,0,0,0,0,0,46,2,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,154,0,0,84,0,0,0,0,0,0,0,0,1,33,1,15,0,0,0,0
160,9714,0,38,1,1,17,3,0,34,0,5,0,0,0,4,0,1,9,0,0,1,0,45,0,0,2,0,0,0,0,53,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,2,0,3,80,0,0,66,0,0,1,0,4,0,0,0,1,51,13,18,0,0,0,0
170,10373,0,61,1,1,24,3,0,46,0,5,0,0,0,2,0,0,20,0,0,2,0,21,1,0,5,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,5,0,0,91,1,0,93,0,0,0,1,15,0,0,0,0,42,1,1,0,0,1,0
180,11032,0,57,0,3,9,5,0,67,0,8,0,0,1,0,0,1,11,0,9,5,0,11,3,0,4,0,0,0,0,35,0,0,1,0,0,0,0,0,0,3,2,0,5,1,8,0,3,0,0,39,0,1,15,0,0,3,1,2,0,1,0,0,92,0,8,0,0,3,0
190,11691,1,238,0,0,12,6,0,57,0,55,0,0,0,1,0,0,7,0,0,10,0,5,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,40,0,0,21,0,0,14,0,2,0,0,1,0,65,3,3,0,0,8,0
200,12252,3,291,0,0,13,2,0,16,0,83,0,0,0,2,0,0,0,0,0,5,0,1,9,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,11,0,0,17,1,0,0,0,0,1,3,4,1,0,0,8,0
210,12813,0,237,0,2,34,1,0,36,0,12,2,0,0,4,0,0,0,1,0,4,0,8,11,0,1,0,0,0,1,24,0,1,0,0,0,2,0,0,0,0,0,0,9,0,0,0,1,0,0,33,0,0,24,0,0,12,0,2,0,0,5,0,11,8,11,0,0,145,0
