"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fraxinus.pennsylvanica.type","Picea.mariana.type","Pinus.undiff.","Quercus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Juniperus.type","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Rhamnus.alnifolia.R..frangula","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Fagus","Salix","Poaceae","Fraxinus.nigra.type","Cornus","Juglans.cinerea","Ostrya.Carpinus","Rosaceae","Myrica.gale","Viburnum.edule","Castanea.dentata","Ulmus","Ranunculaceae.undiff.","Amaranthaceae","Acer.rubrum","Caryophyllaceae","Acer.pensylvanicum","Acer.spicatum","Taxus","Thalictrum","Carya.ovata","Picea.glauca.type","Corylus.cornuta","Populus.tremuloides.type","Populus.balsamifera.type","Ericaceae","Fabaceae","Aralia.hispida","Plantago","Asteraceae.subf..Cichorioideae","Shepherdia.canadensis","Saxifragaceae","Onagraceae","cf..Oxyria.digyna"
20,665,0.0135363790186125,0.0287648054145516,0.66497461928934,0.00338409475465313,0.00169204737732657,0.0693739424703892,0.0050761421319797,0.00169204737732657,0.00169204737732657,0.00169204737732657,0.0050761421319797,0.11336717428088,0.00169204737732657,0.00676818950930626,0.00846023688663283,0.00169204737732657,0.011844331641286,0.00169204737732657,0.0575296108291032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1331,0.0244988864142539,0.0400890868596882,0.66815144766147,0.0022271714922049,0,0.0489977728285078,0.0155902004454343,0.0022271714922049,0,0.0022271714922049,0.0022271714922049,0.111358574610245,0,0,0.0155902004454343,0,0,0,0.0512249443207127,0.0022271714922049,0.0044543429844098,0.0044543429844098,0.0022271714922049,0.0022271714922049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1996,0.0212765957446809,0.0307328605200946,0.699763593380615,0.00709219858156028,0,0.0520094562647754,0.00472813238770686,0.00236406619385343,0,0,0.0189125295508274,0.0874704491725768,0.00472813238770686,0,0.00709219858156028,0,0.00236406619385343,0.00236406619385343,0.0520094562647754,0,0,0,0,0,0.00472813238770686,0.00236406619385343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2662,0.00778210116731518,0.0136186770428016,0.659533073929961,0,0.00194552529182879,0.0817120622568093,0.0136186770428016,0,0,0,0.00583657587548638,0.0875486381322957,0.00194552529182879,0,0.00972762645914397,0,0,0.00778210116731518,0.0778210116731518,0,0.00389105058365759,0.00778210116731518,0,0.00194552529182879,0,0,0.00194552529182879,0.00194552529182879,0.00194552529182879,0.00972762645914397,0.00194552529182879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3327,0.0273684210526316,0.0189473684210526,0.749473684210526,0.00421052631578947,0,0.0547368421052632,0.0126315789473684,0.00631578947368421,0,0,0,0.0547368421052632,0,0,0.0126315789473684,0,0,0.00210526315789474,0.04,0,0,0.00421052631578947,0,0.00210526315789474,0.00210526315789474,0,0,0,0,0.00631578947368421,0,0.00210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3992,0.00522193211488251,0.02088772845953,0.71018276762402,0.00783289817232376,0,0.0652741514360313,0.010443864229765,0,0,0,0,0.0861618798955614,0,0.00522193211488251,0.00261096605744125,0,0,0,0.0548302872062663,0.00261096605744125,0.00522193211488251,0.010443864229765,0,0,0.00261096605744125,0,0,0,0,0.00522193211488251,0,0,0.00522193211488251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4658,0.00736648250460405,0.0110497237569061,0.777163904235727,0.00184162062615101,0,0.0239410681399632,0.0202578268876611,0,0,0,0,0.0773480662983425,0,0.00184162062615101,0.0165745856353591,0,0,0.00552486187845304,0.0460405156537753,0,0,0.00184162062615101,0,0.00184162062615101,0,0,0.00368324125230203,0,0.00184162062615101,0,0,0,0,0.00184162062615101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5323,0.00415800415800416,0.0145530145530146,0.721413721413721,0,0,0.0478170478170478,0.0228690228690229,0,0.00207900207900208,0,0,0.0831600831600832,0,0.00207900207900208,0.0332640332640333,0,0,0.00623700623700624,0.0498960498960499,0.00207900207900208,0,0.00207900207900208,0.00207900207900208,0,0.00207900207900208,0,0,0,0.00207900207900208,0,0,0,0,0,0.00207900207900208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5862,0.00237529691211401,0.00712589073634204,0.641330166270784,0,0,0.118764845605701,0.0190023752969121,0.00712589073634204,0,0,0,0.0712589073634204,0.00237529691211401,0.00475059382422803,0.0308788598574822,0,0,0.00237529691211401,0.0546318289786223,0,0,0.00237529691211401,0,0.00237529691211401,0,0,0,0,0.00237529691211401,0.0237529691211401,0,0,0.00237529691211401,0,0,0.00237529691211401,0.00237529691211401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,6368,0.0033167495854063,0.0132669983416252,0.756218905472637,0.0165837479270315,0.00165837479270315,0.0464344941956882,0.0298507462686567,0.0033167495854063,0,0.00165837479270315,0,0.0298507462686567,0.00165837479270315,0.0033167495854063,0.0315091210613599,0,0.00165837479270315,0,0.033167495854063,0,0,0.00165837479270315,0,0.00497512437810945,0.0033167495854063,0,0,0,0.0033167495854063,0.00829187396351575,0,0,0,0,0,0,0,0.00165837479270315,0.00165837479270315,0.00165837479270315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
