"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Rhus","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Iva.undiff.","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Primula.type","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea"
0,-50,0,0.020186335,0.007763975,0.00310559,0.004658385,0,0,0,0.066770186,0,0.01242236,0.00310559,0.001552795,0,0.031055901,0.001552795,0.001552795,0.001552795,0.027950311,0.029503106,0.00621118,0.001552795,0,0.00621118,0,0,0,0,0.001552795,0,0.096273292,0.069875776,0.00931677,0.004658385,0.01863354,0.013975155,0.065217391,0,0.001552795,0.394409938,0.00310559,0,0,0,0,0.001552795,0.004658385,0.01552795,0.001552795,0.01552795,0.00310559,0.004658385,0,0,0.001552795,0.00310559,0.00931677,0,0,0,0,0.00931677,0.01242236,0,0,0,0,0.001552795,0.010869565,0,0,0,0
4,-32,0,0.012345679,0.005291005,0.001763668,0.005291005,0,0,0,0.063492063,0.003527337,0.014109347,0.001763668,0,0,0.040564374,0,0,0.005291005,0.02292769,0.040564374,0.003527337,0,0,0.012345679,0,0.005291005,0,0,0.001763668,0,0.183421517,0.077601411,0.007054674,0,0.010582011,0.003527337,0.05643739,0.005291005,0,0.331569665,0,0,0,0,0,0,0.010582011,0.005291005,0,0.015873016,0,0.003527337,0,0,0,0.005291005,0.008818342,0,0,0,0,0.007054674,0.02292769,0,0,0,0,0,0.005291005,0,0,0,0
8,34,0,0.019607843,0.008169935,0.001633987,0.004901961,0,0,0,0.058823529,0.006535948,0.006535948,0.001633987,0,0,0.039215686,0.001633987,0,0,0.040849673,0.035947712,0.003267974,0,0,0.011437908,0,0,0,0,0,0,0.199346405,0.120915033,0.004901961,0.003267974,0.006535948,0.004901961,0.039215686,0.003267974,0.001633987,0.235294118,0,0.001633987,0.001633987,0,0,0,0.003267974,0.004901961,0,0.04248366,0,0.001633987,0,0,0,0.003267974,0.027777778,0,0,0,0.001633987,0.008169935,0.027777778,0,0,0,0,0.003267974,0.013071895,0,0,0,0
12,94,0,0.037931034,0.00862069,0,0.00862069,0,0.001724138,0,0.065517241,0.003448276,0.022413793,0.006896552,0,0,0.027586207,0,0,0,0.025862069,0.056896552,0.00862069,0,0,0.00862069,0,0,0,0,0.005172414,0,0.167241379,0.062068966,0.00862069,0.005172414,0.012068966,0.003448276,0.065517241,0.001724138,0,0.237931034,0,0,0,0,0,0,0.022413793,0.010344828,0,0.04137931,0,0,0,0,0.001724138,0.003448276,0.006896552,0,0,0,0,0,0.018965517,0,0,0.015517241,0,0,0.027586207,0,0,0,0
16,143,0,0.02970297,0.004950495,0.001650165,0.01320132,0.001650165,0,0,0.102310231,0.001650165,0.011551155,0.004950495,0,0,0.02640264,0,0,0.001650165,0.02640264,0.069306931,0.011551155,0.00660066,0.00330033,0.00330033,0.001650165,0,0,0,0.001650165,0,0.156765677,0.057755776,0.008250825,0.00330033,0.01320132,0.00990099,0.062706271,0,0.001650165,0.245874587,0,0.001650165,0,0,0,0,0.01320132,0.00660066,0,0.047854785,0,0.00330033,0,0,0.001650165,0.001650165,0.004950495,0,0,0,0,0,0.00990099,0,0,0.01320132,0,0.001650165,0.00990099,0,0.001650165,0,0
20,190,0.00174216,0.041811847,0.020905923,0,0.006968641,0,0,0,0.071428571,0.00174216,0.015679443,0.005226481,0,0,0.026132404,0,0,0,0.034843206,0.048780488,0.006968641,0.006968641,0,0.006968641,0,0,0,0,0.005226481,0,0.156794425,0.054006969,0.013937282,0.010452962,0.026132404,0.003484321,0.041811847,0.00174216,0,0.31358885,0,0,0,0,0,0,0.026132404,0.008710801,0,0.003484321,0,0.006968641,0,0,0,0.003484321,0.005226481,0,0,0,0,0,0.006968641,0,0,0.012195122,0,0,0,0,0.003484321,0,0
24,237,0,0.065813528,0.005484461,0.001828154,0.007312614,0,0,0,0.071297989,0.003656307,0.005484461,0.003656307,0,0,0.018281536,0,0,0,0.012797075,0.073126143,0.007312614,0.001828154,0.003656307,0,0,0,0.001828154,0,0,0,0.166361974,0.042047532,0.018281536,0.009140768,0.010968921,0.009140768,0.065813528,0.003656307,0.001828154,0.325411335,0,0.001828154,0,0,0,0,0.021937843,0.003656307,0,0.001828154,0.003656307,0.001828154,0,0,0,0.003656307,0,0,0,0,0,0,0.003656307,0,0,0.005484461,0,0.010968921,0.003656307,0,0.001828154,0,0
28,303,0,0.039877301,0.007668712,0.001533742,0.001533742,0.001533742,0,0,0.087423313,0,0.029141104,0.006134969,0,0,0.013803681,0,0,0.001533742,0.012269939,0.107361963,0.006134969,0.007668712,0.003067485,0.001533742,0,0,0,0,0,0,0.113496933,0.029141104,0.013803681,0.007668712,0.024539877,0.009202454,0.049079755,0.007668712,0,0.343558282,0,0,0,0,0,0,0.035276074,0.003067485,0,0.009202454,0,0,0,0,0,0.001533742,0.007668712,0,0,0,0,0,0.004601227,0,0,0.009202454,0,0,0.001533742,0,0.001533742,0,0
32,373,0,0.044061303,0.01532567,0.001915709,0.009578544,0.001915709,0.001915709,0,0.105363985,0,0.019157088,0.003831418,0,0,0.011494253,0,0,0.001915709,0.013409962,0.076628352,0.011494253,0.005747126,0,0.001915709,0,0,0,0,0.001915709,0,0.105363985,0.022988506,0.011494253,0.003831418,0.026819923,0,0.049808429,0.001915709,0,0.38697318,0,0,0,0,0,0,0.040229885,0.007662835,0,0,0,0,0,0,0,0.001915709,0,0,0,0,0,0,0.001915709,0,0,0.011494253,0,0,0,0,0,0,0
36,443,0,0.019097222,0.010416667,0,0.012152778,0.001736111,0,0,0.079861111,0,0.017361111,0.005208333,0,0,0.008680556,0,0,0.003472222,0.013888889,0.078125,0.006944444,0.005208333,0.001736111,0.005208333,0.003472222,0,0,0,0,0,0.111111111,0.024305556,0.027777778,0.003472222,0.024305556,0,0.065972222,0.005208333,0.003472222,0.387152778,0.001736111,0,0,0,0,0,0.032986111,0.010416667,0,0,0.001736111,0.003472222,0,0,0,0,0.003472222,0,0,0,0.001736111,0,0.003472222,0,0,0.015625,0,0,0,0,0,0,0
40,513,0,0.0321489,0.010152284,0.001692047,0.00676819,0,0.001692047,0,0.096446701,0,0.025380711,0.00676819,0,0,0.010152284,0,0,0.001692047,0.00676819,0.089678511,0.00676819,0.00676819,0.001692047,0.00676819,0,0,0,0,0,0,0.098138748,0.013536379,0.027072758,0.008460237,0.016920474,0.00676819,0.050761421,0,0.003384095,0.395939086,0.001692047,0.001692047,0,0,0,0,0.027072758,0.001692047,0,0.001692047,0,0.003384095,0,0,0.001692047,0.001692047,0,0,0,0,0,0,0.001692047,0,0,0.018612521,0,0.003384095,0,0,0.003384095,0,0
44,583,0,0.038848921,0.018705036,0,0.007194245,0,0,0,0.077697842,0,0.031654676,0.002877698,0,0,0.017266187,0,0,0,0.015827338,0.103597122,0.011510791,0.005755396,0,0.002877698,0.001438849,0,0,0,0,0,0.087769784,0.031654676,0.035971223,0.011510791,0.007194245,0.010071942,0.069064748,0.002877698,0.001438849,0.353956835,0,0,0,0,0,0,0.028776978,0.007194245,0,0.004316547,0,0,0,0,0,0.001438849,0,0.001438849,0,0,0,0,0.004316547,0,0,0.004316547,0,0,0.001438849,0,0,0,0
48,653,0,0.051236749,0.005300353,0.003533569,0,0.001766784,0,0,0.091872792,0,0.014134276,0.005300353,0,0,0.022968198,0,0,0,0.010600707,0.11130742,0.003533569,0.003533569,0,0.001766784,0,0,0,0,0.001766784,0,0.121908127,0.014134276,0.019434629,0.010600707,0.017667845,0.010600707,0.051236749,0.005300353,0,0.344522968,0.001766784,0,0,0,0,0,0.035335689,0.012367491,0,0.005300353,0,0.003533569,0,0,0,0.001766784,0,0,0,0.001766784,0,0,0.003533569,0,0,0.010600707,0,0,0,0,0,0,0
52,722,0,0.03180212,0.008833922,0,0.005300353,0,0,0,0.060070671,0.001766784,0.037102473,0.003533569,0,0,0.019434629,0,0,0.005300353,0.007067138,0.068904594,0.003533569,0.001766784,0.001766784,0.007067138,0,0,0.001766784,0,0,0,0.107773852,0.030035336,0.035335689,0.005300353,0.017667845,0.007067138,0.049469965,0.003533569,0,0.411660777,0,0,0.001766784,0,0,0,0.030035336,0.012367491,0,0.001766784,0,0.003533569,0,0,0,0.001766784,0.005300353,0,0,0,0,0,0,0,0,0.010600707,0,0,0,0,0,0,0
56,786,0.001930502,0.030888031,0.007722008,0.003861004,0.00965251,0,0,0,0.088803089,0.001930502,0.019305019,0.001930502,0,0,0.005791506,0,0,0.001930502,0.003861004,0.098455598,0.001930502,0.003861004,0,0.001930502,0.001930502,0.001930502,0,0,0.001930502,0,0.148648649,0.036679537,0.019305019,0,0.027027027,0.003861004,0.046332046,0.007722008,0,0.366795367,0.001930502,0,0,0,0,0,0.025096525,0.011583012,0,0.001930502,0.001930502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007722008,0,0.001930502,0,0,0.001930502,0,0
60,851,0.001798561,0.032374101,0.007194245,0,0.003597122,0.001798561,0.001798561,0,0.100719424,0,0.035971223,0.001798561,0,0,0.007194245,0,0,0.005395683,0.012589928,0.102517986,0.012589928,0,0.001798561,0,0.001798561,0,0.001798561,0,0,0,0.113309353,0.034172662,0.025179856,0.003597122,0.014388489,0.010791367,0.039568345,0.008992806,0,0.370503597,0,0,0,0,0,0.001798561,0.019784173,0.008992806,0,0,0.001798561,0,0,0,0.001798561,0.003597122,0.001798561,0,0,0,0,0,0.001798561,0,0,0.005395683,0,0,0,0,0,0,0
64,916,0,0.027960526,0.008223684,0.003289474,0.013157895,0,0,0,0.075657895,0.001644737,0.052631579,0.004934211,0,0,0.004934211,0,0.003289474,0,0.004934211,0.075657895,0.008223684,0.003289474,0,0.001644737,0.001644737,0,0,0,0.003289474,0,0.113486842,0.024671053,0.011513158,0.004934211,0.009868421,0.004934211,0.036184211,0,0,0.447368421,0,0,0,0,0,0.003289474,0.029605263,0.003289474,0,0.001644737,0,0,0,0,0,0,0,0,0,0,0,0,0.004934211,0,0,0,0,0.008223684,0,0,0.001644737,0,0
68,980,0,0.021582734,0.012589928,0,0.001798561,0,0,0,0.077338129,0,0.034172662,0,0,0,0.005395683,0.001798561,0,0,0.005395683,0.057553957,0.007194245,0.005395683,0,0,0,0,0.003597122,0,0,0,0.133093525,0.052158273,0.008992806,0.003597122,0.021582734,0.003597122,0.034172662,0.005395683,0,0.444244604,0,0,0,0,0,0.001798561,0.035971223,0.010791367,0,0.001798561,0,0,0,0,0,0.001798561,0.001798561,0,0,0,0,0,0,0,0,0.001798561,0,0.001798561,0,0,0.001798561,0,0
72,1045,0,0.024952015,0.003838772,0,0.02303263,0,0.001919386,0,0.05950096,0,0.02303263,0.001919386,0,0,0.005758157,0,0.005758157,0.011516315,0.011516315,0.061420345,0.007677543,0,0,0.001919386,0,0,0,0,0.003838772,0,0.13243762,0.024952015,0.021113244,0.001919386,0.007677543,0.003838772,0.026871401,0.005758157,0,0.460652591,0,0,0,0,0,0,0.040307102,0.003838772,0,0.001919386,0.001919386,0.003838772,0,0,0.001919386,0.005758157,0,0,0,0,0,0,0.001919386,0,0,0.001919386,0,0.003838772,0,0,0,0,0
76,1110,0.001677852,0.026845638,0.008389262,0.003355705,0.011744966,0,0,0,0.073825503,0.001677852,0.020134228,0.001677852,0,0,0.003355705,0,0,0,0.003355705,0.058724832,0.003355705,0.005033557,0.003355705,0.003355705,0.001677852,0,0,0,0.003355705,0,0.10738255,0.02852349,0.011744966,0.003355705,0.013422819,0.005033557,0.05033557,0.006711409,0,0.44966443,0,0.001677852,0,0,0,0.001677852,0.060402685,0.008389262,0,0,0,0,0,0,0,0.001677852,0.006711409,0,0,0,0,0,0,0,0,0.008389262,0,0,0,0,0,0,0
80,1175,0,0.019230769,0.005769231,0,0.007692308,0,0,0,0.078846154,0,0.013461538,0.001923077,0,0,0.005769231,0,0.001923077,0.007692308,0.015384615,0.065384615,0.001923077,0.001923077,0,0.001923077,0,0,0,0,0,0,0.115384615,0.017307692,0.003846154,0,0.011538462,0.003846154,0.046153846,0.003846154,0,0.5,0,0,0.003846154,0,0,0,0.038461538,0.011538462,0,0.001923077,0.001923077,0.001923077,0,0,0,0.001923077,0,0,0,0,0,0,0.001923077,0,0,0,0,0.003846154,0,0,0.001923077,0,0
84,1237,0,0.020446097,0.011152416,0,0.00929368,0,0,0,0.07063197,0.001858736,0.029739777,0.001858736,0,0,0.005576208,0,0,0,0.00929368,0.057620818,0.005576208,0,0.001858736,0,0,0,0,0,0,0,0.23605948,0.003717472,0.022304833,0.003717472,0.011152416,0.001858736,0.048327138,0.003717472,0,0.379182156,0.001858736,0,0,0,0,0,0.026022305,0.011152416,0,0.001858736,0,0,0,0,0,0.001858736,0.005576208,0,0,0,0,0,0,0,0,0.016728625,0,0,0,0,0,0,0
88,1298,0,0.018975332,0.0056926,0,0.011385199,0,0,0,0.049335863,0.001897533,0.026565465,0.0056926,0,0,0.013282732,0,0.007590133,0.0056926,0.009487666,0.032258065,0.001897533,0,0,0,0,0,0,0,0,0,0.256166983,0.018975332,0.007590133,0,0.011385199,0.003795066,0.045540797,0,0,0.440227704,0,0,0.001897533,0,0,0,0.011385199,0.003795066,0,0,0,0.001897533,0,0,0,0.003795066,0,0,0,0,0,0,0,0,0,0.001897533,0,0,0,0,0.001897533,0,0
92,1359,0,0.0056926,0.0056926,0.001897533,0.003795066,0.001897533,0,0,0.05313093,0,0.011385199,0,0,0,0.011385199,0,0,0.001897533,0.0056926,0.045540797,0.0056926,0,0,0.003795066,0,0,0,0,0.001897533,0,0.229601518,0.009487666,0.0056926,0.001897533,0.013282732,0.001897533,0.041745731,0.001897533,0,0.466793169,0,0,0,0,0,0,0.045540797,0.007590133,0,0,0,0.001897533,0,0,0,0.0056926,0.001897533,0,0,0,0,0,0.001897533,0,0,0.003795066,0,0,0,0,0,0,0
96,1420,0,0.0192,0.0112,0,0.0032,0,0,0,0.0688,0.0016,0.024,0,0,0,0.0096,0,0,0.0064,0,0.048,0.0064,0.0016,0,0,0,0,0,0,0.0016,0,0.2256,0.0032,0.0064,0,0.0128,0,0.0288,0.0048,0,0.4528,0,0.0016,0.0016,0,0,0,0.0224,0.0112,0,0.0016,0.0016,0.0032,0,0,0,0.0032,0.0032,0,0,0,0,0,0.0016,0,0,0.0048,0,0.0032,0.0016,0,0.0032,0,0
100,1482,0,0.016605166,0.016605166,0.001845018,0.011070111,0,0,0,0.084870849,0,0.033210332,0,0,0,0.007380074,0,0,0.003690037,0.007380074,0.073800738,0.001845018,0.003690037,0,0.001845018,0,0,0,0,0,0,0.225092251,0.020295203,0.009225092,0.003690037,0.007380074,0.007380074,0.055350554,0.003690037,0,0.337638376,0,0,0,0,0,0.001845018,0.033210332,0.009225092,0,0.001845018,0,0.003690037,0,0,0,0.001845018,0.001845018,0,0,0,0,0,0.007380074,0,0,0.003690037,0,0,0,0,0.001845018,0,0
104,1543,0,0.010733453,0.016100179,0,0.005366726,0,0.001788909,0,0.08765653,0,0.02862254,0.007155635,0,0,0.007155635,0,0,0.005366726,0.003577818,0.076923077,0.005366726,0.001788909,0.001788909,0,0,0,0,0,0,0,0.198568873,0.012522361,0.023255814,0.001788909,0.007155635,0.001788909,0.053667263,0.003577818,0,0.350626118,0,0,0,0,0,0,0.044722719,0.007155635,0,0.001788909,0.001788909,0,0,0,0,0.003577818,0.001788909,0,0,0.001788909,0,0,0.005366726,0,0,0.01431127,0,0.005366726,0,0,0,0,0
108,1604,0,0.009174312,0.016513761,0,0.011009174,0,0,0,0.07706422,0,0.040366972,0.003669725,0,0,0.011009174,0.001834862,0.001834862,0.001834862,0.011009174,0.075229358,0.009174312,0.00733945,0,0,0.003669725,0,0,0,0.001834862,0,0.185321101,0.011009174,0.011009174,0,0.016513761,0.011009174,0.047706422,0.00733945,0,0.368807339,0.001834862,0,0,0,0,0,0.036697248,0,0,0,0,0.001834862,0,0,0.001834862,0.005504587,0.005504587,0,0,0,0.001834862,0,0.001834862,0,0,0,0,0,0,0,0.001834862,0,0
112,1665,0,0.018484288,0.014787431,0,0.003696858,0,0.001848429,0,0.103512015,0,0.027726433,0.001848429,0,0,0.009242144,0,0,0.005545287,0.001848429,0.112754159,0.005545287,0.005545287,0.001848429,0.001848429,0,0,0,0,0.001848429,0,0.194085028,0.014787431,0.018484288,0.001848429,0.011090573,0.003696858,0.033271719,0.003696858,0,0.334565619,0,0,0,0,0,0,0.033271719,0.003696858,0,0.003696858,0,0.003696858,0,0,0.003696858,0.005545287,0.001848429,0,0,0,0,0,0.001848429,0,0,0.001848429,0,0.007393715,0,0,0,0,0
116,1726,0,0.01618705,0.005395683,0.001798561,0.014388489,0,0,0,0.084532374,0,0.025179856,0.001798561,0,0,0.007194245,0,0,0,0.008992806,0.100719424,0.003597122,0.001798561,0.003597122,0.003597122,0.001798561,0,0,0,0,0,0.170863309,0.026978417,0.01618705,0.003597122,0.021582734,0.003597122,0.010791367,0.005395683,0,0.366906475,0,0,0,0,0,0.001798561,0.035971223,0.014388489,0,0,0,0.003597122,0,0,0,0.001798561,0.014388489,0,0,0,0,0,0.003597122,0,0,0.017985612,0,0,0,0,0,0,0
120,1788,0,0.030418251,0.015209125,0,0.011406844,0,0,0,0.057034221,0.001901141,0.017110266,0.005703422,0,0,0.013307985,0,0.001901141,0.017110266,0.005703422,0.114068441,0.005703422,0.001901141,0,0.001901141,0.003802281,0,0,0,0.001901141,0,0.19581749,0.034220532,0.020912548,0.003802281,0.005703422,0.003802281,0.022813688,0.001901141,0,0.313688213,0,0,0,0,0,0.001901141,0.039923954,0.017110266,0,0.003802281,0,0.003802281,0,0,0,0.003802281,0.005703422,0,0,0,0,0,0.005703422,0,0,0.009505703,0,0,0,0,0,0,0
124,1831,0.00173913,0.019130435,0.006956522,0.003478261,0.005217391,0,0,0,0.067826087,0,0.033043478,0.00173913,0,0,0.006956522,0,0,0.003478261,0.00173913,0.113043478,0.006956522,0.003478261,0.00173913,0,0.003478261,0,0,0,0,0,0.210434783,0.036521739,0.024347826,0.003478261,0.008695652,0.00173913,0.048695652,0.00173913,0,0.304347826,0,0,0,0,0,0.00173913,0.03826087,0.003478261,0,0.003478261,0.00173913,0.005217391,0,0,0,0.00173913,0.005217391,0,0,0,0.00173913,0,0.00173913,0,0,0.015652174,0,0,0,0,0,0,0
128,1869,0,0.04494382,0.007490637,0.003745318,0.007490637,0,0,0,0.099250936,0,0.02247191,0.003745318,0,0,0.013108614,0,0,0.007490637,0.016853933,0.093632959,0.013108614,0.003745318,0.003745318,0.003745318,0.001872659,0,0,0,0,0,0.166666667,0.024344569,0.014981273,0.001872659,0.003745318,0.009363296,0.056179775,0.003745318,0,0.308988764,0,0.001872659,0,0,0,0,0.026217228,0.009363296,0,0.001872659,0,0,0,0,0.001872659,0,0.005617978,0.001872659,0,0,0,0,0.001872659,0,0,0.013108614,0,0,0,0,0,0,0
