"sample.depths","sample.ages","Betula","Carya","Ericaceae","Ilex","Juglans.cinerea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Myricaceae","Poaceae","Plantago","Castanea.dentata","Tsuga.canadensis","Fagus.grandifolia","Acer.rubrum","Ostrya.Carpinus","Salix","Populus","Amaranthaceae","Larix.laricina","Liquidambar.styraciflua","Liriodendron.tulipifera","Acer.undiff.","Juglans.nigra","Corylus","Nyssa","Picea","Tilia.americana","Cupressaceae","Artemisia","Caryophyllaceae","Rubus","Lamiaceae","Apiaceae","Oenothera","Cyperaceae","Polygonum","Asteraceae.subf..Cichorioideae","Verbena","Abies","Thalictrum","Sanguisorba"
10,45,0.106628242074928,0.0172910662824208,0.0115273775216138,0.00576368876080692,0.00864553314121038,0.00288184438040346,0.00864553314121038,0.0345821325648415,0.469740634005764,0.00288184438040346,0.0172910662824208,0.0201729106628242,0.0547550432276657,0.123919308357349,0.031700288184438,0.00864553314121038,0.0461095100864553,0.0172910662824208,0.00288184438040346,0.00576368876080692,0.00288184438040346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,89,0.175757575757576,0.0212121212121212,0,0.00303030303030303,0.0181818181818182,0,0.0181818181818182,0.0242424242424242,0.339393939393939,0.00303030303030303,0.0393939393939394,0.0151515151515152,0.0606060606060606,0.115151515151515,0.00303030303030303,0.00606060606060606,0.0636363636363636,0.00909090909090909,0.00606060606060606,0.0303030303030303,0.00606060606060606,0.00606060606060606,0.00606060606060606,0.00606060606060606,0.0121212121212121,0.00303030303030303,0.00303030303030303,0.00303030303030303,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,134,0.092140921409214,0.024390243902439,0,0,0.008130081300813,0.008130081300813,0.00542005420054201,0.0542005420054201,0.363143631436314,0.002710027100271,0.0840108401084011,0.010840108401084,0.0867208672086721,0.0758807588075881,0.008130081300813,0.013550135501355,0.040650406504065,0.008130081300813,0.029810298102981,0.048780487804878,0.008130081300813,0.00542005420054201,0.00542005420054201,0.00542005420054201,0,0,0,0,0.002710027100271,0.002710027100271,0.00542005420054201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,178,0.11484593837535,0.0280112044817927,0.00280112044817927,0.00560224089635854,0.0112044817927171,0,0.00560224089635854,0.0756302521008403,0.322128851540616,0,0.00840336134453781,0.0112044817927171,0.0728291316526611,0.0868347338935574,0.00560224089635854,0.00560224089635854,0.0504201680672269,0.00280112044817927,0.0532212885154062,0.0812324929971989,0.0224089635854342,0.00840336134453781,0.00280112044817927,0,0,0,0,0,0,0.00280112044817927,0.00280112044817927,0.00840336134453781,0.00280112044817927,0.00560224089635854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,257,0.0886426592797784,0.0332409972299169,0,0.00277008310249307,0.00831024930747922,0.00277008310249307,0.0166204986149584,0.102493074792244,0.457063711911357,0.00554016620498615,0.0277008310249307,0.00554016620498615,0.0526315789473684,0.0110803324099723,0.00831024930747922,0.00554016620498615,0.00554016620498615,0,0.00554016620498615,0.119113573407202,0.0110803324099723,0,0.00277008310249307,0.00277008310249307,0.00277008310249307,0,0.00277008310249307,0,0.00277008310249307,0.00554016620498615,0,0,0.00554016620498615,0.00277008310249307,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,370,0.097902097902098,0.0384615384615385,0,0,0.0034965034965035,0,0.006993006993007,0.101398601398601,0.524475524475524,0,0.006993006993007,0.006993006993007,0.027972027972028,0.006993006993007,0.0034965034965035,0.041958041958042,0.013986013986014,0,0.013986013986014,0.0559440559440559,0.0174825174825175,0,0.006993006993007,0.006993006993007,0,0,0,0,0.006993006993007,0,0,0.006993006993007,0.0034965034965035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,482,0.119113573407202,0.0941828254847645,0,0,0.00277008310249307,0,0.00831024930747922,0.0637119113573407,0.490304709141274,0,0.00831024930747922,0.0138504155124654,0.0138504155124654,0,0,0.00554016620498615,0,0,0.0221606648199446,0.0831024930747922,0.0304709141274238,0,0.00831024930747922,0.00277008310249307,0,0,0.00277008310249307,0,0.00277008310249307,0,0,0.0110803324099723,0.0138504155124654,0,0,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,0,0
80,595,0.104815864022663,0.0793201133144476,0,0,0.0056657223796034,0,0.0056657223796034,0.0679886685552408,0.521246458923513,0,0,0.0056657223796034,0.0311614730878187,0,0,0.0084985835694051,0,0,0.0141643059490085,0.113314447592068,0.0254957507082153,0,0,0,0,0,0,0,0.0056657223796034,0.0113314447592068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,708,0.0903426791277259,0.0404984423676012,0.00311526479750779,0.00623052959501558,0.00623052959501558,0,0,0.0342679127725857,0.61993769470405,0,0.00311526479750779,0,0.0404984423676012,0.00311526479750779,0,0,0.00623052959501558,0,0.0249221183800623,0.0373831775700935,0.0342679127725857,0,0.0249221183800623,0,0,0,0,0,0,0.0155763239875389,0,0.00623052959501558,0,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,821,0.133956386292835,0.0186915887850467,0,0,0.0155763239875389,0.00311526479750779,0,0.0249221183800623,0.623052959501558,0,0.0155763239875389,0.00623052959501558,0.0249221183800623,0.00623052959501558,0.00311526479750779,0.0155763239875389,0.00623052959501558,0,0.0342679127725857,0.0155763239875389,0.0155763239875389,0.00934579439252336,0.00934579439252336,0.0124610591900312,0,0,0,0,0,0,0,0.00623052959501558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
