"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Prunus","Quercus","Rhamnus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Spiraea","Tilia","Ulmus","Viburnum.lentago","Viburnum.opulus","Viburnum.rafinesquianum.type","Viburnum.undiff.","Allium","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caltha.type","Caryophyllaceae.undiff.","Caulophyllum.thalictroides","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Dalea.candida.type","Dalea.purpurea.type","Epilobium","Euphorbia","Fabaceae.undiff.","Galium","Humulus","Impatiens","Iva.annua.type","Iva.xanthifolia","Lysimachia","Mimulus","Pedicularis","Poaceae","Polygonum.amphibium","Polygonum.aviculare","Polygonum.persicaria","Potentilla","Ranunculus","Rosaceae.undiff.","Rumex","Scrophularia","Stellaria","Thalictrum","Urtica.type","Viola","Xanthium"
240,9611,0,0,0,0,0.0062111801242236,0.0279503105590062,0.0031055900621118,0.0031055900621118,0.0093167701863354,0,0,0,0,0,0,0.0031055900621118,0.0248447204968944,0,0,0.503105590062112,0,0,0.282608695652174,0.0062111801242236,0,0.015527950310559,0,0.0031055900621118,0,0.0031055900621118,0.0031055900621118,0.0031055900621118,0,0,0.0124223602484472,0,0,0,0,0,0.0031055900621118,0,0,0.0372670807453416,0,0,0,0,0,0,0.0062111801242236,0.015527950310559,0,0,0,0,0,0,0.0031055900621118,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0.0031055900621118,0,0,0,0,0,0,0
245,9798,0,0,0,0,0.00677200902934537,0.0316027088036117,0,0.0090293453724605,0.0158013544018059,0,0,0.00225733634311512,0.00225733634311512,0,0,0,0.0248306997742664,0,0.00225733634311512,0.595936794582393,0.0225733634311512,0,0.0948081264108352,0.00225733634311512,0,0.0225733634311512,0,0.0203160270880361,0,0.00225733634311512,0,0.00451467268623025,0,0,0.0293453724604966,0,0,0,0,0,0.0090293453724605,0,0,0.0316027088036117,0.00451467268623025,0,0,0,0,0,0.0112866817155756,0.018058690744921,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316027088036117,0,0,0,0,0,0.00225733634311512,0,0,0,0,0,0.00225733634311512,0
261,10425,0,0,0,0,0.0168918918918919,0.0202702702702703,0,0.00675675675675676,0.027027027027027,0,0.00337837837837838,0,0,0,0,0,0.0168918918918919,0,0,0.564189189189189,0.027027027027027,0.00337837837837838,0.0878378378378378,0.00337837837837838,0,0.0472972972972973,0,0.0135135135135135,0,0,0,0,0,0.00337837837837838,0.00337837837837838,0,0,0,0,0,0.0236486486486486,0.00337837837837838,0,0.0202702702702703,0.00337837837837838,0,0,0,0,0,0.0202702702702703,0.0472972972972973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371621621621622,0,0,0,0,0,0,0,0,0,0,0,0,0
