"sample.depths","sample.ages","upland.sum","Picea","Pinus","Larix","Betula","Populus","Quercus","Acer","Juniperus","Alnus","Salix","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Artemisia","Arctostaphylos","Chenopodiineae","Rosaceae","Polygonaceae","Caryophyllaceae","Brassicaceae","Cyperaceae"
0,-41,302,147,23,0,19,0,0,0,2,14,3,61,12,4,2,0,2,1,6,0,0,6
50,991,300,163,25,4,18,0,0,0,0,8,5,32,17,4,0,3,0,3,0,0,0,18
100,2023,372,275,39,0,11,0,0,0,2,13,5,13,2,0,2,2,0,1,0,1,1,5
150,3056,329,205,35,0,15,0,0,0,0,37,6,18,5,1,0,0,0,3,0,1,0,3
200,4089,393,99,15,0,55,1,0,1,0,137,13,6,11,8,6,0,4,0,0,0,0,37
250,5122,447,344,16,0,30,0,0,0,0,12,3,8,11,3,0,0,4,2,6,2,0,6
300,6154,350,151,31,0,42,0,0,0,2,52,9,31,7,2,0,0,8,3,0,0,0,12
350,7187,348,211,16,3,42,0,1,0,3,34,6,2,2,5,4,0,3,2,0,1,1,12
