"sample.depths","sample.ages","Artemisia","Betula","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.undiff.","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Rubus.chamaemorus","Cupressaceae","Corylus","Oxyria.digyna","Epilobium","Plantago","Pedicularis.lanceolata","Larix","Ulmus","Fagus","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","Rumex","Brassicaceae","Polygonum.viviparum","Rosaceae.undiff.","Quercus","Fraxinus","Ostrya","Caryophyllaceae"
1,88,0.0109689213893967,0.489945155393053,0.096892138939671,0.0639853747714808,0.138939670932358,0.0127970749542962,0.00914076782449726,0.0182815356489945,0.00182815356489945,0.00548446069469835,0.00548446069469835,0.0127970749542962,0.117001828153565,0.00182815356489945,0.00182815356489945,0.0109689213893967,0.00182815356489945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,418,0.0136986301369863,0.405088062622309,0.12720156555773,0.0919765166340509,0.129158512720157,0.00587084148727984,0.00587084148727984,0.0234833659491194,0,0.00195694716242661,0.00782778864970646,0.00391389432485323,0.160469667318982,0,0,0.0215264187866928,0,0.00195694716242661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,831,0.00747663551401869,0.413084112149533,0.117757009345794,0.0747663551401869,0.155140186915888,0,0.00560747663551402,0.0355140186915888,0.00186915887850467,0.0168224299065421,0.011214953271028,0.00747663551401869,0.11588785046729,0,0.00186915887850467,0.0261682242990654,0.00373831775700935,0.00186915887850467,0.00186915887850467,0.00186915887850467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1161,0.0133587786259542,0.393129770992366,0.104961832061069,0.0706106870229008,0.192748091603053,0.00190839694656489,0.00381679389312977,0.0190839694656489,0,0.00381679389312977,0.00190839694656489,0.00381679389312977,0.154580152671756,0,0,0.0152671755725191,0.0114503816793893,0.00190839694656489,0,0,0.00190839694656489,0.00190839694656489,0.00381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1678,0.0109489051094891,0.414233576642336,0.116788321167883,0.0821167883211679,0.136861313868613,0.00182481751824818,0,0.0164233576642336,0.00364963503649635,0.00912408759124088,0.00547445255474453,0.00364963503649635,0.162408759124088,0,0.00364963503649635,0.0200729927007299,0.00547445255474453,0.00182481751824818,0,0,0,0,0.00182481751824818,0.00182481751824818,0.00182481751824818,0,0,0,0,0,0,0,0,0,0,0
20,2030,0.0135922330097087,0.427184466019417,0.102912621359223,0.0776699029126214,0.176699029126214,0.0058252427184466,0.00388349514563107,0.0252427184466019,0,0.00194174757281553,0.00388349514563107,0.00776699029126214,0.120388349514563,0,0,0.0310679611650485,0,0.00194174757281553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2381,0.0097879282218597,0.437194127243067,0.110929853181077,0.0701468189233279,0.153344208809135,0.0065252854812398,0.0032626427406199,0.032626427406199,0,0.0163132137030995,0.00163132137030995,0,0.120717781402936,0,0,0.0163132137030995,0.0032626427406199,0,0,0.00163132137030995,0.0032626427406199,0,0.00163132137030995,0,0.00163132137030995,0.00163132137030995,0.00163132137030995,0.00163132137030995,0.00163132137030995,0.00163132137030995,0.00163132137030995,0,0,0,0,0
24,2733,0.0129390018484288,0.386321626617375,0.136783733826248,0.0850277264325323,0.177449168207024,0.00369685767097967,0,0.0203327171903882,0,0.0055452865064695,0.0055452865064695,0,0.144177449168207,0,0,0.0166358595194085,0,0.00369685767097967,0,0,0.00184842883548983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3084,0.0137221269296741,0.37221269296741,0.126929674099485,0.090909090909091,0.202401372212693,0.00343053173241852,0,0.0274442538593482,0.00171526586620926,0.0154373927958834,0.00514579759862779,0.00343053173241852,0.109777015437393,0,0,0.0137221269296741,0.00171526586620926,0.00343053173241852,0,0,0.00514579759862779,0.00171526586620926,0,0,0,0,0,0,0,0.00171526586620926,0,0,0,0,0,0
32,3711,0.00784929356357928,0.372056514913658,0.113029827315542,0.0784929356357928,0.224489795918367,0.00156985871271586,0,0.0204081632653061,0,0.00941915227629513,0.00156985871271586,0.00470957613814757,0.1287284144427,0,0.00156985871271586,0.0188383045525903,0.00470957613814757,0.00313971742543171,0,0,0,0.00156985871271586,0,0.00156985871271586,0.00470957613814757,0,0,0,0,0,0,0.00156985871271586,0,0,0,0
42,4044,0.0155038759689922,0.387596899224806,0.0872093023255814,0.0910852713178295,0.205426356589147,0.00387596899224806,0.00387596899224806,0.0135658914728682,0,0.00581395348837209,0.00581395348837209,0.00193798449612403,0.145348837209302,0,0,0.0271317829457364,0.00193798449612403,0.00193798449612403,0,0,0.00193798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4310,0.00350877192982456,0.412280701754386,0.1,0.056140350877193,0.23859649122807,0,0.00526315789473684,0.0140350877192982,0,0.00350877192982456,0.0105263157894737,0.00350877192982456,0.121052631578947,0.00175438596491228,0,0.0245614035087719,0,0,0,0,0.00175438596491228,0,0,0,0.00175438596491228,0,0,0,0,0,0,0.00175438596491228,0,0,0,0
58,4576,0.0190839694656489,0.33969465648855,0.129770992366412,0.0763358778625954,0.177480916030534,0.00381679389312977,0.00572519083969466,0.0229007633587786,0,0.00381679389312977,0.0152671755725191,0.00190839694656489,0.169847328244275,0,0.00190839694656489,0.0229007633587786,0.00190839694656489,0.00381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190839694656489,0.00190839694656489,0,0
66,4842,0.0118845500848896,0.32088285229202,0.101867572156197,0.066213921901528,0.195246179966044,0.00509337860780985,0.0033955857385399,0.0220713073005093,0,0.0067911714770798,0.0118845500848896,0.00169779286926995,0.225806451612903,0,0.0033955857385399,0.0118845500848896,0.00509337860780985,0,0,0,0.00169779286926995,0.00169779286926995,0,0,0.00169779286926995,0,0,0,0,0,0,0,0,0,0.00169779286926995,0
74,5108,0.0192616372391653,0.354735152487962,0.0609951845906902,0.0770465489566613,0.168539325842697,0.00321027287319422,0.00321027287319422,0.0176565008025682,0,0.00642054574638844,0.00160513643659711,0.00642054574638844,0.253611556982344,0.00160513643659711,0,0.0176565008025682,0.00160513643659711,0.00481540930979133,0,0,0,0,0.00160513643659711,0,0,0,0,0,0,0,0,0,0,0,0,0
82,5374,0.0102915951972556,0.303602058319039,0.078902229845626,0.0754716981132075,0.176672384219554,0.00343053173241852,0.00514579759862779,0.00857632933104631,0,0.00857632933104631,0.00857632933104631,0.00343053173241852,0.295025728987993,0.00171526586620926,0.00343053173241852,0.0102915951972556,0,0,0,0,0.00514579759862779,0,0,0,0,0,0,0,0,0,0,0,0.00171526586620926,0,0,0
90,5742,0.0157342657342657,0.323426573426573,0.0839160839160839,0.0804195804195804,0.166083916083916,0.00174825174825175,0.00174825174825175,0.00524475524475524,0,0.0104895104895105,0.00874125874125874,0.006993006993007,0.269230769230769,0,0.00524475524475524,0.0192307692307692,0,0,0,0,0.00174825174825175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,6172,0.0107334525939177,0.359570661896243,0.0787119856887299,0.0679785330948122,0.123434704830054,0.0035778175313059,0.0035778175313059,0.0161001788908766,0,0,0.00178890876565295,0.0107334525939177,0.313059033989267,0,0,0.00894454382826476,0,0.00178890876565295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,6602,0.0206794682422452,0.285081240768095,0.0960118168389956,0.0354505169867061,0.134416543574594,0.00443131462333826,0.00295420974889217,0.0428360413589365,0,0.00590841949778434,0.00738552437223043,0.00738552437223043,0.327917282127031,0.00295420974889217,0.00443131462333826,0.0103397341211226,0,0.00295420974889217,0.00295420974889217,0,0,0,0,0,0.00295420974889217,0.00147710487444609,0,0,0,0,0,0,0,0,0.00147710487444609,0
114,7033,0.0193798449612403,0.292635658914729,0.131782945736434,0.0174418604651163,0.197674418604651,0.00387596899224806,0.00387596899224806,0.0465116279069767,0,0.00193798449612403,0.00387596899224806,0,0.253875968992248,0,0.00387596899224806,0.00968992248062015,0,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387596899224806,0,0.00193798449612403,0.00193798449612403
124,7570,0.0319488817891374,0.175718849840256,0.210862619808307,0.0143769968051118,0.194888178913738,0,0.00479233226837061,0.0415335463258786,0,0.00479233226837061,0.00638977635782748,0.00638977635782748,0.257188498402556,0,0.012779552715655,0.0255591054313099,0,0.00479233226837061,0,0,0,0.00159744408945687,0,0,0,0.00159744408945687,0,0,0,0,0,0.00159744408945687,0.00159744408945687,0,0,0.00159744408945687
