"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Campanulaceae","Ostrya.Carpinus","Carya","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Cornus","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae","Juglans.cinerea","Juglans.nigra","Liquidambar","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygala","Polygonum.amphibium.type","Polygonum.lapathifolium.type","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Apiaceae"
23,538,538,0,1,0,81,3,2,0,0,1,2,4,8,5,0,0,1,63,0,2,0,208,0,2,0,0,3,1,9,1,3,0,0,0,122,2,4,0,0,9,1
30,711,513,0,5,1,40,3,4,0,2,2,3,1,7,4,0,0,0,98,1,1,2,111,0,1,0,0,9,3,81,0,7,0,1,0,113,0,8,0,2,3,0
40,959,382,0,1,0,5,1,0,0,1,4,0,2,1,4,0,0,0,96,0,1,2,74,0,0,0,0,13,9,110,0,1,0,0,1,55,0,0,0,0,1,0
60,1456,492,0,6,3,7,3,2,1,0,5,1,0,1,0,1,0,0,82,2,4,0,92,1,0,0,1,35,7,170,0,1,1,0,0,61,0,1,1,2,1,0
80,1952,407,0,4,0,6,2,2,0,0,3,0,1,2,0,0,0,0,46,0,1,1,47,0,0,0,0,40,10,204,0,3,0,0,0,32,0,0,0,1,2,0
82,2002,904,1,2,1,6,1,6,0,6,8,0,1,5,6,0,0,0,22,14,4,0,576,1,1,0,0,25,14,42,0,4,0,0,0,150,0,0,0,1,7,0
87,2126,955,0,5,1,10,3,6,0,4,10,0,0,0,4,0,2,0,26,6,4,3,605,1,3,0,0,30,8,38,0,4,0,0,0,169,0,1,0,0,11,1
97,2374,673,0,2,0,10,3,5,0,6,12,0,0,2,2,1,0,0,17,7,11,1,342,5,1,0,1,32,18,29,0,5,0,0,0,152,0,3,0,1,5,0
104.5,NA,333,0,2,0,3,4,2,0,1,3,0,0,1,5,0,0,0,12,2,4,1,14,1,3,1,0,24,12,107,0,3,0,0,0,114,0,2,1,0,11,0
107,NA,250,0,1,1,6,2,0,0,1,3,0,0,0,3,0,0,0,12,0,1,0,6,0,1,1,1,24,3,154,0,1,0,0,0,23,0,0,0,1,5,0
