"sample.depths","sample.ages","Acer.rubrum","Ambrosia.type","Betula","Carya","Cephalanthus","Clethra","Asteraceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Ilex","Asteraceae.subf..Cichorioideae","Liquidambar","Liriodendron","Magnolia","Nyssa","Ostrya.Carpinus","Platanus","Quercus","Salix","Taxodium","Ulmus","Vitis","Alnus","Fraxinus","Myrica","Pinus","Rosaceae","Cupressaceae.undiff.","Acer.saccharum.type","Juglans.nigra","Saxifragaceae","Tsuga","Viburnum","Polygonum","Castanea","Rhus","Ranunculus","Cerealia","Artemisia","Juglans.cinerea","Herbs.undiff.","Sambucus","Apiaceae","Shrubs.undiff.","Amaranthaceae","Fabaceae","Onagraceae","Thalictrum","Cornus","Celtis","Cistaceae","Abies","Picea","Gentianaceae","Elymus","Rumex"
1,41,0.0165912518853695,0.00904977375565611,0.00452488687782805,0.00904977375565611,0.00452488687782805,0.00150829562594268,0.00301659125188537,0.00754147812971342,0.00150829562594268,0.00150829562594268,0.0120663650075415,0.0196078431372549,0.0120663650075415,0.00150829562594268,0.00904977375565611,0.00301659125188537,0.00904977375565611,0.199095022624434,0.00301659125188537,0.00150829562594268,0.141779788838612,0.00603318250377074,0.00904977375565611,0.00150829562594268,0.00150829562594268,0.00603318250377074,0.00452488687782805,0.00603318250377074,0.200603318250377,0.00301659125188537,0.291101055806938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,484,0.0261682242990654,0,0,0.00747663551401869,0.00186915887850467,0.00186915887850467,0,0.00186915887850467,0.00186915887850467,0.00560747663551402,0.00934579439252336,0.00747663551401869,0.0149532710280374,0,0,0.00373831775700935,0.00560747663551402,0.226168224299065,0.00186915887850467,0,0.125233644859813,0.00560747663551402,0.00560747663551402,0,0.00373831775700935,0.00373831775700935,0.00747663551401869,0,0.2,0.00373831775700935,0.31588785046729,0.00186915887850467,0.00186915887850467,0.00186915887850467,0.00186915887850467,0.00186915887850467,0.00373831775700935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1051,0.0215311004784689,0.00239234449760766,0.00717703349282297,0.00239234449760766,0,0,0.00239234449760766,0.00717703349282297,0.00239234449760766,0.0167464114832536,0.00239234449760766,0.00717703349282297,0.00956937799043062,0,0.00717703349282297,0,0,0.157894736842105,0.00239234449760766,0,0.076555023923445,0.00239234449760766,0.0239234449760766,0,0.00478468899521531,0,0.0191387559808612,0.00478468899521531,0.12200956937799,0,0.476076555023923,0,0,0.00956937799043062,0,0,0,0.00239234449760766,0.00956937799043062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1619,0.0118110236220472,0,0,0.00393700787401575,0,0,0,0.0177165354330709,0,0.00393700787401575,0,0.0334645669291339,0.0177165354330709,0,0.00196850393700787,0,0,0.0216535433070866,0.00196850393700787,0,0.0531496062992126,0.00196850393700787,0.0767716535433071,0,0,0.00196850393700787,0.00196850393700787,0.00984251968503937,0.0452755905511811,0,0.687007874015748,0,0,0,0,0,0,0,0.0078740157480315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2187,0.00732600732600733,0,0.00366300366300366,0.00183150183150183,0.00366300366300366,0,0.00183150183150183,0.0183150183150183,0.00549450549450549,0.0201465201465201,0.00366300366300366,0.135531135531136,0.00915750915750916,0,0.00732600732600733,0,0.00549450549450549,0.0384615384615385,0,0,0.0824175824175824,0,0.0952380952380952,0.00366300366300366,0,0.00183150183150183,0.00183150183150183,0.0366300366300366,0.0805860805860806,0,0.424908424908425,0,0,0.00183150183150183,0,0.00732600732600733,0,0,0,0.00183150183150183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2698,0.0202898550724638,0.00579710144927536,0,0,0.00289855072463768,0,0.00289855072463768,0.00579710144927536,0.00289855072463768,0.0115942028985507,0.00289855072463768,0.0492753623188406,0.0115942028985507,0,0.00869565217391304,0,0,0.12463768115942,0.00579710144927536,0,0.11304347826087,0,0.0231884057971014,0.00289855072463768,0.00289855072463768,0.00579710144927536,0.00579710144927536,0.0115942028985507,0.171014492753623,0,0.388405797101449,0,0,0.00289855072463768,0.00289855072463768,0.00869565217391304,0.00289855072463768,0,0,0,0.00289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3322,0.00721153846153846,0.00240384615384615,0.00240384615384615,0.0120192307692308,0,0,0.0120192307692308,0.00480769230769231,0,0,0.00240384615384615,0.0504807692307692,0.00240384615384615,0,0.0120192307692308,0,0,0.0600961538461538,0,0,0.141826923076923,0,0.0456730769230769,0.00240384615384615,0.00240384615384615,0.00961538461538462,0,0.00240384615384615,0.134615384615385,0,0.480769230769231,0,0,0.00480769230769231,0,0,0,0,0.00240384615384615,0,0,0.00240384615384615,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3890,0.00315457413249211,0,0,0.00315457413249211,0,0.00315457413249211,0,0,0.0347003154574132,0,0.00315457413249211,0.0504731861198738,0,0,0.0126182965299685,0,0,0.00315457413249211,0.00946372239747634,0,0.17981072555205,0,0.0378548895899054,0,0,0.00315457413249211,0.0126182965299685,0.00315457413249211,0.157728706624606,0,0.473186119873817,0,0.00315457413249211,0.00315457413249211,0,0,0,0,0,0,0,0,0,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4318,0.00625,0,0,0.03125,0,0,0.04375,0,0.009375,0,0,0.034375,0.003125,0,0.021875,0,0,0,0.003125,0.003125,0.2875,0,0.0125,0,0,0.00625,0.003125,0,0.203125,0,0.303125,0,0,0,0,0,0,0,0,0,0,0,0,0.028125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4746,0.0026525198938992,0.00530503978779841,0.00795755968169761,0.026525198938992,0.00795755968169761,0,0,0,0.0318302387267905,0,0.0026525198938992,0.0212201591511936,0.0026525198938992,0,0.0106100795755968,0,0,0.0106100795755968,0.00795755968169761,0,0.411140583554377,0,0.013262599469496,0.0026525198938992,0,0.00530503978779841,0.0026525198938992,0.0026525198938992,0.204244031830239,0,0.169761273209549,0,0.0026525198938992,0,0.0026525198938992,0,0.0106100795755968,0.00530503978779841,0,0.0026525198938992,0,0,0,0.0212201591511936,0.0026525198938992,0.0026525198938992,0,0,0,0,0,0,0,0,0,0,0,0,0
