"sample.depths","sample.ages","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Tilia","Tsuga","Ulmus","Alnus","Myrica","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Populus","Amaranthaceae","Salix","Acer.rubrum","Herbs.undiff.","Juglans.nigra","Aquifoliaceae","Ephedra"
0.5,NA,0.013719512195122,0.0396341463414634,0.0121951219512195,0.00304878048780488,0.3125,0.00304878048780488,0.00304878048780488,0.0182926829268293,0.00457317073170732,0.073170731707317,0.00304878048780488,0.0076219512195122,0.00304878048780488,0.0076219512195122,0.0152439024390244,0.0335365853658537,0.0213414634146341,0.0548780487804878,0.204268292682927,0.00304878048780488,0.0411585365853659,0.00152439024390244,0.0701219512195122,0.0182926829268293,0.0289634146341463,0.00152439024390244,0.00152439024390244,0,0,0,0,0,0,0,0,0
4.5,NA,0.0132275132275132,0.0357142857142857,0.00661375661375661,0.00132275132275132,0.373015873015873,0.00132275132275132,0,0,0.00396825396825397,0.0727513227513227,0,0.00529100529100529,0.00132275132275132,0.00396825396825397,0.0105820105820106,0.0211640211640212,0.00661375661375661,0.0634920634920635,0.218253968253968,0.00264550264550265,0.0515873015873016,0,0.0476190476190476,0.0198412698412698,0.0264550264550265,0,0.00529100529100529,0.00529100529100529,0.00264550264550265,0,0,0,0,0,0,0
9.5,885,0.0120689655172414,0.0172413793103448,0.00862068965517241,0.00689655172413793,0.355172413793103,0.00172413793103448,0.00172413793103448,0.0206896551724138,0.00517241379310345,0.0913793103448276,0.00172413793103448,0.0120689655172414,0.00172413793103448,0.0120689655172414,0.00862068965517241,0.0327586206896552,0.00689655172413793,0.0568965517241379,0.174137931034483,0.00172413793103448,0.0724137931034483,0,0.0775862068965517,0.0120689655172414,0.00344827586206897,0,0,0.00172413793103448,0,0.00344827586206897,0,0,0,0,0,0
14.5,1097,0.00351493848857645,0.0298769771528998,0.0105448154657293,0.00175746924428822,0.391915641476274,0.00527240773286467,0.00175746924428822,0.00878734622144113,0.00351493848857645,0.0738137082601054,0.00175746924428822,0,0,0.0070298769771529,0.00878734622144113,0.015817223198594,0.015817223198594,0.0492091388400703,0.205623901581722,0,0.0404217926186292,0,0.0773286467486819,0.00527240773286467,0.0333919156414763,0,0.00351493848857645,0.00175746924428822,0,0.00175746924428822,0.00175746924428822,0,0,0,0,0
19.5,1310,0.0104166666666667,0.0243055555555556,0.0104166666666667,0.00694444444444444,0.401041666666667,0.00173611111111111,0.00173611111111111,0.0190972222222222,0.00173611111111111,0.0260416666666667,0,0.00868055555555556,0,0.00868055555555556,0.0173611111111111,0.0190972222222222,0.00868055555555556,0.0625,0.213541666666667,0,0.0520833333333333,0,0.0520833333333333,0.0277777777777778,0.015625,0,0.00173611111111111,0,0,0.00173611111111111,0.00173611111111111,0.00173611111111111,0.00173611111111111,0.00173611111111111,0,0
24.5,1523,0.00860585197934595,0.0223752151462995,0.00344234079173838,0.00688468158347676,0.378657487091222,0.00344234079173838,0.00172117039586919,0.00516351118760757,0.00516351118760757,0.0327022375215146,0.00172117039586919,0.00344234079173838,0,0.00688468158347676,0.0137693631669535,0.0137693631669535,0.0154905335628227,0.080895008605852,0.21170395869191,0.00172117039586919,0.0619621342512909,0.00172117039586919,0.089500860585198,0.00860585197934595,0.0137693631669535,0,0.00172117039586919,0,0,0.00172117039586919,0,0.00172117039586919,0,0,0.00172117039586919,0
27.5,1651,0.0099502487562189,0.0398009950248756,0.0099502487562189,0.00829187396351575,0.378109452736318,0.00165837479270315,0.00165837479270315,0.0066334991708126,0.0099502487562189,0.0381426202321725,0,0.0066334991708126,0.00165837479270315,0.0099502487562189,0.0248756218905473,0.021558872305141,0.0066334991708126,0.0580431177446103,0.200663349917081,0,0.0398009950248756,0.00165837479270315,0.0845771144278607,0.0182421227197347,0.0165837479270315,0,0.0033167495854063,0.00165837479270315,0,0,0,0,0,0,0,0
34.5,1948,0.00481540930979133,0.0208667736757624,0.0112359550561798,0.00802568218298555,0.462279293739968,0,0.00321027287319422,0.00642054574638844,0,0.028892455858748,0,0.00160513643659711,0,0,0.0112359550561798,0.0128410914927769,0.014446227929374,0.0497592295345104,0.218298555377207,0.00160513643659711,0.0385232744783307,0,0.07223113964687,0.0112359550561798,0.0160513643659711,0,0.00160513643659711,0.00321027287319422,0,0,0,0,0.00160513643659711,0,0,0
39.5,2161,0.00700525394045534,0.021015761821366,0.00350262697022767,0.00525394045534151,0.402802101576182,0.00700525394045534,0.00175131348511384,0.00350262697022767,0.00525394045534151,0.031523642732049,0,0,0.00175131348511384,0.00350262697022767,0.00875656742556918,0.0297723292469352,0.00875656742556918,0.0507880910683012,0.217162872154116,0.00175131348511384,0.0595446584938704,0.00175131348511384,0.0893169877408056,0.010507880910683,0.0245183887915937,0,0.00175131348511384,0,0,0,0,0,0,0.00175131348511384,0,0
44.5,2374,0.00985221674876847,0.0279146141215107,0.0180623973727422,0.00328407224958949,0.408866995073892,0,0.00328407224958949,0,0.00164203612479475,0.0509031198686371,0,0,0,0.00328407224958949,0.013136288998358,0.0246305418719212,0.0114942528735632,0.0541871921182266,0.210180623973727,0.00328407224958949,0.0426929392446634,0.00328407224958949,0.0640394088669951,0.013136288998358,0.0311986863711002,0,0,0.00164203612479475,0,0,0,0,0,0,0,0
