"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Larix","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Polygonaceae.undiff.","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Taxus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Salix.undiff.","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Rosaceae.undiff.","Myrica.gale","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Acer.rubrum","Amaranthaceae","Castanea.dentata","Populus.balsamifera.type","Juniperus.type","Carya.ovata","Diervilla.lonicera","Acer.pensylvanicum","Corylus.cornuta","Impatiens","Tilia","Potentilla.palustris.type","Celtis.occidentalis","Arceuthobium.pusillum","Liliaceae","Juglans.nigra","Caryophyllaceae","Glaux.maritima","cf..Sarcobatus.vermiculatus","Morus.rubra.type","Shepherdia.canadensis","Acer.nigrum","Cornus.sericea","Epilobium","Viburnum.edule","Elaeagnus.commutata","Pinus.resinosa.type","Prunus.pensylvanica","Populus.grandidentata.type","cf..Oxyria.digyna","Salix.herbacea.type","Sambucus","Rumex.type","Thalictrum"
5,132,528,1,47,10,3,2,305,9,5,2,1,1,15,23,1,7,9,1,1,3,3,10,7,1,8,17,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,659,615,1,29,4,2,2,390,12,11,1,0,0,31,29,0,0,8,1,2,1,2,13,9,0,2,24,29,0,1,1,2,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1318,479,0,14,5,0,0,339,9,1,0,0,0,11,11,0,0,1,0,1,1,3,10,3,1,0,50,6,1,3,0,0,0,0,2,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1977,583,0,23,8,1,0,395,9,4,2,0,0,28,24,0,0,3,0,0,0,2,12,9,4,2,29,18,0,0,1,0,0,0,1,2,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2637,504,1,20,9,0,0,337,4,4,3,0,2,14,30,0,0,1,0,3,1,4,0,12,1,2,34,15,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3184,606,1,24,2,0,0,458,12,5,3,0,0,8,11,0,2,12,0,1,1,3,5,3,2,0,37,6,0,0,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3684,606,1,11,7,1,1,467,6,2,1,0,0,10,34,0,0,0,0,2,1,2,8,2,0,0,32,10,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4184,723,3,31,2,1,1,505,5,3,1,0,1,8,48,0,0,4,0,5,1,0,9,5,2,3,61,13,0,0,3,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4683,489,0,25,3,0,0,310,1,6,1,0,0,6,23,0,2,2,0,3,0,2,3,3,1,0,83,2,2,0,2,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,5183,495,0,22,10,0,2,345,3,1,0,0,0,8,17,0,0,1,0,1,2,3,3,0,6,0,56,4,1,0,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
