"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Myrica","Populus.balsamifera","Betula","Amaranthaceae.undiff.","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Poaceae","Brassicaceae","Sarcobatus.vermiculatus","Iva.annua","Iva.xanthifolia","Cornus.sericea","Fraxinus.pennsylvanica","Fabaceae.undiff.","Caryophyllaceae","Acer.rubrum","Vitis","Potentilla","Tilia","Lamiaceae","Castanea","Juglans.cinerea","Thalictrum","Acer.saccharum","Carya","Shepherdia.canadensis","Humulus","Polygalaceae","Apiaceae","Cornus.undiff.","Ranunculus","Elaeagnus","Urtica.type","Ephedra.torreyana.type","Dalea","Dryas","Saxifraga"
270,3575,506,37,18,16,1,7,3,2,19,1,1,16,1,125,61,22,170,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,5045,531,13,42,13,1,5,2,4,9,0,2,10,0,41,65,34,215,3,1,0,59,2,2,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,5360,552,11,19,11,5,6,2,2,4,0,1,9,0,60,76,39,238,4,0,2,53,1,2,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,5675,513,21,18,16,0,6,4,3,3,0,2,4,0,23,37,39,287,1,3,0,38,2,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,5990,656,16,16,12,2,3,3,3,5,0,6,7,1,24,64,84,317,5,3,2,72,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,6346,634,15,11,5,7,3,2,4,2,0,4,2,4,15,53,103,347,7,1,2,36,1,0,1,1,0,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,6905,568,17,21,15,5,8,3,2,9,0,5,3,4,32,43,60,253,5,5,3,65,3,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,7278,433,16,37,10,4,5,2,0,4,0,1,7,1,24,112,33,106,4,3,0,52,2,1,1,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,7464,514,24,10,4,0,2,3,2,3,0,2,6,0,65,98,25,165,2,7,1,80,5,1,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,7782,581,24,12,2,0,2,1,0,3,0,6,8,3,77,160,22,143,5,0,0,101,0,1,1,3,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
