"sample.depths","sample.ages","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Poaceae","Carya.ovata","Castanea.dentata","Centaurea","cf..Oxyria.digyna","Pinus.banksiana.type","Pinus.strobus","Salix.herbacea.type","Picea.undiff.","Salix.undiff.","Rosaceae.undiff.","Amaranthaceae","Tsuga.canadensis","Ostrya.Carpinus","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Polygonum.viviparum","Larix","Alnus.incana.type","Myrica.gale","Urtica.type","Juniperus.type","Onagraceae","Abies.balsamea","Taxus","Thalictrum","Ulmus","Ephedra","Potentilla.palustris.type","Fabaceae","Corylus.cornuta","Saxifraga.oppositifolia.type","Populus.balsamifera.type","Acer.saccharum","Salix.vestita.type","Liliaceae","Asteraceae.subf..Cichorioideae","Acer.pensylvanicum","Shepherdia.canadensis","Brassicaceae","Juniperus.communis.Thuja.occidentalis.type","Acer.spicatum","cf..Sarcobatus.vermiculatus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Polygonaceae.undiff.","Plantaginaceae","Saxifraga","Prunus","Tilia","Salix.reticulata.type"
5,288,0.112054329371817,0.00169779286926995,0.0254668930390492,0.106960950764007,0.00169779286926995,0.421052631578947,0.0509337860780985,0.0033955857385399,0.110356536502547,0.0067911714770798,0.00509337860780985,0.0305602716468591,0.00169779286926995,0.00169779286926995,0.00169779286926995,0.00169779286926995,0.00848896434634975,0.0526315789473684,0.00169779286926995,0.0390492359932088,0.0152801358234295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,577,0.111742424242424,0.00946969696969697,0.0132575757575758,0.102272727272727,0.00189393939393939,0.386363636363636,0.0454545454545455,0,0.109848484848485,0.0397727272727273,0.00378787878787879,0.0265151515151515,0,0,0,0,0.0568181818181818,0.00946969696969697,0.00568181818181818,0.0606060606060606,0.0113636363636364,0.00189393939393939,0.00189393939393939,0.00189393939393939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,865,0.096,0.01,0.028,0.128,0,0.402,0.038,0.004,0.116,0.016,0.002,0.036,0,0,0,0.008,0.038,0.016,0.002,0.032,0.016,0,0,0,0.004,0.002,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1153,0.118764845605701,0.00237529691211401,0.00950118764845606,0.0902612826603325,0,0.387173396674584,0.0118764845605701,0,0.152019002375297,0.0285035629453682,0.00712589073634204,0.0403800475059382,0,0,0,0.00950118764845606,0.0593824228028504,0.0166270783847981,0,0.0522565320665083,0.00712589073634204,0.00237529691211401,0,0,0,0,0,0,0.00475059382422803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1441,0.115281501340483,0.00536193029490617,0.0107238605898123,0.0750670241286863,0,0.445040214477212,0.032171581769437,0,0.134048257372654,0.0294906166219839,0.00268096514745308,0.0214477211796247,0,0,0,0.00268096514745308,0.0402144772117962,0.00268096514745308,0.00536193029490617,0.0697050938337802,0.00536193029490617,0,0,0,0,0,0,0,0,0.00268096514745308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1730,0.161585365853659,0.0076219512195122,0.0167682926829268,0.149390243902439,0,0.375,0.0365853658536585,0.00304878048780488,0.11280487804878,0.00914634146341463,0,0.0289634146341463,0,0,0,0.00914634146341463,0.0182926829268293,0.0167682926829268,0,0.0350609756097561,0.00609756097560976,0.00152439024390244,0,0,0.00152439024390244,0,0,0.00304878048780488,0,0,0.00304878048780488,0.00457317073170732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2018,0.171536286522149,0.00942507068803016,0.0113100848256362,0.114985862393968,0,0.3751178133836,0.0301602262016965,0,0.0885956644674835,0.0245051837888784,0,0.0339302544769086,0,0,0,0.00659754948162111,0.0179076343072573,0.0329877474081056,0,0.0395852968897267,0.00754005655042413,0.000942507068803016,0,0,0,0.0131950989632422,0.00188501413760603,0,0,0,0.00188501413760603,0,0.0056550424128181,0.00659754948162111,0.000942507068803016,0.00471253534401508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2306,0.180989583333333,0.00130208333333333,0.0221354166666667,0.115885416666667,0,0.338541666666667,0.0377604166666667,0,0.1484375,0.0143229166666667,0.00390625,0.0234375,0,0,0,0.0130208333333333,0.0338541666666667,0,0.00130208333333333,0.0520833333333333,0.0078125,0.00130208333333333,0.00260416666666667,0,0,0,0,0,0,0.00130208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2595,0.246119733924612,0.00665188470066519,0.024390243902439,0.12860310421286,0.00221729490022173,0.321507760532151,0.0266075388026608,0,0.119733924611973,0.00665188470066519,0,0.0332594235033259,0,0,0,0.0133037694013304,0.0133037694013304,0.0155210643015521,0,0.0266075388026608,0.00221729490022173,0,0.00221729490022173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221729490022173,0.00221729490022173,0.00221729490022173,0.00221729490022173,0.00221729490022173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2883,0.407488986784141,0.00440528634361234,0.0242290748898678,0.162995594713656,0.00220264317180617,0.233480176211454,0.00881057268722467,0,0.0704845814977974,0.0110132158590308,0.00440528634361234,0.0176211453744493,0,0.00220264317180617,0,0.00440528634361234,0.0066079295154185,0.0176211453744493,0,0.013215859030837,0.00220264317180617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220264317180617,0.00220264317180617,0.00220264317180617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
