"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.undiff.","Salix","Alnus.incana","Ambrosia","Fraxinus","Myrica","Poaceae","Ostrya","Alnus.viridis.subsp..crispa","Chenopodium","Epilobium","Pinus.subg..Strobus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Acer","Populus","Abies","Fagus","Tsuga","Rumex","Ulmus","Castanea","Viburnum","Rosaceae","Thalictrum","Carya","Cornus.canadensis","Ranunculaceae.undiff."
0,-39,1310,8,226,6,6,6,6,837,12,11,2,8,10,2,6,12,2,148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,348,1176,6,94,8,4,4,4,793,104,17,2,2,20,0,0,2,0,102,2,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,736,1120,10,154,8,12,10,16,626,62,32,2,24,20,0,2,2,0,112,8,0,8,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
6,1123,1256,4,160,4,10,10,2,775,80,17,0,8,16,0,0,10,0,130,4,0,14,2,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0
8,1511,959,6,160,12,8,12,14,552,46,29,2,8,2,0,2,2,0,86,0,0,6,4,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0
10,1899,1150,4,116,6,10,6,4,790,78,14,2,2,0,2,0,6,0,98,0,0,4,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
12,2287,1170,2,132,4,10,4,4,748,44,20,4,0,6,0,0,0,0,180,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2561,1099,4,126,4,18,4,4,651,42,6,0,8,0,0,0,8,0,216,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
16,2722,1085,4,142,4,10,2,4,657,24,10,2,8,4,2,2,4,0,192,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20,3043,1178,6,168,6,8,16,12,660,24,8,2,4,4,2,2,2,0,250,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
24,3364,1070,2,196,0,8,12,10,506,36,16,4,10,2,4,0,2,0,248,4,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
28,3686,1073,10,150,4,4,0,0,571,28,22,8,10,2,0,0,0,2,248,0,0,4,2,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0
32,4007,1141,6,202,0,6,4,8,571,48,10,2,2,2,0,0,8,0,258,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4329,1069,2,254,2,2,2,0,515,18,16,6,10,0,4,2,4,0,228,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
40,4650,1110,8,260,4,4,2,2,603,20,13,2,2,2,0,2,2,0,172,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4948,1113,8,194,0,4,4,2,469,22,18,4,4,0,0,4,4,0,362,2,0,4,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0
48,5246,1004,6,178,0,4,6,8,438,30,16,4,0,4,0,2,8,0,282,4,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,5544,1065,6,258,4,6,2,0,444,16,7,2,8,4,2,2,0,0,292,0,0,2,4,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0
56,5842,2078,4,560,2,12,4,2,700,30,16,8,22,8,2,2,10,0,682,0,0,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
60,6141,2219,12,606,0,8,0,12,842,24,15,2,10,4,2,2,6,2,638,0,0,16,4,6,0,2,0,0,2,0,0,0,2,2,0,0,0,0
64,6439,2242,12,400,4,24,6,14,829,24,17,14,6,10,0,0,4,0,860,2,0,6,2,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0
68,6737,2155,26,500,12,30,4,26,786,30,21,2,6,10,0,0,24,0,652,2,0,8,4,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0
72,NA,2238,12,426,22,44,2,22,862,32,18,4,4,4,0,4,4,2,762,6,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
76,NA,1126,12,274,20,30,2,24,449,20,13,4,2,0,4,2,10,0,248,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
80,NA,1151,18,296,24,42,10,100,404,8,13,8,0,8,2,0,20,0,180,4,0,2,0,0,0,6,0,0,2,2,2,0,0,0,0,0,0,0
84,NA,1226,16,262,28,48,8,76,385,48,15,10,2,6,2,0,26,0,268,4,0,8,2,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0
88,NA,1279,20,250,30,136,18,38,421,68,12,16,2,16,4,0,2,0,200,10,0,6,8,2,0,10,0,0,0,0,4,0,0,4,0,0,0,2
