"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.negundo","Acer.saccharinum.type","Alnus.incana.type","Alnus.viridis.type","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Euphorbia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Larix","Melilotus.type","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Rumex","Salix","Salsola","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Vitis","Rosaceae.undiff.","Avena.type","Brassica","Cannabis.sativa.type","Plantago","Trifolium.repens.type","Triticum.type","Abies","Acer.rubrum","Impatiens","Juglans.cinerea","Zea.mays","Lythrum","Medicago","Trifolium.pratense","Iva.annua.type","Brassicaceae.undiff.","Asteraceae.subf..Cichorioideae","Sambucus","Thalictrum","Xanthium","Campanula.rotundifolia.type","Celtis","Ephedra.viridis.type","Humulus.type","Juglans.nigra","Liquidambar","Polygonum.lapathifolium.type","Tsuga","Apiaceae","Secale.type","Amorpha.type","Zanthoxylum.type","Castanea","Rhus","Fagus","Sarcobatus.vermiculatus","Ceanothus","Hydrophyllum","Lysimachia.thyrsiflora","Galium","Maclura.pomifera.type","Dalea.candida.type","Pedicularis","Ranunculaceae.undiff.","Tidestromia.type","Viburnum.rafinesquianum.type","Solanum.rostratum","Laportea.type","Ephedra.trifurca.type","Phlox","Comandra","Caryophyllaceae","Lilium.philadelphicum.type","Lycopus.type","Hypoxis","Dalea.purpurea.type","Anemone.quinquefolia.type","Campanula.aparinoides.type","Fabaceae.undiff.","Sisyrinchium","Stachys.type","Myricaceae","Parietaria","Zigadenus","Lysimachia.quadriflora.type","Pilea.type","Cornus.sericea.type","Polygonum.amphibium","Viburnum.opulus.type","Eriogonum","Shepherdia.argentea","Allium","Anemone.canadensis.type","Amelanchier.type","Nyssa","Ranunculaceae..tricolpate..undiff.","Populus.undiff.","Shepherdia.canadensis","Ribes","Ericaceae","Epilobium"
870,1123,1869,7,6,0,24,0,0,32,36,44,2,16,14,26,120,0,6,8,4,594,0,0,0,2,84,7,18,31,70,2,0,20,564,0,10,0,18,34,38,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,1321,2170,6,2,0,24,4,0,44,32,42,12,18,16,14,70,0,14,6,8,838,0,2,0,4,46,5,21,29,32,8,0,10,726,0,16,0,28,24,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,6,0,0,2,0,2,4,0,0,1,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,1532,1928,6,0,2,36,6,2,40,44,52,4,8,2,22,80,0,12,4,0,680,2,4,0,8,40,6,14,36,20,14,2,6,680,0,4,0,10,12,36,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,1754,1718,7,0,0,18,2,0,56,66,46,4,22,8,20,58,0,20,8,2,454,4,3,0,0,74,2,8,35,45,8,0,6,626,0,10,0,32,20,34,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,1986,1451,12,0,2,12,0,0,28,32,20,2,10,2,20,66,0,6,4,4,538,2,2,0,0,50,1,25,34,21,4,0,4,470,0,2,0,2,4,50,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,2226,2053,13,2,0,18,4,0,64,46,50,2,24,10,32,80,0,10,6,8,502,0,6,0,2,64,0,6,55,27,6,2,28,842,0,32,0,12,22,46,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,2471,1612,16,4,0,32,4,2,70,64,38,2,20,4,44,82,0,10,4,4,312,4,0,0,2,48,0,11,28,51,14,0,18,598,0,8,0,22,32,26,4,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,2717,1652,14,2,2,8,2,0,78,44,40,8,8,8,24,76,0,6,10,0,424,0,1,0,0,74,3,14,33,29,8,4,30,596,0,22,0,14,10,32,2,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,2953,1911,10,2,6,32,2,0,82,68,36,4,26,6,40,92,0,10,6,0,408,0,0,0,8,80,2,22,40,67,2,0,16,674,0,26,0,36,36,50,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,3172,1696,12,8,2,20,10,0,88,50,14,10,64,10,40,68,0,18,2,2,354,0,2,0,4,82,19,20,23,41,14,0,14,564,4,12,0,34,28,32,8,2,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
