"sample.depths","sample.ages","upland.sum","Betula","Cyperaceae","Picea","Quercus","Salix","Tsuga","Alnus","Ambrosia","Amaranthaceae","Poaceae","Abies.balsamea","Pinus.strobus","Pinus.banksiana.P..resinosa","Artemisia","Carya","Ulmus","Acer.saccharum","Larix","Myrica.gale","Corylus","Fagus","Fraxinus.nigra","Ostrya","Ericaceae","Populus","Rosaceae","Cupressaceae","Fraxinus.americana","Asteraceae.subf..Asteroideae.undiff.","Ranunculus","Juglans.cinerea","Platanus","Thalictrum","Shepherdia.canadensis"
1,-21,217,16,1,21,1,3,2,1,6,5,1,4,54,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,56,221,16,3,17,0,1,1,2,7,2,4,2,51,111,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,595,205,13,1,20,3,1,2,2,0,0,0,3,85,66,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1586,207,30,1,29,1,0,0,2,1,1,0,5,56,75,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
40,1920,210,37,3,6,2,0,2,4,1,0,0,2,74,73,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2255,212,42,3,9,1,0,2,6,1,0,0,2,67,73,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2589,207,41,0,7,3,0,1,7,0,0,0,3,59,78,0,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,2923,216,43,2,11,0,2,0,9,0,0,0,2,107,28,0,0,2,2,2,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0
80,3258,217,25,6,9,3,0,1,7,0,0,0,0,122,37,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
90,3592,217,32,3,5,4,1,2,9,0,0,0,1,96,55,4,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
100,3927,219,35,4,7,4,0,0,13,0,0,0,1,108,38,2,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
110,4261,213,24,7,3,7,0,0,5,0,1,0,1,115,41,0,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4596,218,37,6,7,4,1,0,9,0,1,1,3,95,43,0,0,4,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
130,4930,213,10,8,1,1,0,0,4,1,0,0,2,130,54,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
140,5264,211,22,5,6,7,0,1,4,0,1,0,2,113,40,1,0,3,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0
150,5599,207,11,6,0,0,0,1,0,0,1,0,0,144,42,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5933,205,5,3,1,0,0,0,2,0,0,0,0,112,77,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
170,6268,202,4,1,2,4,0,0,1,0,0,0,0,131,56,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,6602,205,11,0,4,4,0,0,1,1,1,0,0,107,67,0,0,3,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0
190,6937,202,4,0,0,2,0,0,0,1,1,0,2,124,64,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
200,7271,204,5,0,4,3,0,1,0,1,0,0,2,146,30,2,0,5,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0
210,7647,211,12,6,1,0,0,2,3,0,0,0,1,141,35,0,0,2,0,0,2,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0
220,8033,224,24,10,3,6,1,1,4,2,0,1,1,110,45,2,0,1,0,2,3,0,0,2,3,0,0,0,1,0,2,0,0,0,0,0
230,8420,207,37,0,8,10,0,0,2,2,0,0,1,23,112,0,0,1,1,3,1,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0
240,8806,220,54,0,7,5,0,0,7,4,0,0,3,38,84,1,0,3,0,1,8,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
250,9193,224,46,0,7,9,1,0,8,3,0,0,2,0,131,2,1,1,0,1,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
260,9579,217,56,2,12,7,1,0,1,3,0,1,0,5,108,0,0,1,0,3,3,1,0,2,4,0,1,0,1,0,4,1,0,0,0,0
270,9966,232,51,7,25,13,3,0,7,3,2,0,0,0,93,4,0,5,1,3,4,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0
