"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cyperaceae","Fabaceae.undiff.","Ostrya.Carpinus","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Poaceae","Pinus.strobus","Tsuga.canadensis","Pinus.banksiana.P..resinosa","Carya","Corylus","Fraxinus.nigra.type","Larix","Tilia","Acer.saccharum","Chenopodium.type","Acer.rubrum","Cupressaceae","Juglans.cinerea","Xanthium","Iva.annua","Brassicaceae","Celtis","Polygonum.lapathifolium.type","Humulus.Cannabis.sativa","Rosaceae","Fraxinus.pennsylvanica.type","Asteraceae.subf..Cichorioideae","Apiaceae","Amorpha.canescens","cf..Lysimachia.thyrsiflora","Urtica.type","Vitis","Rubiaceae","cf..Cephalanthus","Juglans.nigra","Morus","Populus.balsamifera.type","Abies","Acer.saccharinum","Dalea.purpurea","Platanus","Zanthoxylum","Laportea.type","Rumex","Impatiens.capensis","Euphorbia","Iva.xanthifolia","Plantago","Acer.spicatum","Ranunculaceae","Ephedra","Tidestromia","cf..Sambucus","Lycopus.type","cf..Ceanothus","Myrica.gale"
1160,NA,264,5,11,11,1,3,1,51,11,29,3,2,3,14,4,75,26,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,6387,276,8,9,14,0,5,0,67,6,20,9,3,1,8,7,35,60,0,10,1,1,5,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,6444,262,8,12,15,0,5,1,43,9,24,4,5,1,20,5,32,45,0,16,0,0,5,1,1,0,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,6531,255,8,14,10,0,2,1,47,17,31,6,5,6,23,9,30,20,0,13,0,1,2,0,0,4,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,6588,231,7,8,16,0,6,2,71,9,17,2,5,4,4,3,35,23,0,7,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1186,6675,402,9,12,13,0,4,0,85,15,37,5,8,5,18,6,91,59,0,18,0,2,5,1,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,6733,378,7,19,27,0,7,1,83,13,44,3,12,8,10,10,34,58,0,14,0,1,5,2,1,1,7,0,3,0,0,1,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,6819,379,12,29,21,0,7,1,68,26,35,12,7,6,20,9,25,63,1,15,1,0,7,2,0,1,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,6877,236,15,9,3,0,14,0,33,9,40,1,2,5,11,4,12,54,0,9,0,1,4,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,6963,234,5,28,9,0,5,0,17,13,28,0,2,12,29,7,16,35,0,4,0,1,6,1,1,0,3,0,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,7021,262,8,18,11,0,13,1,48,7,43,3,3,10,12,4,11,32,0,7,0,4,12,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,7064,237,3,16,5,0,14,0,21,6,46,2,3,9,21,5,10,54,0,6,0,2,5,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216,7108,242,7,20,7,0,17,0,32,5,53,2,4,6,15,6,7,41,0,8,0,2,5,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
