"sample.depths","sample.ages","upland.sum","Picea","Abies","Larix","Cupressaceae","Pinus","Betula","Populus","Fraxinus.nigra","Fraxinus.pennsylvanica","Quercus","Ulmus","Ostrya.Carpinus","Salix","Acer.saccharum","Acer.rubrum","Tilia","Juglans.cinerea","Juglans.nigra","Carya","Tsuga","Fagus","Morus","Castanea","Alnus","Corylus","Myrica","Ericaceae","Thalictrum","Cornus","Poaceae","Artemisia","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Plantago","Rosaceae","Brassicaceae","Apiaceae","Cyperaceae"
220,8199,319,1,1,0,2,92,8,0,1,0,127,4,12,0,5,0,0,0,0,0,47,10,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4
240,8950,356,0,0,0,0,95,6,3,6,0,148,3,20,1,2,0,0,1,0,0,50,12,0,0,2,1,0,0,0,0,1,1,3,0,0,0,0,0,0,1
260,9700,357,2,1,0,1,165,12,0,1,0,70,8,21,1,0,0,0,0,0,1,54,8,1,0,2,1,0,0,0,0,2,0,5,0,0,0,0,0,1,0
280,10450,324,2,0,0,1,170,13,1,1,0,72,3,21,1,3,0,1,0,0,1,29,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
300,10671,381,1,0,0,0,244,16,0,1,0,56,6,12,0,2,0,0,1,0,1,33,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2
320,10832,362,3,3,0,1,245,7,0,4,0,49,2,16,0,0,1,0,0,0,0,24,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1
340,10994,428,1,1,0,0,242,22,0,5,1,64,12,52,1,5,1,0,0,0,0,11,0,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3
360,11156,326,0,1,0,0,231,10,0,1,0,48,6,12,0,2,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1
370,11237,325,2,3,0,1,223,24,0,5,0,34,5,9,0,3,2,1,0,0,0,4,1,0,1,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1
375,11277,428,2,3,0,1,320,14,1,6,0,33,13,7,0,8,5,0,0,0,1,7,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
380,11318,352,3,9,0,1,267,19,0,3,0,16,8,4,0,3,3,0,0,0,0,10,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
385,11359,300,9,14,2,2,183,35,0,5,0,13,2,1,1,3,6,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
390,11421,302,34,17,0,0,154,39,1,2,0,9,3,5,0,0,0,0,0,0,0,18,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
395,11495,325,39,28,0,2,161,43,0,5,0,2,0,9,1,0,1,0,0,0,1,7,0,0,0,18,0,0,0,1,0,0,1,0,3,0,0,0,0,0,3
400,11571,360,43,8,1,1,123,97,0,0,0,3,0,5,5,0,0,0,0,0,0,4,0,0,0,60,1,1,0,4,0,1,1,0,0,0,0,0,0,0,2
405,11647,310,51,16,1,0,181,11,0,1,0,3,0,7,0,1,0,0,0,0,0,7,0,0,0,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
