"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Acer","Fraxinus","Myrica","Poaceae","Carya","Larix","Pinus.undiff.","Populus","Castanea","Sarcobatus.vermiculatus","Taxus","Cupressaceae","Aquifoliaceae","Platanus","Rosaceae.undiff.","Juglans","Tilia","Liquidambar","Sanguisorba","Shepherdia"
2,152,0.0332594235033259,0.073170731707317,0.00665188470066519,0.0110864745011086,0.00665188470066519,0.501108647450111,0.00221729490022173,0.00443458980044346,0.0110864745011086,0.00221729490022173,0.00886917960088692,0.00665188470066519,0.0133037694013304,0.117516629711752,0.0399113082039911,0.0288248337028825,0.0110864745011086,0.0110864745011086,0.00665188470066519,0.00665188470066519,0.0110864745011086,0.00221729490022173,0.0133037694013304,0.0177383592017738,0.00443458980044346,0.00886917960088692,0.0399113082039911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1079,0.0447058823529412,0.0682352941176471,0.00235294117647059,0.00235294117647059,0.00470588235294118,0.472941176470588,0,0,0,0,0.0423529411764706,0.0188235294117647,0.00470588235294118,0.164705882352941,0.0117647058823529,0.0541176470588235,0.0305882352941176,0.00235294117647059,0,0.00235294117647059,0.0282352941176471,0,0.00705882352941176,0.0141176470588235,0.00705882352941176,0,0.00470588235294118,0.00235294117647059,0.00470588235294118,0.00235294117647059,0.00235294117647059,0,0,0,0,0,0,0,0,0,0,0,0
40,1458,0.0556586270871985,0.0500927643784787,0.00371057513914657,0.00185528756957328,0,0.523191094619666,0,0,0.00927643784786642,0,0.038961038961039,0.0148423005565863,0.0296846011131725,0.0538033395176252,0.0296846011131725,0.0742115027829314,0.0222634508348794,0,0,0,0.0408163265306122,0.00371057513914657,0.00742115027829314,0.0111317254174397,0.00371057513914657,0.00185528756957328,0.00371057513914657,0.00371057513914657,0.00185528756957328,0.00927643784786642,0,0.00371057513914657,0.00185528756957328,0,0,0,0,0,0,0,0,0,0
60,1910,0.0271317829457364,0.0523255813953488,0,0,0,0.62015503875969,0,0,0.00581395348837209,0,0.0348837209302326,0.00775193798449612,0.00387596899224806,0.0232558139534884,0.0271317829457364,0.0503875968992248,0.0135658914728682,0.00193798449612403,0,0.00581395348837209,0.0368217054263566,0.00387596899224806,0.0135658914728682,0.0193798449612403,0.00968992248062015,0.00193798449612403,0.0155038759689922,0,0,0.0232558139534884,0,0,0,0.00193798449612403,0,0,0,0,0,0,0,0,0
80,2374,0.0427927927927928,0.063063063063063,0,0,0.0045045045045045,0.578828828828829,0.00225225225225225,0,0.0202702702702703,0,0.0292792792792793,0.009009009009009,0.00675675675675676,0.0292792792792793,0.036036036036036,0.0743243243243243,0.009009009009009,0,0,0.00225225225225225,0.0247747747747748,0,0.0135135135135135,0.018018018018018,0.00675675675675676,0.00675675675675676,0.0045045045045045,0,0.00225225225225225,0.0112612612612613,0,0.00225225225225225,0,0.00225225225225225,0,0,0,0,0,0,0,0,0
100,2839,0.0469255663430421,0.0485436893203883,0,0.00161812297734628,0,0.58252427184466,0,0.00323624595469256,0.00161812297734628,0,0.0711974110032362,0.00485436893203883,0.0242718446601942,0.0258899676375405,0.00647249190938511,0.0501618122977346,0.0129449838187702,0,0,0.00161812297734628,0.0372168284789644,0.00161812297734628,0.00647249190938511,0.0177993527508091,0.0194174757281553,0.00161812297734628,0.00647249190938511,0,0.00323624595469256,0.0080906148867314,0.00485436893203883,0.00161812297734628,0,0.00161812297734628,0.0080906148867314,0,0,0,0,0,0,0,0
120,3246,0.0173745173745174,0.055984555984556,0.00579150579150579,0.00193050193050193,0.00193050193050193,0.557915057915058,0,0.00193050193050193,0.0154440154440154,0,0.027027027027027,0.00965250965250965,0.0154440154440154,0.0135135135135135,0.00965250965250965,0.131274131274131,0.0193050193050193,0,0,0.00386100386100386,0.0231660231660232,0.00579150579150579,0.0115830115830116,0.0250965250965251,0.0193050193050193,0.00965250965250965,0.00579150579150579,0.00193050193050193,0,0.00772200772200772,0,0,0,0,0,0.00193050193050193,0,0,0,0,0,0,0
140,3582,0.0225225225225225,0.0675675675675676,0,0,0.00225225225225225,0.545045045045045,0,0.0045045045045045,0.0045045045045045,0,0.0292792792792793,0.00675675675675676,0.0157657657657658,0.027027027027027,0.0202702702702703,0.153153153153153,0.0112612612612613,0,0,0.00225225225225225,0.0045045045045045,0.00675675675675676,0.0112612612612613,0.018018018018018,0.009009009009009,0.00675675675675676,0.00675675675675676,0,0,0.018018018018018,0,0,0,0.00225225225225225,0.00225225225225225,0.00225225225225225,0,0,0,0,0,0,0
160,3917,0.0191082802547771,0.0679405520169851,0.0106157112526539,0,0,0.569002123142251,0,0.00212314225053079,0.00849256900212314,0,0.0254777070063694,0.0106157112526539,0.0127388535031847,0.00424628450106157,0.00424628450106157,0.114649681528662,0.0445859872611465,0,0.00212314225053079,0.00424628450106157,0.00849256900212314,0,0.0106157112526539,0.00636942675159236,0.0169851380042463,0.0106157112526539,0.0127388535031847,0,0.00212314225053079,0.0148619957537155,0.00212314225053079,0,0,0.00212314225053079,0.00212314225053079,0,0.00424628450106157,0.00424628450106157,0.00212314225053079,0,0,0,0
180,4253,0.0233393177737881,0.0538599640933573,0.00538599640933573,0,0,0.622980251346499,0,0.00179533213644524,0.00538599640933573,0,0.0107719928186715,0.00718132854578097,0.0179533213644524,0.00718132854578097,0.0251346499102334,0.114901256732496,0.0215439856373429,0,0,0.00359066427289048,0.00718132854578097,0,0.00538599640933573,0.0107719928186715,0.00897666068222621,0.00359066427289048,0.00359066427289048,0,0.00179533213644524,0.0215439856373429,0,0.00179533213644524,0,0,0.00538599640933573,0,0.00179533213644524,0,0.00179533213644524,0.00538599640933573,0,0,0
