"sample.depths","sample.ages","Acer.saccharum","Acer.undiff.","Alnus","Betula","Carya","Castanea","Chamaecyparis.thyoides","Corylus","Cupressaceae.Taxaceae.undiff.","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Nyssa","Ostrya","Picea","Pinus","Quercus","Salix","Sambucus.type","Sarcobatus.vermiculatus","Tilia","Trema","Tsuga","Ulmus","Vitis","Acalypha","Ambrosia","Apiaceae","Asteraceae..high.spine.","Asteraceae..low.spine.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Euphorbiaceae.undiff.","Fabaceae","Iridaceae","Plantago","Poaceae","Polygonum","Primulaceae","Rosaceae","Rubiaceae","Rumex","Saxifragaceae","Thalictrum","Urtica","Violaceae","Botrychium","Lycopodium","Osmunda","Sphagnum","Hippuris.vulgaris","Myriophyllum","Nymphaea","Pontederiaceae","Sagittaria","Typha","Indeterminable","Unknown.spore","Unknown.undiff."
0,-51,0,1,11,14,1,0,3,3,1,9,0,0,65,0,7,5,1,0,85,59,0,0,1,0,0,0,0,0,0,46,0,0,3,1,12,0,1,0,1,8,0,0,3,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,10,55,6,1
5,177,0,1,1,4,0,0,0,0,2,5,0,0,10,0,3,3,0,0,74,25,0,0,0,0,0,0,0,0,0,0,0,5,10,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73,0,0
25,1084,0,0,7,8,6,1,0,5,3,17,0,0,1,0,3,7,0,0,59,125,0,0,0,0,0,0,3,0,0,0,0,3,5,0,3,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,108,2,0
45,2068,0,0,0,4,0,0,0,0,5,4,0,0,2,0,3,2,0,0,294,39,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,55,3,0
55,2830,0,0,1,4,1,0,16,6,8,4,0,0,4,0,5,8,3,0,82,103,0,0,0,0,0,0,1,0,0,3,0,6,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,100,7,2
75,4354,2,0,1,3,0,0,2,3,0,2,0,0,7,0,1,8,0,0,244,56,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,3,0
95,5878,0,0,8,3,3,0,11,5,2,12,0,0,19,2,5,47,0,0,53,104,0,0,0,3,1,0,2,6,0,1,2,5,1,2,21,0,0,0,0,7,0,1,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,1,78,1,0
105,6364,3,0,1,3,1,1,0,2,0,12,0,1,27,0,6,64,0,0,70,57,0,0,0,0,0,0,0,0,1,0,0,4,2,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,121,5,0
115,6759,0,0,5,9,1,0,0,23,0,14,0,0,25,0,5,85,1,0,37,112,0,0,0,2,0,0,1,1,0,0,3,6,1,1,3,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,86,1,0
125,7154,1,0,4,15,1,0,0,0,1,6,0,0,9,0,6,45,0,0,22,98,0,0,0,0,0,0,0,2,0,0,0,1,3,0,10,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,4,0
145,7944,0,0,0,8,0,0,0,0,7,7,0,0,8,0,0,10,0,0,55,94,0,0,0,0,0,2,1,1,0,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,101,1,0
