"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Lycopodium.type","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus"
0,-30,3,8,33,1,31,0,1,3,0,100,1,0,0,0,0,0,0,18,8,2,0,0,0,1,0,1,13,1,3,11,20,37,76,53,1,0,10,7,17,0,1,5,2,0,0,0,1,0,1,0,1,29,1,18
5,101,2,5,26,0,26,0,3,0,0,66,0,0,1,4,4,0,0,8,7,4,0,0,0,0,0,1,2,0,0,5,13,18,72,20,0,0,13,6,12,0,0,2,1,0,0,0,1,0,0,0,0,9,0,5
10,232,3,5,19,2,15,0,1,0,0,52,0,1,1,1,2,0,0,5,5,2,0,0,0,4,0,1,4,0,1,13,9,14,82,34,1,0,11,4,12,0,0,1,3,0,0,0,0,1,0,0,0,10,0,4
20,495,3,9,7,0,6,0,2,0,0,66,1,0,0,1,3,0,0,15,2,2,0,0,0,6,0,1,1,1,1,2,15,13,106,23,0,1,7,1,10,0,0,2,0,0,0,0,0,0,0,1,0,19,0,7
40,734,4,4,0,0,0,1,1,0,0,62,0,1,0,16,5,0,0,12,7,2,1,0,0,1,0,0,0,0,0,13,13,13,136,13,0,0,1,0,19,0,1,0,0,0,0,0,0,1,0,2,0,32,1,8
60,932,5,15,28,0,0,2,2,1,0,94,1,0,1,1,8,0,0,22,14,2,0,0,0,4,0,4,5,0,0,12,4,13,87,19,0,1,2,2,16,0,1,0,1,0,0,0,1,0,1,1,0,44,1,5
80,1131,1,9,11,0,0,1,1,0,0,56,0,0,1,1,4,0,0,29,7,1,1,0,0,3,0,1,1,3,2,2,6,16,65,25,0,1,2,1,10,0,0,0,1,0,0,0,0,0,0,0,0,66,0,5
100,1329,1,7,3,0,0,0,1,0,0,65,0,1,0,1,2,0,1,27,4,1,0,0,0,1,0,0,1,1,1,3,6,12,74,14,0,0,2,0,16,0,0,1,0,0,0,0,2,0,0,1,0,45,0,7
120,1527,4,9,7,1,1,0,0,0,0,73,1,1,0,0,3,0,0,32,5,2,0,0,0,1,0,0,0,0,0,3,3,6,39,17,0,0,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0,71,0,17
140,1725,0,5,11,0,0,0,1,1,0,81,1,0,0,0,2,0,1,14,7,0,1,0,0,0,0,0,3,0,2,1,4,18,76,24,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,2,0,48,0,4
160,1924,2,13,10,0,1,0,0,0,0,99,2,0,1,2,5,0,0,23,8,1,3,0,0,1,0,0,0,1,0,10,1,12,78,21,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,1,0,42,0,7
180,2122,3,10,7,0,0,0,3,2,0,97,0,0,0,1,1,0,0,40,8,2,0,0,0,3,0,0,1,0,0,9,8,18,123,22,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,1,0,85,1,10
200,2320,0,8,7,1,2,0,1,3,0,73,1,0,0,0,1,0,0,27,8,1,0,0,0,1,0,0,4,0,1,7,2,16,114,17,1,1,3,0,20,0,0,0,0,0,0,0,1,0,0,1,0,47,0,9
220,2518,1,8,3,0,0,1,0,0,0,69,1,0,0,2,2,0,0,43,6,1,2,0,0,4,0,1,0,0,0,6,7,12,57,13,0,0,0,1,21,0,0,0,0,0,1,0,0,0,0,1,0,39,0,12
240,2717,6,12,3,0,0,0,1,0,0,65,1,0,0,1,0,0,0,30,11,1,0,0,0,1,0,0,2,0,2,4,2,5,73,18,0,2,1,1,10,0,0,0,0,0,0,0,2,0,0,3,0,68,0,7
260,2915,2,7,4,0,0,1,1,0,0,59,1,0,1,2,1,0,0,42,8,2,1,1,0,3,0,1,1,0,0,6,2,7,51,18,0,0,1,1,15,0,0,0,1,0,0,0,1,0,0,1,0,82,0,8
260,2915,2,7,4,0,0,1,1,0,0,59,1,0,1,2,1,0,0,42,8,2,1,1,0,3,0,1,1,0,0,6,2,7,51,18,0,0,1,1,15,0,0,0,1,0,0,0,1,0,0,1,0,82,0,8
280,3113,1,6,6,1,1,0,0,0,0,59,1,1,0,1,1,0,0,23,1,1,0,0,0,4,0,0,1,0,0,6,2,20,75,25,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,1,0,66,0,8
