"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Taxus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Prunus.pensylvanica","Rumex.type","Tsuga.canadensis","Viburnum.opulus","Picea.undiff.","Ericaceae.undiff.","Artemisia","Juglans.cinerea","Rosaceae.undiff.","Juniperus.type","Carya.ovata","Castanea.dentata","Juniperus.communis.Thuja.occidentalis.type","Larix","Ostrya.Carpinus","Sambucus","Rubiaceae","Picea.glauca.type","Acer.saccharinum","Viburnum.nudum","Tilia","Lamiaceae","Caryophyllaceae","Salix.undiff.","Pinus.resinosa.type","Prunus.virginiana","Nemopanthus.mucronatus","Amaranthaceae","Brassicaceae","Plantago","Ranunculaceae.undiff.","Thalictrum","Rosaceae.cf..Prunus.serotina","Asteraceae.subf..Cichorioideae","Populus.balsamifera.type","Viburnum.edule","Fabaceae.undiff.","Onagraceae","Saxifraga","Rhamnus.cathartica","Shepherdia.canadensis","cf..Oxyria.digyna","Vaccinium","Cornus.sericea","Dryas","Oxytropis.maydelliana.type","Potentilla.palustris.type","Salix.vestita.type","Caprifoliaceae.undiff.","Apiaceae","Viburnum.lentago","Salix.herbacea.type","Armeria.maritima","Polygonum.viviparum","Saxifraga.oppositifolia.type","Impatiens"
0,96,621,1,1,24,4,2,362,10,12,1,3,18,30,1,7,1,3,6,13,41,3,7,1,11,12,1,1,14,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,574,789,0,1,50,2,0,486,23,9,4,1,25,29,2,13,0,2,8,14,23,7,2,1,7,26,0,0,18,0,18,2,2,3,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1044,636,1,2,33,2,0,392,19,18,3,0,19,25,0,6,0,4,5,13,18,14,1,0,5,21,0,0,15,0,10,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1506,351,2,0,10,2,0,191,8,9,2,0,9,21,1,8,0,2,1,9,27,3,0,2,3,11,0,4,1,0,14,1,0,0,2,1,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1960,401,0,0,20,2,0,253,16,17,1,0,8,17,0,4,0,2,3,4,13,3,0,0,2,10,0,0,11,0,6,0,0,1,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2407,634,2,1,34,1,0,422,13,13,3,3,9,22,0,6,1,0,4,3,17,11,3,1,6,21,0,0,12,0,9,3,0,0,3,4,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2846,470,0,2,24,3,0,285,12,11,5,0,9,28,0,7,0,1,1,5,16,5,2,5,2,21,0,0,4,0,17,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3278,500,0,1,18,1,0,312,3,16,2,1,6,32,0,4,1,0,4,7,22,5,0,1,1,37,1,0,7,0,12,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3702,766,2,1,27,5,2,503,10,10,2,2,9,72,0,17,4,1,4,6,5,9,3,0,8,40,0,0,6,0,5,0,2,0,2,1,1,0,0,2,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4118,381,1,0,24,1,0,237,5,7,4,1,5,17,0,9,0,0,6,5,8,6,0,1,2,20,0,0,4,0,6,1,1,2,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4526,470,2,0,21,5,0,289,11,6,1,2,6,37,0,6,0,0,4,4,19,10,4,4,2,18,0,0,3,0,8,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4927,379,1,0,25,3,0,223,11,1,2,1,5,15,0,10,0,0,0,2,8,8,1,0,5,17,0,0,27,0,3,0,1,2,0,0,1,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,5551,554,0,0,30,3,0,353,15,2,3,0,4,27,1,8,4,0,11,6,7,8,0,3,6,32,0,0,17,0,2,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,5705,314,0,1,17,0,0,192,5,2,3,1,1,19,0,7,0,1,1,1,8,4,0,2,3,12,0,0,22,0,7,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6082,438,1,0,22,2,0,263,1,5,2,1,2,23,0,5,4,0,7,3,2,4,0,2,2,38,0,0,34,0,4,2,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6452,360,1,1,18,0,0,190,1,2,2,1,5,40,0,10,3,0,6,1,8,4,0,0,4,37,0,0,13,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,6814,458,0,1,18,1,0,287,3,2,5,1,1,43,1,11,1,1,1,4,8,3,1,0,3,43,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,7515,449,0,0,19,6,0,175,5,4,3,1,11,60,2,12,10,0,2,3,8,6,2,2,10,88,2,1,3,0,6,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,8185,353,1,1,2,3,0,143,6,2,3,0,4,45,0,13,8,2,2,3,10,2,1,0,5,75,0,0,5,0,11,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,8825,638,0,1,7,25,2,326,11,0,3,1,12,88,7,13,7,0,5,1,14,1,2,4,24,60,0,0,2,0,8,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,9133,535,0,2,1,16,1,314,3,2,8,1,10,37,5,16,8,3,3,2,15,2,0,4,39,20,0,0,2,0,7,0,2,0,0,4,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,9434,573,0,0,4,17,0,331,6,0,8,1,11,16,3,25,4,2,5,5,25,3,2,5,54,29,0,0,1,0,3,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,9726,459,0,3,6,36,0,234,5,2,4,1,8,28,9,24,3,0,8,1,20,1,2,6,30,19,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,10012,454,0,0,1,29,0,261,2,2,0,0,19,5,9,17,4,3,2,3,27,2,2,6,26,21,0,0,2,0,5,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,10151,349,0,0,5,21,1,212,3,0,2,1,13,6,7,10,0,1,5,0,13,1,0,1,20,3,0,0,1,0,8,0,0,0,0,3,0,0,2,1,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,10289,448,0,0,3,88,2,210,5,2,2,1,23,6,14,23,0,0,3,5,8,0,1,3,19,7,0,0,0,0,7,0,2,0,0,1,1,0,2,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
