"sample.depths","sample.ages","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Ranunculaceae.undiff.","Salix","Saxifragaceae","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Larix","Quercus","Fabaceae","Tsuga.canadensis","Ericaceae","Thalictrum","Viburnum.lentago","Acer.saccharinum","Carya.ovata","Acer.pensylvanicum","Myrica.gale","Viburnum.edule","Juglans.cinerea","Cornus.undiff.","Taxus","Ostrya.Carpinus","Corylus.cornuta","Rubiaceae","Populus.balsamifera.type","Cornus.alternifolia","Shepherdia.canadensis","Onagraceae","Asteraceae.undiff.","Cerealia","Brassicaceae","Aralia.hispida","Plantago","Lamiaceae","Polygonaceae.undiff."
15,523,0.00203252032520325,0.00609756097560976,0.008130081300813,0.00609756097560976,0.00203252032520325,0.00609756097560976,0.313008130081301,0.00203252032520325,0.23780487804878,0.00203252032520325,0.0711382113821138,0.00203252032520325,0.105691056910569,0.00203252032520325,0.0630081300813008,0.008130081300813,0.00203252032520325,0.00203252032520325,0.008130081300813,0.00203252032520325,0.0040650406504065,0.008130081300813,0.0121951219512195,0.00203252032520325,0.0101626016260163,0.0508130081300813,0.016260162601626,0.00609756097560976,0.0142276422764228,0.00203252032520325,0.00203252032520325,0.0203252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,697,0,0.00421940928270042,0.0126582278481013,0.0316455696202532,0.00421940928270042,0.00421940928270042,0.213080168776371,0,0.30379746835443,0.00210970464135021,0.00421940928270042,0,0.280590717299578,0,0.0464135021097046,0.00421940928270042,0,0,0.0126582278481013,0,0.00421940928270042,0.00632911392405063,0.00632911392405063,0,0.00210970464135021,0.0189873417721519,0.0126582278481013,0.00421940928270042,0.00632911392405063,0.00632911392405063,0,0.00843881856540084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1394,0,0.00909090909090909,0.0109090909090909,0.0127272727272727,0.00181818181818182,0,0.401818181818182,0,0.2,0.00181818181818182,0.0145454545454545,0.00181818181818182,0.0672727272727273,0,0.0854545454545454,0.0127272727272727,0,0,0.00181818181818182,0.00181818181818182,0,0.00545454545454545,0.00363636363636364,0,0,0.0727272727272727,0.0127272727272727,0.0109090909090909,0.0218181818181818,0.0109090909090909,0.00181818181818182,0.0272727272727273,0.00181818181818182,0.00363636363636364,0.00181818181818182,0.00181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2090,0,0.003125,0.009375,0.00625,0,0.0015625,0.503125,0,0.196875,0.003125,0.0296875,0,0.0234375,0,0.0453125,0.00625,0,0,0,0,0,0.009375,0.0046875,0,0.0015625,0.0671875,0.0234375,0.00625,0.0375,0,0.0015625,0.0125,0.0015625,0.0015625,0,0.003125,0.0015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2787,0,0.00150829562594268,0.0135746606334842,0.00603318250377074,0,0,0.470588235294118,0,0.137254901960784,0,0.0422322775263952,0.00150829562594268,0.0165912518853695,0,0.0542986425339367,0.0150829562594268,0.00150829562594268,0,0,0,0,0.024132730015083,0.00301659125188537,0,0,0.0829562594268477,0.0211161387631976,0.0150829562594268,0.0663650075414781,0,0.00150829562594268,0.0180995475113122,0,0,0,0.00150829562594268,0,0.00150829562594268,0.00150829562594268,0.00150829562594268,0.00150829562594268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3431,0,0.00409836065573771,0.0191256830601093,0.00273224043715847,0,0,0.554644808743169,0,0.0737704918032787,0.00136612021857923,0.0505464480874317,0.00546448087431694,0.0163934426229508,0,0.0573770491803279,0.0163934426229508,0,0,0.00136612021857923,0,0.00136612021857923,0.0204918032786885,0,0,0,0.0614754098360656,0.0355191256830601,0.0109289617486339,0.040983606557377,0,0.00273224043715847,0.0150273224043716,0,0.00546448087431694,0,0,0,0,0,0,0,0.00273224043715847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3915,0,0.00122249388753056,0.019559902200489,0.00122249388753056,0.00122249388753056,0.00244498777506112,0.5880195599022,0,0.00611246943765281,0.00244498777506112,0.0268948655256724,0.00122249388753056,0.0244498777506112,0,0.0599022004889976,0.0158924205378973,0,0,0.00733496332518337,0,0,0.019559902200489,0,0.00122249388753056,0,0.058679706601467,0.0317848410757946,0.00733496332518337,0.0916870415647922,0,0,0.0122249388753056,0.00122249388753056,0.0097799511002445,0,0.00366748166259169,0,0,0,0,0,0.00366748166259169,0.00122249388753056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4398,0,0,0.00516351118760757,0,0,0.00344234079173838,0.523235800344234,0,0.00688468158347676,0.00344234079173838,0.0327022375215146,0.00172117039586919,0.00516351118760757,0,0.0671256454388985,0.0258175559380379,0,0,0.00172117039586919,0,0,0.0137693631669535,0,0,0.00344234079173838,0.10671256454389,0.0309810671256454,0.0172117039586919,0.101549053356282,0,0,0.0240963855421687,0.00172117039586919,0.0120481927710843,0.00344234079173838,0.00172117039586919,0,0,0,0.00172117039586919,0,0.00344234079173838,0,0.00172117039586919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4882,0.0028169014084507,0,0.00563380281690141,0.00140845070422535,0,0.00140845070422535,0.595774647887324,0,0.0197183098591549,0,0.052112676056338,0,0.0535211267605634,0,0.0492957746478873,0.0112676056338028,0,0,0.0169014084507042,0,0,0.0211267605633803,0,0,0.00140845070422535,0.0577464788732394,0.0169014084507042,0.0140845070422535,0.0549295774647887,0,0.00140845070422535,0.00985915492957747,0.00140845070422535,0.00563380281690141,0,0.00422535211267606,0,0,0,0,0,0.00140845070422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5366,0.00290275761973875,0.00435413642960813,0.00725689404934688,0.00145137880986938,0,0.00145137880986938,0.444121915820029,0,0.0246734397677794,0.00290275761973875,0.058055152394775,0,0.0319303338171263,0,0.0653120464441219,0.0145137880986938,0,0,0.11611030478955,0,0.00145137880986938,0.0058055152394775,0,0,0.00145137880986938,0.121915820029028,0.00725689404934688,0.0101596516690856,0.0493468795355588,0,0.00290275761973875,0.0145137880986938,0,0.00290275761973875,0,0.0058055152394775,0,0,0,0,0,0,0,0,0.00145137880986938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
