"sample.depths","sample.ages","Ambrosia.type","Betula","Carya","Castanea","Corylus","Fagus","Ilex","Nyssa","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Poaceae","Ericales","Cyperaceae","Magnolia","Tilia","Cornus","Salix","Cephalanthus","Urticaceae","Viburnum","Liriodendron","Polygonum","Amaranthaceae","Ostrya.Carpinus","Sanguisorba","Apiaceae","Abies","Ranunculaceae.undiff.","Thalictrum","Campanula","Artemisia","Caryophyllaceae","Epilobium","Platanus","Polemonium"
30,12,0.00666666666666667,0.0366666666666667,0.0433333333333333,0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.456666666666667,0.00333333333333333,0.00666666666666667,0.00666666666666667,0.0266666666666667,0.0133333333333333,0.00666666666666667,0.00333333333333333,0.35,0.00333333333333333,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,737,0,0.0363036303630363,0.0429042904290429,0.0231023102310231,0,0,0,0.0099009900990099,0,0.445544554455446,0.0033003300330033,0.0033003300330033,0,0.033003300330033,0.0033003300330033,0.0033003300330033,0.0066006600660066,0.353135313531353,0.0033003300330033,0,0.0231023102310231,0.0033003300330033,0.0066006600660066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1462,0,0.0231788079470199,0.0629139072847682,0.0132450331125828,0.0033112582781457,0.00662251655629139,0,0.0033112582781457,0,0.506622516556291,0.0033112582781457,0.0033112582781457,0,0.0562913907284768,0,0.00662251655629139,0.00993377483443709,0.291390728476821,0,0,0.00662251655629139,0,0,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2187,0.0033003300330033,0.0066006600660066,0.0363036303630363,0.0165016501650165,0,0,0,0,0,0.561056105610561,0,0.0033003300330033,0,0.0495049504950495,0,0,0.0066006600660066,0.29042904290429,0.0066006600660066,0.0033003300330033,0.0132013201320132,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2913,0,0.0198019801980198,0.0231023102310231,0.0132013201320132,0.0033003300330033,0.0033003300330033,0,0.0099009900990099,0,0.544554455445545,0,0.0066006600660066,0,0.0627062706270627,0,0,0.0066006600660066,0.280528052805281,0.0099009900990099,0,0.0099009900990099,0,0,0,0.0033003300330033,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3638,0.0066006600660066,0.0297029702970297,0.0627062706270627,0.0066006600660066,0,0.0033003300330033,0,0.0099009900990099,0,0.521452145214521,0,0,0.0033003300330033,0.066006600660066,0.0033003300330033,0.0033003300330033,0.0033003300330033,0.260726072607261,0.0066006600660066,0,0.0066006600660066,0.0033003300330033,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4363,0.0033003300330033,0.0297029702970297,0.0528052805280528,0.0231023102310231,0.0033003300330033,0.0066006600660066,0,0.0066006600660066,0.0066006600660066,0.478547854785479,0.0066006600660066,0,0,0.0495049504950495,0.0033003300330033,0,0.0033003300330033,0.316831683168317,0.0033003300330033,0,0.0033003300330033,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,5088,0.00294117647058824,0.0117647058823529,0.0441176470588235,0.0235294117647059,0.00588235294117647,0.00294117647058824,0,0.00588235294117647,0.00294117647058824,0.461764705882353,0,0.00588235294117647,0,0.0676470588235294,0.114705882352941,0.00294117647058824,0,0.217647058823529,0.00588235294117647,0,0.0088235294117647,0.00294117647058824,0,0,0,0.0088235294117647,0,0.00294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5814,0.00993377483443709,0.0397350993377483,0.0397350993377483,0.00662251655629139,0.0033112582781457,0.0033112582781457,0,0.00662251655629139,0.0033112582781457,0.526490066225166,0.00993377483443709,0,0.00993377483443709,0.0629139072847682,0,0,0.00662251655629139,0.248344370860927,0.00662251655629139,0,0.00662251655629139,0,0,0,0,0.0033112582781457,0,0,0.0033112582781457,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0
75,6539,0.0099009900990099,0.0132013201320132,0.099009900990099,0.0066006600660066,0,0.0033003300330033,0,0.0066006600660066,0,0.564356435643564,0.0132013201320132,0,0.0033003300330033,0.033003300330033,0,0,0.0132013201320132,0.201320132013201,0.0132013201320132,0,0.0132013201320132,0,0.0033003300330033,0,0,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0
80,7264,0.00324675324675325,0.0064935064935065,0.0324675324675325,0.00974025974025974,0.0064935064935065,0.0064935064935065,0,0,0,0.607142857142857,0.012987012987013,0,0.00324675324675325,0.0454545454545455,0,0,0.0064935064935065,0.227272727272727,0.00324675324675325,0,0.0227272727272727,0.00324675324675325,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
