"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Cannabaceae","Caprifoliaceae","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Larix","Liquidambar","Morus","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Quercus","Rhamnaceae.Vitaceae","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown..monolete.","Unknown..trilete.","Urticaceae"
0.5,NA,0,5,5,13,153,0,2,5,4,16,4,0,10,0,2,0,3,12,11,0,0,0,1,7,0,0,7,21,0,5,0,0,0,0,0,5,1,5,6,20,1,1,24,1,3,172,2,0,1,2,0,1,0,0,0,1,1,0,13,5,2,1
2,NA,0,5,1,15,230,0,1,6,4,22,0,1,10,0,0,0,0,12,9,0,0,2,0,19,0,0,13,47,2,3,0,0,1,1,0,5,2,4,8,27,0,0,54,4,2,275,1,0,1,5,0,1,0,0,1,2,1,1,20,2,5,2
9,NA,0,2,8,10,182,0,0,2,1,25,0,0,9,0,0,0,2,12,14,0,0,0,1,6,2,0,15,28,0,5,0,0,1,0,0,5,1,3,14,29,0,0,40,2,3,183,0,2,1,6,0,1,0,0,0,3,1,0,19,3,5,5
16,NA,0,1,6,8,101,0,0,6,3,16,0,0,9,0,0,0,2,6,13,0,0,0,0,8,0,0,5,47,2,4,0,0,0,0,0,5,1,3,21,23,1,3,33,0,1,210,0,0,1,2,0,1,1,0,0,2,2,0,19,1,6,2
19.5,NA,0,5,4,4,77,0,0,12,7,33,1,0,8,0,0,0,0,2,6,0,0,1,0,7,0,0,8,54,0,2,0,0,0,0,0,6,0,7,18,38,0,4,28,8,0,305,3,0,0,1,0,7,1,0,3,2,7,0,18,5,4,0
22.5,NA,0,1,11,3,32,0,0,8,5,19,0,0,6,0,2,0,2,17,16,0,0,1,0,17,1,0,10,61,0,1,2,0,0,0,0,9,1,5,33,34,0,5,11,6,0,259,1,0,1,0,0,2,0,0,1,0,1,0,9,5,6,2
31,NA,0,12,20,9,49,0,0,15,16,60,1,0,23,0,0,0,3,19,39,0,0,0,8,38,3,0,10,81,0,12,1,0,0,0,0,28,3,12,58,92,0,8,25,18,2,601,0,1,0,0,0,4,0,0,3,2,6,1,18,4,6,2
39,NA,1,4,6,6,32,0,0,4,5,24,1,0,10,1,0,0,1,2,7,0,0,0,1,7,0,2,4,39,1,5,0,1,0,0,0,7,1,6,20,37,0,9,18,7,1,261,1,0,0,0,0,6,1,0,1,1,6,0,11,3,1,0
46.5,NA,0,2,11,0,32,0,0,7,7,29,0,1,14,0,0,0,2,11,15,0,0,0,1,16,1,0,10,55,3,4,1,0,0,0,0,7,0,4,38,35,0,3,16,0,0,287,0,0,0,0,0,4,0,1,0,1,4,1,10,6,7,1
54.5,NA,1,3,8,2,8,0,0,9,2,29,0,0,9,0,0,0,1,6,5,0,0,0,3,14,0,0,6,65,0,6,0,0,0,0,0,6,0,4,28,37,0,4,18,2,1,303,3,0,0,0,0,0,0,0,0,0,4,0,8,4,1,0
62,NA,0,5,7,6,41,0,0,9,3,34,0,0,19,1,1,0,4,10,18,0,0,1,1,12,2,0,6,60,1,6,0,0,0,0,0,9,2,11,33,45,0,8,28,2,2,348,1,0,1,2,0,5,0,0,1,3,2,0,13,8,3,1
69,NA,0,0,9,6,9,1,0,11,7,21,0,0,13,0,1,0,0,6,10,1,0,0,2,5,0,0,10,53,0,3,0,0,0,0,0,3,0,14,36,55,0,8,14,12,0,286,1,0,0,0,1,5,0,0,0,2,3,0,6,4,8,0
76.5,NA,1,1,3,1,9,0,1,7,8,36,0,0,14,0,0,0,2,6,19,0,0,0,2,5,0,1,4,49,1,3,0,0,0,0,0,6,0,13,32,44,0,2,23,0,0,318,0,0,0,0,1,1,1,0,0,1,1,1,7,5,5,1
83.5,NA,0,1,4,1,11,1,0,8,5,32,0,0,25,0,0,0,1,9,15,0,0,0,2,4,0,0,3,42,0,2,1,0,1,0,0,6,1,11,31,45,0,5,20,9,1,262,0,0,0,0,0,2,0,0,0,0,4,0,2,2,8,0
