"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Betula","Carya","Chamaecyparis","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Herbs.undiff.","Juglans.nigra","Liquidambar","Nyssa","Ostrya.Carpinus","Plantago.lanceolata","Platanus","Quercus","Rumex","Shrubs.undiff.","Tsuga","Ulmus","Alnus","Anacardiaceae","Pinus","Amaranthaceae","Iva","Castanea","Ilex","Rhamnaceae.Vitaceae.undiff.","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Myrica","Juglans.cinerea","Salix","Tilia","Vitis","Cerealia","Caprifoliaceae","Rubiaceae","Artemisia","Fraxinus.nigra.type","Corylus","Picea","Abies","Sanguisorba"
0,2,310,1,3,55,25,1,26,7,4,1,1,5,3,1,7,4,1,4,4,100,1,2,4,4,2,3,35,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,35,317,0,5,23,32,2,24,3,9,1,1,3,4,0,0,37,1,2,0,100,1,0,6,2,5,2,41,0,1,1,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30,101,353,2,0,100,16,8,4,41,11,0,0,18,3,0,2,0,0,5,1,68,9,1,3,3,4,0,40,0,1,1,0,0,0,4,0,1,1,1,1,4,0,0,0,0,0,0,0,0
50,167,284,1,3,15,44,6,51,12,2,3,3,1,1,0,0,5,0,1,1,94,0,1,5,0,5,0,21,1,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
70,1427,441,0,4,6,1,2,139,1,3,0,0,1,1,0,0,3,1,0,0,183,0,0,7,3,12,1,54,0,0,1,7,1,0,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0
90,3880,321,1,6,2,9,2,54,7,2,2,2,5,0,0,0,1,7,0,1,147,0,0,8,1,6,0,51,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0
110,6333,261,0,1,3,5,1,2,8,0,5,5,3,0,0,1,1,2,0,2,125,0,0,10,3,8,0,69,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0
130,8787,323,0,0,4,16,0,0,8,0,0,0,3,2,1,0,4,13,0,0,135,0,0,5,2,19,0,104,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0
150,11240,312,1,0,2,9,1,0,12,1,0,0,5,7,0,0,1,3,0,2,72,0,0,8,6,26,2,137,1,0,0,4,0,0,3,3,0,0,0,0,0,3,0,0,2,1,0,0,0
170,NA,294,1,0,4,6,1,10,6,4,1,1,5,3,0,0,0,6,0,0,94,0,0,9,3,42,0,88,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,0,2,1,0,0
190,NA,283,2,0,0,13,1,0,10,0,0,0,6,2,0,0,0,1,0,0,52,0,0,8,1,10,1,164,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,2,2,1,0
200,NA,316,1,1,0,12,0,0,10,1,0,0,4,0,0,0,0,4,0,0,36,0,0,10,0,11,0,200,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,2,13,4,1
215,NA,339,3,0,1,12,0,0,18,1,1,0,8,0,0,0,0,5,0,0,27,0,0,3,1,10,0,214,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,0,1,3,20,3,0
