"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Liriodendron","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Fabaceae","Galium","Iva.annua.type","Iva.undiff.","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.lapathifolium","Rosaceae.undiff.","Rumex","Thalictrum","Urtica","Xanthium","Zea"
0,-45,0,0,0.019434629,0.001766784,0.019434629,0,0,0.010600707,0,0,0,0.473498233,0,0.007067138,0.001766784,0,0,0,0,0,0,0.001766784,0.075971731,0,0.007067138,0,0.060070671,0.001766784,0.001766784,0,0,0,0,0,0,0.001766784,0,0.005300353,0.081272085,0,0.005300353,0.06360424,0,0.001766784,0,0.049469965,0,0,0,0,0,0,0,0.04770318,0.003533569,0,0.028268551,0,0,0,0,0,0.003533569,0,0,0.001766784,0,0,0,0,0.019434629,0,0,0,0.005300353,0,0,0,0
1,-39,0.009983361,0,0.011647255,0,0.029950083,0,0.003327787,0.018302829,0,0,0,0.510815308,0.009983361,0.003327787,0.003327787,0,0,0,0.001663894,0,0,0.001663894,0.074875208,0,0.001663894,0,0.008319468,0.003327787,0.001663894,0,0,0,0,0,0,0.004991681,0,0.014975042,0.079866889,0,0.014975042,0.059900166,0,0,0,0.016638935,0,0.001663894,0,0,0,0,0.001663894,0.063227953,0.016638935,0,0.013311148,0.001663894,0,0,0,0,0.001663894,0,0,0,0,0,0,0,0.009983361,0,0,0,0.004991681,0,0,0,0
2,-33,0.009380863,0,0.015009381,0,0.033771107,0,0,0.001876173,0.001876173,0,0,0.487804878,0,0.003752345,0,0,0,0,0.001876173,0,0,0.001876173,0.090056285,0,0.001876173,0,0.045028143,0.001876173,0.001876173,0,0,0,0,0,0,0,0,0.00750469,0.07879925,0,0.009380863,0.073170732,0,0,0,0.046904315,0,0,0,0,0,0,0,0.048780488,0.005628518,0,0.00750469,0,0,0,0,0,0.001876173,0,0,0.001876173,0,0,0,0,0.013133208,0,0,0.003752345,0.003752345,0,0,0,0
3,-28,0.002985075,0,0.010447761,0,0.037313433,0,0.002985075,0.014925373,0,0,0,0.547761194,0.013432836,0.004477612,0.001492537,0,0,0,0,0,0,0,0.08358209,0,0,0,0.014925373,0,0,0,0,0.001492537,0,0,0,0.002985075,0,0.011940299,0.062686567,0,0.019402985,0.03880597,0,0,0,0.026865672,0,0.001492537,0,0,0,0,0.001492537,0.053731343,0.005970149,0,0.019402985,0,0,0.002985075,0,0,0,0.001492537,0,0,0,0.001492537,0,0,0.004477612,0,0,0,0.008955224,0,0,0,0
4,-22,0.006980803,0,0.003490401,0.003490401,0.022687609,0,0,0.010471204,0,0.001745201,0,0.490401396,0,0.001745201,0,0,0,0,0.001745201,0.005235602,0,0,0.10122164,0,0.006980803,0,0.027923211,0.006980803,0,0.001745201,0,0,0,0,0,0.003490401,0.001745201,0.012216405,0.059336824,0,0.001745201,0.04886562,0,0.001745201,0,0.052356021,0,0.005235602,0,0,0,0,0.003490401,0.054101222,0.010471204,0,0.015706806,0,0,0,0,0,0.001745201,0.003490401,0,0,0,0,0,0.001745201,0.020942408,0,0,0,0.008726003,0,0,0,0
5,-15,0.001754386,0,0.005263158,0,0.029824561,0,0.005263158,0.010526316,0,0,0,0.489473684,0.005263158,0.001754386,0,0,0,0,0,0,0,0,0.122807018,0,0.001754386,0,0.031578947,0.001754386,0,0,0,0,0,0,0,0.001754386,0,0.01754386,0.078947368,0,0.010526316,0.028070175,0.001754386,0,0,0.033333333,0,0.001754386,0,0,0,0,0.001754386,0.063157895,0,0,0.019298246,0,0.001754386,0.001754386,0,0,0,0.001754386,0,0.001754386,0,0,0,0.001754386,0.01754386,0,0,0,0.00877193,0,0,0,0
6,-8,0.007434944,0,0.00929368,0,0.040892193,0,0,0.005576208,0,0,0,0.440520446,0,0.003717472,0.001858736,0,0,0.001858736,0.001858736,0.001858736,0,0,0.098513011,0,0.003717472,0,0.026022305,0.001858736,0,0,0,0,0,0,0,0.001858736,0,0.013011152,0.085501859,0.005576208,0.011152416,0.046468401,0,0.001858736,0,0.050185874,0,0.001858736,0,0,0,0,0,0.087360595,0.00929368,0,0.011152416,0,0,0,0,0,0,0,0,0.001858736,0,0,0,0,0.013011152,0.001858736,0,0.001858736,0.011152416,0,0,0,0
7,34,0.00124533,0,0.00498132,0,0.0498132,0,0.00124533,0.01120797,0,0,0,0.466998755,0.00373599,0.00124533,0.00124533,0,0,0,0.00124533,0,0,0.00622665,0.149439601,0,0.00249066,0,0.01867995,0,0.00249066,0,0,0.00124533,0,0,0,0,0,0.00747198,0.087173101,0,0.0124533,0.02241594,0,0.00124533,0,0.02864259,0,0.00373599,0,0,0,0,0,0.059775841,0.00996264,0,0.0124533,0,0.00124533,0,0,0,0,0.00498132,0,0,0,0,0,0,0.01369863,0,0,0,0.01120797,0,0,0,0
8,39,0,0,0.001865672,0.001865672,0.031716418,0,0,0.009328358,0,0.001865672,0,0.494402985,0,0.001865672,0.001865672,0,0,0,0,0,0,0.005597015,0.111940299,0,0.009328358,0,0.026119403,0.001865672,0.001865672,0.001865672,0,0.001865672,0,0,0,0.007462687,0.001865672,0.009328358,0.074626866,0,0,0.048507463,0,0.001865672,0,0.026119403,0,0,0.001865672,0,0,0,0,0.09141791,0.007462687,0,0.003731343,0,0.001865672,0.003731343,0,0,0,0.001865672,0,0,0,0,0,0,0.001865672,0,0,0,0.009328358,0.001865672,0,0,0
9,52,0.00311042,0,0.00155521,0,0.032659409,0,0.00155521,0.01088647,0.00155521,0.00155521,0,0.469673406,0.00311042,0.00466563,0,0,0,0,0,0,0,0.00466563,0.147744946,0,0.00466563,0,0.017107309,0,0,0,0,0,0,0,0,0.00155521,0,0.01088647,0.074650078,0,0.01244168,0.046656299,0.00155521,0,0,0.026438569,0,0,0,0,0,0,0,0.096423017,0.01399689,0,0.00466563,0,0.00155521,0,0,0,0,0.00155521,0,0,0,0,0,0,0.00155521,0,0,0,0,0.00155521,0,0,0
