"sample.depths","sample.ages","Cephalanthus","Asteraceae.undiff.","Quercus","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Casuarina","Apiaceae","Fabaceae","Fraxinus","Onagraceae","Polygonaceae","Iva","Carya","Trema","Euphorbiaceae","Cupressaceae.Taxaceae","Schinus","Ericaceae","Nyssa","Liquidambar","Juglans"
0.5,-34,0.0078740157480315,0.015748031496063,0.015748031496063,0.0078740157480315,0.0551181102362205,0.031496062992126,0.15748031496063,0.606299212598425,0.0078740157480315,0.078740157480315,0.015748031496063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,-6,0.109170305676856,0.0262008733624454,0.0218340611353712,0.0262008733624454,0.0524017467248908,0.0131004366812227,0.122270742358079,0.519650655021834,0.0218340611353712,0.00436681222707424,0.0349344978165939,0.00873362445414847,0.0131004366812227,0.00436681222707424,0.00436681222707424,0.0131004366812227,0.00436681222707424,0,0,0,0,0,0,0,0,0
2.5,22,0.0707964601769911,0.0442477876106195,0.0575221238938053,0.0132743362831858,0.0176991150442478,0.0398230088495575,0.146017699115044,0.464601769911504,0.0265486725663717,0.0132743362831858,0.0265486725663717,0.0132743362831858,0.00442477876106195,0,0,0.0088495575221239,0.0088495575221239,0.0088495575221239,0.0132743362831858,0.00442477876106195,0.0132743362831858,0.00442477876106195,0,0,0,0
3.5,51,0.101694915254237,0.038135593220339,0.0169491525423729,0.038135593220339,0.0508474576271186,0.00423728813559322,0.105932203389831,0.555084745762712,0.0169491525423729,0.0169491525423729,0.0127118644067797,0.00423728813559322,0,0,0,0.00423728813559322,0,0,0.0211864406779661,0,0.0127118644067797,0,0,0,0,0
5.5,211,0.0401606425702811,0.0120481927710843,0.0120481927710843,0.0281124497991968,0.00803212851405622,0.00803212851405622,0.112449799196787,0.742971887550201,0.00401606425702811,0.00401606425702811,0,0,0,0,0,0.0160642570281124,0,0,0,0.0120481927710843,0,0,0,0,0,0
6.5,291,0.0625,0.0263157894736842,0,0.0296052631578947,0.0197368421052632,0.00328947368421053,0.0460526315789474,0.773026315789474,0.00657894736842105,0.00657894736842105,0,0.00328947368421053,0,0,0.00328947368421053,0.00986842105263158,0,0.00328947368421053,0,0,0.00657894736842105,0,0,0,0,0
7.5,371,0.0410958904109589,0.0445205479452055,0.00342465753424658,0.0136986301369863,0.0136986301369863,0,0.0684931506849315,0.794520547945205,0,0.00684931506849315,0,0.00342465753424658,0,0,0,0.00684931506849315,0,0,0,0.00342465753424658,0,0,0,0,0,0
10.5,612,0.003690036900369,0,0.011070110701107,0.007380073800738,0,0,0.3690036900369,0.579335793357934,0.014760147601476,0.007380073800738,0,0,0,0,0,0.003690036900369,0.003690036900369,0,0,0,0,0,0,0,0,0
12.5,797,0,0.00816326530612245,0.0204081632653061,0,0.00408163265306122,0.00816326530612245,0.43265306122449,0.502040816326531,0,0,0,0,0,0,0,0.0163265306122449,0,0,0,0.00408163265306122,0,0,0.00408163265306122,0,0,0
13.5,894,0,0,0.00403225806451613,0,0,0.00403225806451613,0.745967741935484,0.221774193548387,0,0,0,0,0,0,0.00403225806451613,0.00806451612903226,0.00403225806451613,0,0,0,0,0,0.00403225806451613,0.00403225806451613,0,0
14.5,991,0,0,0.0099502487562189,0,0.00497512437810945,0.0199004975124378,0.776119402985075,0.169154228855721,0.00497512437810945,0.0099502487562189,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0
15.5,1087,0.00355871886120996,0.00355871886120996,0.00355871886120996,0,0,0.00355871886120996,0.679715302491103,0.270462633451957,0.00711743772241993,0.00711743772241993,0,0.00355871886120996,0,0,0,0.0142348754448399,0,0,0,0,0,0,0,0,0.00355871886120996,0
21,1619,0,0.00398406374501992,0.00796812749003984,0,0,0.0119521912350598,0.665338645418327,0.254980079681275,0.00398406374501992,0,0,0,0,0,0,0.0438247011952191,0.00796812749003984,0,0,0,0,0,0,0,0,0
25,2005,0,0.00687285223367698,0.00343642611683849,0,0,0.00343642611683849,0.336769759450172,0.536082474226804,0.0171821305841924,0.0171821305841924,0,0,0,0,0,0.0687285223367698,0.00343642611683849,0.00343642611683849,0,0,0,0,0,0,0,0.00343642611683849
31,2585,0.00337837837837838,0,0.0135135135135135,0,0,0.00675675675675676,0.27027027027027,0.695945945945946,0,0.00337837837837838,0,0,0,0,0,0,0,0,0,0,0.00337837837837838,0,0,0,0,0.00337837837837838
35,2972,0,0,0,0,0,0,0.689189189189189,0.297297297297297,0.0135135135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3551,0,0,0,0,0,0.0194174757281553,0.553398058252427,0.41747572815534,0,0,0,0,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0
45,3706,0,0,0.0119047619047619,0,0.00595238095238095,0.0119047619047619,0.398809523809524,0.535714285714286,0.0119047619047619,0.0119047619047619,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0,0,0,0,0
51,3938,0,0,0.00657894736842105,0,0,0,0.151315789473684,0.822368421052632,0.00657894736842105,0,0,0,0,0,0,0.00657894736842105,0.00657894736842105,0,0,0,0,0,0,0,0,0
55,4093,0,0,0.0147783251231527,0,0,0.00492610837438424,0.226600985221675,0.748768472906404,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,4324,0,0,0,0,0,0,0.0661157024793388,0.929752066115702,0,0,0,0,0,0,0,0,0.00413223140495868,0,0,0,0,0,0,0,0,0
