"sample.depths","sample.ages","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae.Taxaceae","Fagus","Fraxinus","Juglans","Liquidambar","Nyssa","Ostrya.Carpinus","Picea","Pinus","Quercus","Tilia","Tsuga","Ulmus","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae"
1,-38,0,0.00321543408360129,0.00964630225080386,0.045016077170418,0.00321543408360129,0.00321543408360129,0,0.00643086816720257,0.00964630225080386,0.00964630225080386,0,0.00321543408360129,0,0.279742765273312,0.434083601286174,0,0,0,0.138263665594855,0.0257234726688103,0.00643086816720257,0,0.00964630225080386,0.0128617363344051
9,53,0,0.00986842105263158,0.0197368421052632,0.0493421052631579,0.00328947368421053,0,0,0,0.0164473684210526,0.0427631578947368,0,0,0,0.490131578947368,0.197368421052632,0,0,0.00328947368421053,0.138157894736842,0.00986842105263158,0.00328947368421053,0.00328947368421053,0,0.0131578947368421
19,167,0,0.00291545189504373,0.0204081632653061,0.043731778425656,0.00583090379008746,0,0,0,0.0145772594752187,0.0204081632653061,0,0.00291545189504373,0.00291545189504373,0.527696793002915,0.177842565597668,0,0.0087463556851312,0,0.134110787172012,0.0174927113702624,0.00583090379008746,0,0.0087463556851312,0.00583090379008746
29,280,0,0,0.00946372239747634,0.0473186119873817,0,0.00315457413249211,0,0.00315457413249211,0,0.0220820189274448,0,0.00315457413249211,0.00315457413249211,0.539432176656151,0.246056782334385,0,0.00630914826498423,0.00630914826498423,0.0883280757097792,0,0.00315457413249211,0,0.00315457413249211,0.0157728706624606
39,394,0,0,0.0118343195266272,0.0710059171597633,0,0.0029585798816568,0,0.0029585798816568,0.00591715976331361,0.014792899408284,0.00887573964497041,0.0029585798816568,0,0.461538461538462,0.29585798816568,0,0,0.0029585798816568,0.100591715976331,0.0118343195266272,0,0.00591715976331361,0,0
49,507,0.00319488817891374,0,0.00638977635782748,0.086261980830671,0.00319488817891374,0,0.00319488817891374,0,0,0.012779552715655,0,0,0,0.552715654952077,0.271565495207668,0,0.0255591054313099,0.00319488817891374,0.00958466453674121,0,0.00319488817891374,0,0.00319488817891374,0.0159744408945687
59,620,0.00318471337579618,0,0.00636942675159236,0.0796178343949045,0,0.00318471337579618,0,0,0.00318471337579618,0.0127388535031847,0.00318471337579618,0,0,0.598726114649682,0.248407643312102,0,0.0159235668789809,0,0.0127388535031847,0.00636942675159236,0,0.00318471337579618,0,0.00318471337579618
69,724,0,0,0.00636942675159236,0.121019108280255,0,0,0,0,0.00318471337579618,0.0159235668789809,0.00318471337579618,0,0.00318471337579618,0.487261146496815,0.331210191082803,0,0.0159235668789809,0.00636942675159236,0.00318471337579618,0,0,0,0,0.00318471337579618
79,828,0,0,0.0175953079178886,0.13782991202346,0.00586510263929619,0,0,0,0.00293255131964809,0.00293255131964809,0.00293255131964809,0,0,0.451612903225806,0.343108504398827,0,0.0117302052785924,0,0,0,0.00293255131964809,0.0205278592375367,0,0
89,933,0.0064935064935065,0.00324675324675325,0.012987012987013,0.113636363636364,0.00974025974025974,0,0.00324675324675325,0,0.0064935064935065,0.0227272727272727,0.00324675324675325,0,0.00324675324675325,0.301948051948052,0.470779220779221,0,0.0162337662337662,0,0.00324675324675325,0.0064935064935065,0.00324675324675325,0.0064935064935065,0,0.0064935064935065
99,1037,0,0,0.0148367952522255,0.189910979228487,0,0,0,0,0.00890207715133531,0.00593471810089021,0.0029673590504451,0,0,0.42433234421365,0.311572700296736,0,0.0178041543026706,0,0.00890207715133531,0,0,0.0148367952522255,0,0
109,1141,0,0.00311526479750779,0.0124610591900312,0.143302180685358,0.00311526479750779,0,0.00311526479750779,0,0.00311526479750779,0.0186915887850467,0,0.00311526479750779,0,0.429906542056075,0.355140186915888,0,0.0124610591900312,0,0.00623052959501558,0,0,0,0,0.00623052959501558
119,1245,0.00294117647058824,0,0.0117647058823529,0.126470588235294,0,0,0,0,0.00588235294117647,0.00588235294117647,0.00294117647058824,0,0,0.4,0.420588235294118,0,0.0088235294117647,0.00588235294117647,0.00294117647058824,0,0,0.00588235294117647,0,0
129,1349,0.00324675324675325,0,0.012987012987013,0.159090909090909,0,0.00324675324675325,0.00324675324675325,0,0,0.00324675324675325,0,0,0.00324675324675325,0.435064935064935,0.353896103896104,0,0.0064935064935065,0,0.0064935064935065,0.00324675324675325,0.00324675324675325,0,0,0.00324675324675325
139,1453,0,0,0.0186335403726708,0.18944099378882,0,0,0,0,0.0062111801242236,0,0,0,0,0.394409937888199,0.363354037267081,0.0031055900621118,0.0062111801242236,0,0.0062111801242236,0.0031055900621118,0.0062111801242236,0,0,0.0031055900621118
149,1557,0,0,0.0129449838187702,0.27831715210356,0.00323624595469256,0.00647249190938511,0.00323624595469256,0,0.00647249190938511,0.00970873786407767,0,0,0.00323624595469256,0.381877022653722,0.275080906148867,0,0.00970873786407767,0,0.00323624595469256,0,0,0.00323624595469256,0,0.00323624595469256
159,1661,0,0,0.0216049382716049,0.141975308641975,0,0.00308641975308642,0.00308641975308642,0,0.0123456790123457,0.00308641975308642,0.00308641975308642,0,0,0.320987654320988,0.450617283950617,0,0.0123456790123457,0,0.00925925925925926,0,0.00925925925925926,0,0,0.00925925925925926
169,1765,0.00314465408805031,0.00628930817610063,0,0.150943396226415,0,0,0,0,0.00628930817610063,0.0188679245283019,0.00314465408805031,0,0.00628930817610063,0.393081761006289,0.367924528301887,0,0.0283018867924528,0.00314465408805031,0,0,0.00628930817610063,0.00628930817610063,0,0
