"sample.depths","sample.ages","Betula","Carya","Cupressaceae","Cyperaceae","Fagus","Ilex","Impatiens","Picea","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Iva.annua","Myrica","Populus","Poaceae","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Ostrya","Artemisia","Juglans.cinerea","Larix","Platanus","Taxus","Tilia","Fabaceae","Abies","Corylus","Morus","Celtis","Ericaceae","Acer.rubrum","Juglans.nigra","Rosaceae.undiff.","Amaranthaceae","Thalictrum","Vitis","Liliaceae","Xanthium","Shepherdia.canadensis","Dryas","Asteraceae.subf..Cichorioideae","Sanguisorba","Shepherdia.argentea"
1,-9,0.22,0.00666666666666667,0.01,0.0133333333333333,0.0133333333333333,0.00666666666666667,0.00333333333333333,0.00666666666666667,0.206666666666667,0.00666666666666667,0.00333333333333333,0.03,0.00333333333333333,0.0233333333333333,0.0566666666666667,0.0766666666666667,0.00333333333333333,0.00666666666666667,0.0233333333333333,0.0266666666666667,0.0366666666666667,0.00666666666666667,0.01,0.0233333333333333,0.166666666666667,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,389,0.0833333333333333,0,0.0166666666666667,0.00333333333333333,0.0366666666666667,0,0,0.01,0.0766666666666667,0.00333333333333333,0,0.06,0,0.0366666666666667,0.0333333333333333,0.0266666666666667,0,0.01,0.01,0.0133333333333333,0.0233333333333333,0,0,0.0266666666666667,0.49,0.0133333333333333,0.01,0.00333333333333333,0.01,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,598,0.146666666666667,0.00333333333333333,0.0333333333333333,0.00333333333333333,0.0433333333333333,0.0133333333333333,0,0.00333333333333333,0.07,0,0,0.13,0.00333333333333333,0.0333333333333333,0.0466666666666667,0,0,0,0.01,0.00333333333333333,0.0466666666666667,0.00333333333333333,0,0.03,0.323333333333333,0.0233333333333333,0.00333333333333333,0.00333333333333333,0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,808,0.156666666666667,0.00333333333333333,0.0133333333333333,0.01,0.01,0,0,0.00333333333333333,0.106666666666667,0,0,0.0466666666666667,0,0.0466666666666667,0.0166666666666667,0.00333333333333333,0,0.00333333333333333,0,0,0.03,0.0133333333333333,0.00333333333333333,0.05,0.443333333333333,0.0133333333333333,0,0,0.00666666666666667,0.00333333333333333,0,0.00333333333333333,0,0.00666666666666667,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1017,0.17,0.00333333333333333,0.0533333333333333,0.00333333333333333,0.02,0.00333333333333333,0,0.01,0.0866666666666667,0,0.00666666666666667,0.0533333333333333,0,0.03,0.0866666666666667,0.00333333333333333,0,0.00333333333333333,0.0133333333333333,0.00666666666666667,0.0333333333333333,0.01,0.0133333333333333,0.0333333333333333,0.31,0.02,0.00666666666666667,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1227,0.176666666666667,0.01,0.00666666666666667,0,0.03,0.00666666666666667,0,0,0.0866666666666667,0,0,0.18,0.00333333333333333,0.04,0.08,0.00333333333333333,0,0.01,0.0166666666666667,0,0.05,0.00666666666666667,0.0166666666666667,0.0366666666666667,0.19,0.0233333333333333,0,0.00666666666666667,0.01,0,0,0.00333333333333333,0,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
70,1436,0.186666666666667,0.00333333333333333,0.0166666666666667,0,0.06,0.01,0,0.03,0.09,0,0,0.176666666666667,0.00666666666666667,0.02,0.0333333333333333,0.00333333333333333,0,0,0.0166666666666667,0,0.06,0.01,0.01,0.04,0.176666666666667,0.00666666666666667,0.00333333333333333,0,0.03,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1645,0.11,0,0.00333333333333333,0,0.0733333333333333,0,0,0.00333333333333333,0.0566666666666667,0,0,0.203333333333333,0.00333333333333333,0.0466666666666667,0.0166666666666667,0,0,0,0,0,0.0466666666666667,0.00666666666666667,0.00333333333333333,0.01,0.373333333333333,0.00333333333333333,0.00333333333333333,0,0.0133333333333333,0.01,0,0.00666666666666667,0,0,0,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0
100,2064,0.100334448160535,0.00334448160535117,0.0100334448160535,0.00334448160535117,0.11371237458194,0.00334448160535117,0,0.00334448160535117,0.0869565217391304,0,0,0.190635451505017,0,0.0568561872909699,0.0267558528428094,0,0,0,0.00334448160535117,0.00334448160535117,0.0702341137123746,0.00334448160535117,0.0100334448160535,0.0234113712374582,0.260869565217391,0.00668896321070234,0,0,0,0.0100334448160535,0,0.00668896321070234,0,0,0,0,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0
110,2274,0.12,0.00666666666666667,0.07,0.00333333333333333,0.06,0.00333333333333333,0,0.01,0.0833333333333333,0,0,0.0866666666666667,0,0.03,0.0166666666666667,0.00333333333333333,0,0.00666666666666667,0.0266666666666667,0,0.06,0.00666666666666667,0.00666666666666667,0.0333333333333333,0.313333333333333,0.0266666666666667,0,0.00333333333333333,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0,0,0,0.00666666666666667,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0
