"sample.depths","sample.ages","upland.sum","Carya","Cyperaceae","Picea","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Pinus","Poaceae","Larix","Quercus","Amaranthaceae","Shepherdia.canadensis","Abies","Ostrya","Salix","Onagraceae","Tsuga","Alnus","Artemisia","Betula","Tilia","Asteraceae.subf..Cichorioideae","Cupressaceae","Juglans.cinerea","Fraxinus.americana.type","Acer.saccharum","Fraxinus.nigra"
150,NA,100,1,2,49,1,3,1,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,NA,100,0,3,72,0,1,0,19,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,NA,100,0,36,48,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,NA,100,0,10,66,0,0,0,12,3,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,NA,99,0,6,68,1,1,0,10,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,10475,100,0,8,73,1,0,0,12,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,10683,100,0,4,65,0,1,2,16,2,4,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310,10908,100,0,6,68,3,1,0,8,0,6,3,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
330,11234,100,1,11,62,0,0,0,19,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
350,11560,100,0,7,68,5,0,1,9,2,1,0,0,2,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0
370,11886,100,0,7,73,1,1,1,8,2,3,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
390,12218,100,1,22,51,8,0,0,4,7,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
400,12386,100,0,14,70,0,0,0,11,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
410,12554,100,0,23,60,0,1,0,10,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
440,NA,100,1,11,62,0,0,0,9,0,0,8,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,1
