"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Cyperaceae","Fagus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Pinus","Poaceae","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Abies","Corylus","Asteraceae.subf..Cichorioideae","Taxus","Populus","Rosaceae","Juglans.nigra","Salix","Myrica","Ilex.Nemopanthus","Cupressaceae","Acer.negundo","Castanea","Rumex","Ranunculus","Acer.rubrum","Sarcobatus.vermiculatus","Celtis","Vitis","Impatiens","Apiaceae","Iva.annua","Lamiaceae"
1,-26,200,1,17,1,6,15,1,2,12,1,1,19,1,7,3,11,3,17,44,18,5,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,149,227,0,22,3,3,8,0,0,14,0,1,42,1,11,0,8,7,2,91,0,4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,242,215,0,32,1,0,7,0,0,5,2,0,56,0,8,1,4,5,0,77,0,8,1,1,0,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,426,211,2,26,3,1,15,0,0,17,1,0,52,1,18,0,4,0,1,49,0,7,8,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,703,223,0,37,5,0,16,1,0,12,1,1,60,1,13,1,33,2,6,16,0,6,4,0,1,1,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0
100,887,215,2,27,4,0,49,3,0,10,1,1,26,4,11,0,22,5,0,26,0,12,7,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,1164,200,1,16,5,3,45,0,0,6,1,3,49,2,12,0,12,2,0,19,1,10,3,2,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0
150,1348,205,0,25,1,3,66,1,0,5,1,1,30,2,6,0,15,5,0,16,1,10,8,2,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
180,1625,215,0,21,1,2,60,1,0,10,0,2,31,1,10,0,21,4,0,21,1,11,5,1,0,4,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
200,1809,191,0,19,7,1,46,0,0,6,0,0,41,0,6,0,16,1,0,22,2,9,5,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
220,1993,217,0,27,4,0,44,3,0,8,1,0,39,4,14,0,21,5,0,18,0,16,6,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
250,2270,114,0,14,2,1,27,1,0,1,0,0,10,0,7,1,20,1,0,9,0,10,4,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280,2547,200,0,18,2,4,57,0,0,9,2,1,25,5,14,0,18,5,0,11,0,10,11,3,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2731,223,0,15,3,1,63,2,2,13,0,0,27,4,10,0,30,3,0,21,2,7,7,3,0,0,1,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,1,1,1
