"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.undiff.","Alnus","Arceuthobium","Betula","Carya","Castanea","Cornus","Corylus","Ericaceae","Fagus","Fraxinus.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Populus","Quercus","Rhus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Vitaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Cannabaceae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Epilobium","Eupatorium.type","Poaceae","Rosaceae","Rumex"
39,902,667,4,0,1,155,0,151,1,1,0,22,1,15,7,7,0,0,1,0,0,6,64,12,19,28,44,41,5,9,0,20,0,0,32,0,1,0,2,0,0,3,0,0,0,14,0,0,1,0,0
40,927,201,0,0,0,12,0,68,0,0,0,15,2,2,1,1,0,1,0,0,0,34,24,0,4,0,16,12,0,3,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,974,380,4,0,4,54,0,105,1,2,0,6,4,8,0,0,0,1,0,0,0,7,34,3,9,10,30,28,7,12,0,14,0,0,20,0,0,0,1,0,1,0,0,0,0,10,0,0,0,5,0
42,1029,441,0,0,5,7,0,181,0,2,0,1,6,11,2,1,1,0,0,3,0,13,28,3,45,5,72,30,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
43,1083,488,6,0,14,7,0,172,0,1,0,1,6,9,1,1,0,0,0,0,0,1,44,9,21,26,60,55,0,12,0,3,0,0,26,0,4,0,0,0,0,0,0,0,0,2,0,0,0,7,0
44,1138,441,8,0,8,5,4,144,1,1,0,0,2,9,3,3,0,1,1,0,0,0,46,11,42,15,56,18,0,9,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0
45,1193,464,4,0,3,21,0,133,0,0,0,17,1,8,2,0,2,6,1,0,0,43,54,2,18,6,51,38,0,6,1,0,0,0,13,0,3,0,2,0,0,5,0,0,0,15,0,0,9,0,0
46,1248,381,8,0,1,2,2,123,0,0,0,2,0,6,2,0,2,0,1,0,16,1,48,6,48,8,58,12,1,5,0,0,0,0,20,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
47,1303,1103,2,0,5,14,0,374,1,0,0,25,2,10,1,0,1,3,1,0,0,6,114,31,126,47,189,79,0,13,0,0,0,0,44,2,4,0,0,0,0,1,0,0,0,2,0,0,1,5,0
48,1486,393,3,0,2,5,0,119,0,0,0,5,2,5,1,1,0,0,0,0,12,3,32,10,54,13,72,20,0,8,0,1,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0
48.5,1599,562,5,0,4,12,0,151,0,1,0,5,2,6,4,2,2,0,0,0,3,0,62,13,72,19,106,40,0,10,0,0,0,0,36,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
50,1938,397,2,0,2,15,0,152,0,1,0,7,0,2,22,22,0,5,0,0,0,41,42,0,8,0,34,26,0,1,0,0,1,2,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
51,2164,443,3,0,7,15,0,136,0,0,0,10,0,12,4,4,0,0,3,0,0,4,49,15,21,25,35,24,1,20,0,0,0,0,29,2,5,0,0,0,0,3,0,0,0,14,1,0,0,1,0
52,2390,374,4,0,4,11,6,97,0,0,0,5,8,10,0,0,0,1,0,0,4,2,34,15,36,22,52,22,1,5,0,1,0,0,23,1,2,0,0,0,0,2,0,0,0,4,0,0,0,2,0
53,2616,181,0,0,2,5,0,54,0,1,0,3,0,2,1,1,0,0,0,0,0,0,14,5,16,8,28,15,0,6,0,0,0,0,13,0,2,0,0,0,0,0,0,1,0,1,0,0,1,2,0
55,3068,156,1,0,3,4,0,33,0,0,1,5,0,5,0,0,0,2,0,0,0,2,13,5,20,6,26,6,1,5,0,2,0,0,12,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56,3295,394,8,0,2,27,0,104,0,0,0,1,0,6,0,0,0,15,0,0,2,0,43,15,36,22,52,23,0,11,0,2,0,0,12,1,3,0,0,0,0,0,0,0,0,1,0,0,0,8,0
57,3521,292,0,0,1,33,0,128,0,1,0,4,0,2,1,1,0,5,2,0,0,0,24,2,8,6,26,23,1,8,0,1,0,0,6,0,3,0,3,0,0,0,0,0,0,1,0,0,0,2,0
58,3747,83,0,0,1,6,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,6,0,13,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
61,NA,599,4,0,4,4,0,162,0,0,0,9,14,0,44,44,0,20,0,0,0,56,62,0,1,0,80,79,0,1,0,0,0,0,9,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0
63,NA,65,0,0,0,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,11,3,16,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,NA,101,0,0,4,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,16,0,28,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
