"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Hamamelidaceae","Ilex","Juglans.cinerea","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Saxifraga","Stellaria","Thalictrum","Zea"
1,-37,0,0.0066313,0.00397878,0.00132626,0.118037135,0.00397878,0.0066313,0.157824934,0,0,0.01193634,0,0.031830239,0.00265252,0.00132626,0.00265252,0.00397878,0,0,0.00265252,0.01061008,0.00265252,0,0.054376658,0.021220159,0.197612732,0,0,0.169761273,0,0,0.051724138,0.00265252,0,0.022546419,0,0.00265252,0,0,0.01061008,0,0,0,0.00397878,0.086206897,0,0,0.0066313,0,0,0.00132626,0
3,-23,0,0.011627907,0.018087855,0.003875969,0.124031008,0.006459948,0.003875969,0.170542636,0,0.007751938,0.010335917,0,0.033591731,0.006459948,0,0.002583979,0.006459948,0,0,0.00129199,0.003875969,0,0.002583979,0.100775194,0.011627907,0.094315245,0,0,0.183462532,0.003875969,0.007751938,0.045219638,0.006459948,0,0.021963824,0.002583979,0.007751938,0,0,0.021963824,0,0,0.00129199,0,0.052971576,0.006459948,0.006459948,0.011627907,0,0,0,0
5,-7,0,0.002849003,0.010446344,0.001899335,0.065527066,0.002849003,0.007597341,0.236467236,0,0.001899335,0,0,0.041785375,0.001899335,0.001899335,0,0.004748338,0,0,0,0.022792023,0.001899335,0,0.037986705,0.018993352,0.110161443,0,0,0.220322887,0.002849003,0.001899335,0.041785375,0.002849003,0,0.062678063,0.000949668,0.004748338,0,0,0.022792023,0,0,0,0,0.051282051,0.005698006,0.001899335,0.007597341,0,0,0.000949668,0
7,4,0,0.003012048,0.008032129,0.003012048,0.076305221,0.008032129,0.014056225,0.286144578,0,0.002008032,0.00502008,0,0.031124498,0,0,0,0.002008032,0,0,0.002008032,0.015060241,0,0.004016064,0.017068273,0.012048193,0.154618474,0,0,0.162650602,0.001004016,0,0.049196787,0.00502008,0,0.031124498,0,0.009036145,0,0,0.035140562,0,0,0,0,0.054216867,0.003012048,0,0.006024096,0,0,0,0
9,13,0,0.004826255,0.008687259,0.004826255,0.069498069,0.005791506,0.032818533,0.326254826,0,0,0.001930502,0.001930502,0.02027027,0.002895753,0,0.001930502,0.008687259,0,0.001930502,0.002895753,0.02992278,0.002895753,0.001930502,0.025096525,0.005791506,0.111003861,0,0,0.155405405,0.000965251,0,0.02992278,0.007722008,0,0.052123552,0,0.005791506,0,0.001930502,0.027992278,0,0,0,0.001930502,0.033783784,0,0.001930502,0.008687259,0,0,0,0
11,43,0,0.003902439,0.014634146,0.005853659,0.063414634,0.005853659,0.050731707,0.340487805,0,0.00097561,0.003902439,0,0.024390244,0.002926829,0,0,0.003902439,0.00097561,0,0,0.015609756,0,0.003902439,0.018536585,0.006829268,0.157073171,0,0,0.117073171,0.00097561,0.002926829,0.03902439,0.00195122,0,0.030243902,0,0.003902439,0,0,0.027317073,0,0,0,0.00097561,0.035121951,0.00195122,0,0.014634146,0,0,0,0
13,90,0,0.004612546,0.005535055,0.002767528,0.063653137,0.005535055,0.031365314,0.345940959,0,0.002767528,0.004612546,0,0.025830258,0.005535055,0.004612546,0.001845018,0.008302583,0,0,0,0.007380074,0,0.007380074,0.029520295,0.012915129,0.11900369,0,0,0.138376384,0.001845018,0,0.026752768,0.001845018,0,0.042435424,0.001845018,0.004612546,0,0,0.028597786,0,0,0,0,0.045202952,0,0,0.018450185,0,0,0.000922509,0
15,137,0,0.005040323,0.008064516,0.006048387,0.070564516,0.003024194,0.043346774,0.29233871,0,0.002016129,0.003024194,0.003024194,0.035282258,0.002016129,0,0,0.005040323,0,0,0.003024194,0.017137097,0,0.001008065,0.023185484,0.009072581,0.096774194,0,0.003024194,0.165322581,0,0.002016129,0.037298387,0.003024194,0,0.052419355,0.002016129,0.008064516,0,0,0.038306452,0,0,0,0,0.037298387,0.001008065,0,0.021169355,0,0,0,0
17,184,0,0.003289474,0.01754386,0.006578947,0.082236842,0.004385965,0.031798246,0.263157895,0,0.001096491,0.002192982,0.002192982,0.037280702,0.002192982,0.002192982,0,0.006578947,0,0,0.002192982,0.013157895,0.003289474,0.002192982,0.030701754,0.010964912,0.123903509,0.001096491,0.001096491,0.1875,0,0.002192982,0.033991228,0.003289474,0,0.019736842,0,0.007675439,0,0.001096491,0.041666667,0,0.001096491,0,0,0.043859649,0,0,0.006578947,0,0,0,0
19,282,0,0,0.013937282,0.008130081,0.097560976,0.006968641,0.024390244,0.228803717,0,0,0,0,0.051103368,0.00232288,0.003484321,0,0.011614402,0,0.00232288,0,0.020905923,0.00116144,0,0.06387921,0.020905923,0.130081301,0,0,0.149825784,0,0,0.044134727,0.00116144,0,0.010452962,0,0.005807201,0,0.00116144,0.042973287,0,0,0,0,0.047619048,0.00116144,0,0.008130081,0,0,0,0
21,429,0.001251564,0.007509387,0.01126408,0.006257822,0.062578223,0.021276596,0.021276596,0.183979975,0,0,0.002503129,0.002503129,0.032540676,0.006257822,0,0,0.013767209,0,0,0,0.013767209,0.003754693,0.003754693,0.036295369,0.002503129,0.242803504,0,0,0.136420526,0.001251564,0,0.061326658,0.002503129,0,0.003754693,0,0.006257822,0,0,0.062578223,0,0,0,0,0.046307885,0,0,0.002503129,0.001251564,0,0,0
