"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Hamamelidaceae","Ilex","Juglans.cinerea","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Saxifraga","Stellaria","Thalictrum","Zea","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
1,-37,0,5,3,1,89,3,5,119,0,0,9,0,24,2,1,2,3,0,0,2,8,2,0,41,16,149,0,0,128,0,0,39,2,0,17,0,2,0,0,8,0,0,0,3,65,0,0,5,0,0,1,0,0,2,2,13,2,0,6,3,22,0
3,-23,0,9,14,3,96,5,3,132,0,6,8,0,26,5,0,2,5,0,0,1,3,0,2,78,9,73,0,0,142,3,6,35,5,0,17,2,6,0,0,17,0,0,1,0,41,5,5,9,0,0,0,0,0,5,2,2,0,0,8,0,5,2
5,-7,0,3,11,2,69,3,8,249,0,2,0,0,44,2,2,0,5,0,0,0,24,2,0,40,20,116,0,0,232,3,2,44,3,0,66,1,5,0,0,24,0,0,0,0,54,6,2,8,0,0,1,0,0,0,2,14,6,1,11,5,18,0
7,4,0,3,8,3,76,8,14,285,0,2,5,0,31,0,0,0,2,0,0,2,15,0,4,17,12,154,0,0,162,1,0,49,5,0,31,0,9,0,0,35,0,0,0,0,54,3,0,6,0,0,0,0,0,2,0,18,2,1,24,0,18,0
9,13,0,5,9,5,72,6,34,338,0,0,2,2,21,3,0,2,9,0,2,3,31,3,2,26,6,115,0,0,161,1,0,31,8,0,54,0,6,0,2,29,0,0,0,2,35,0,2,9,0,0,0,0,2,2,2,17,8,1,9,5,17,0
11,43,0,4,15,6,65,6,52,349,0,1,4,0,25,3,0,0,4,1,0,0,16,0,4,19,7,161,0,0,120,1,3,40,2,0,31,0,4,0,0,28,0,0,0,1,36,2,0,15,0,0,0,0,0,1,3,21,2,1,8,2,12,0
13,90,0,5,6,3,69,6,34,375,0,3,5,0,28,6,5,2,9,0,0,0,8,0,8,32,14,129,0,0,150,2,0,29,2,0,46,2,5,0,0,31,0,0,0,0,49,0,0,20,0,0,1,0,0,3,2,8,2,1,5,2,15,0
15,137,0,5,8,6,70,3,43,290,0,2,3,3,35,2,0,0,5,0,0,3,17,0,1,23,9,96,0,3,164,0,2,37,3,0,52,2,8,0,0,38,0,0,0,0,37,1,0,21,0,0,0,0,2,2,3,21,6,0,18,6,18,0
17,184,0,3,16,6,75,4,29,240,0,1,2,2,34,2,2,0,6,0,0,2,12,3,2,28,10,113,1,1,171,0,2,31,3,0,18,0,7,0,1,38,0,1,0,0,40,0,0,6,0,0,0,0,0,0,2,15,10,1,16,3,9,1
19,282,0,0,12,7,84,6,21,197,0,0,0,0,44,2,3,0,10,0,2,0,18,1,0,55,18,112,0,0,129,0,0,38,1,0,9,0,5,0,1,37,0,0,0,0,41,1,0,7,0,0,0,0,0,0,3,30,5,0,7,3,11,0
