"sample.depths","sample.ages","upland.sum","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Picea.mariana.type","Pinus.undiff.","Quercus","Juniperus.type","Amaranthaceae","Poaceae","Corylus.cornuta","Myrica.gale","cf..Oxyria.digyna","Pinus.banksiana.type","Pinus.strobus","Salix.herbacea.type","Salix.vestita.type","Picea.undiff.","Salix.undiff.","Alnus.incana.type","Ostrya.Carpinus","Rosaceae.undiff.","Juniperus.communis.Thuja.occidentalis.type","Ranunculaceae.undiff.","Fagus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Abies.balsamea","Juglans.cinerea","Larix","Populus.tremuloides.type","Taxus","Carya.ovata","Caryophyllaceae","Fraxinus.nigra.type","Picea.glauca.type","Brassicaceae","Fabaceae.undiff.","Fraxinus.pennsylvanica.type","Picea.rubens.type","Thalictrum","Rhamnus.alnifolia.R..frangula","Onagraceae","Rubus.chamaemorus","Saxifraga.cernua.type","Urticaceae","Acer.saccharum","Rumex.type","Oxytropis.maydelliana.type","Tilia","Saxifraga.oppositifolia.type","Polygonum.viviparum","Saxifragaceae.undiff.","Acer.spicatum","Koenigia.islandica"
0,-1,544,85,1,7,240,102,13,32,3,1,2,1,11,1,1,1,9,1,2,2,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,411,621,107,1,6,263,87,24,47,11,0,2,0,12,1,0,0,11,1,0,0,31,9,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1027,663,113,3,14,239,152,11,74,4,0,1,1,8,0,1,0,2,0,0,1,33,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1438,559,101,0,7,218,89,19,41,7,0,1,0,11,0,2,1,18,1,0,1,27,7,3,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1691,488,81,2,3,224,67,10,33,3,0,4,0,9,2,1,0,12,0,0,0,29,3,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1810,542,115,0,9,179,77,13,74,8,1,3,0,3,0,1,0,14,2,1,1,28,9,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1990,495,78,1,6,230,56,17,56,2,0,1,0,6,0,0,0,14,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2170,569,92,1,0,262,84,13,38,5,0,4,1,8,1,0,0,10,3,1,1,36,3,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2289,479,95,3,6,182,63,14,63,4,0,2,0,5,0,0,0,21,0,0,0,16,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2409,533,113,1,7,236,58,18,31,6,0,2,0,5,1,1,0,12,1,0,0,25,5,4,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2589,643,131,3,7,258,96,18,65,6,0,4,0,4,0,0,0,12,0,0,0,27,5,0,0,0,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2768,645,147,1,12,285,74,18,57,5,0,3,0,2,2,0,0,8,1,1,0,23,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2888,819,208,1,7,324,93,20,70,7,1,1,1,10,0,0,0,11,2,0,0,39,8,0,0,2,0,1,0,10,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3008,457,128,0,5,168,53,13,28,3,0,3,0,9,0,1,0,11,1,0,0,15,8,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3187,526,147,3,3,176,59,18,62,6,0,4,0,6,0,0,0,13,1,0,0,19,3,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3367,586,169,2,5,214,56,19,65,3,0,1,1,11,1,0,0,3,1,0,0,30,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3487,679,231,3,7,261,58,33,42,2,2,0,0,3,0,1,0,13,0,0,0,13,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3786,764,257,1,4,288,74,21,42,5,0,8,0,9,0,1,0,12,1,0,0,18,3,7,0,0,1,1,0,1,0,0,0,4,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3950,490,151,0,5,193,40,17,37,7,1,1,1,5,0,1,0,7,1,1,0,16,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
