"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Fraxinus.americana.type","Carya.ovata","Myrica.gale","Picea.cf..P..glauca","Alnus.viridis.type","Populus.tremuloides.type","Tilia","Rosaceae.undiff.","Salix.undiff.","Caryophyllaceae","Taxus","Thalictrum","Amaranthaceae","Acer.saccharinum","Juglans.cinerea","Corylus.cornuta","Viburnum.nudum","Acer.pensylvanicum","Acer.spicatum","Ambrosia.type","Sambucus","Prunus.virginiana","Viburnum.edule","Juglans.nigra","Pinus.resinosa.type","Urtica.type","Morus.rubra.type","Viburnum.lentago","Impatiens","Brassicaceae","Populus.balsamifera.type","Rubiaceae","Potentilla.palustris.type","Prunus.pensylvanica","Celtis.occidentalis","Liliaceae","Viburnum.undiff.","Rhus.typhina","Rhamnus.alnifolia.R..frangula","Prunus.undiff.","Salix.vestita.type","Apiaceae","Onagraceae","Salix.herbacea.type","Cornus","Shepherdia.canadensis","Fabaceae","cf..Oxyria.digyna","Polygonaceae.undiff."
0,0,0.00410677618069815,0.0143737166324435,0.00205338809034908,0.396303901437372,0.00616016427104723,0.00205338809034908,0.0328542094455852,0.0082135523613963,0.00410677618069815,0.00410677618069815,0.00616016427104723,0.125256673511294,0.0082135523613963,0.0246406570841889,0.00205338809034908,0.0143737166324435,0.0143737166324435,0.0164271047227926,0.0287474332648871,0.00205338809034908,0.0123203285420945,0.00205338809034908,0.0082135523613963,0.0102669404517454,0.0369609856262834,0.0184804928131417,0.147843942505133,0.026694045174538,0.0205338809034908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,186,0.00209205020920502,0.0125523012552301,0.00209205020920502,0.439330543933054,0.00209205020920502,0.00209205020920502,0.0460251046025105,0.0125523012552301,0.00209205020920502,0.0125523012552301,0.00418410041841004,0.092050209205021,0.0292887029288703,0.0439330543933054,0,0,0.0230125523012552,0.0230125523012552,0,0.00836820083682008,0.0230125523012552,0,0.00209205020920502,0.0230125523012552,0.0606694560669456,0,0.0146443514644351,0.0690376569037657,0.0230125523012552,0.00209205020920502,0.0104602510460251,0.00209205020920502,0.0125523012552301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,387,0.0105042016806723,0.0315126050420168,0,0.300420168067227,0.00210084033613445,0.00420168067226891,0.0630252100840336,0.00630252100840336,0.0105042016806723,0,0.0168067226890756,0.163865546218487,0.0126050420168067,0.0420168067226891,0,0,0.0126050420168067,0.00630252100840336,0,0.0126050420168067,0.0252100840336134,0,0.0105042016806723,0.0210084033613445,0.0273109243697479,0.00630252100840336,0.0798319327731092,0.0756302521008403,0.023109243697479,0,0.00630252100840336,0.0105042016806723,0,0.00210084033613445,0.00210084033613445,0.00630252100840336,0.00210084033613445,0.00630252100840336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,573,0.0102880658436214,0.0205761316872428,0.00205761316872428,0.364197530864198,0,0.00205761316872428,0.119341563786008,0.00617283950617284,0.00823045267489712,0.00411522633744856,0.00617283950617284,0.0637860082304527,0.00823045267489712,0.0493827160493827,0,0.00205761316872428,0.0205761316872428,0.01440329218107,0.00205761316872428,0.00823045267489712,0.0288065843621399,0.00411522633744856,0.00617283950617284,0.0267489711934156,0.0390946502057613,0,0.037037037037037,0.11522633744856,0.0102880658436214,0,0.00205761316872428,0.00205761316872428,0,0.00205761316872428,0,0,0,0,0.00411522633744856,0.00205761316872428,0.00205761316872428,0.00411522633744856,0.00205761316872428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,774,0.00608519269776876,0.0101419878296146,0,0.413793103448276,0.00405679513184584,0,0.105476673427992,0.0101419878296146,0.0101419878296146,0.00202839756592292,0.0101419878296146,0.0344827586206897,0.00811359026369168,0.0182555780933063,0,0,0.0182555780933063,0.00811359026369168,0.00202839756592292,0.00608519269776876,0.0405679513184584,0,0.00405679513184584,0.00811359026369168,0.026369168356998,0,0.123732251521298,0.103448275862069,0.0121703853955375,0,0,0,0,0.00202839756592292,0,0.00202839756592292,0,0,0,0,0,0,0,0.00202839756592292,0.00405679513184584,0.00405679513184584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,960,0,0.02,0,0.347692307692308,0.00461538461538462,0,0.0815384615384615,0.0169230769230769,0.00307692307692308,0.00307692307692308,0.00615384615384615,0.0107692307692308,0.06,0.0276923076923077,0,0.00153846153846154,0.0153846153846154,0.00461538461538462,0,0.00153846153846154,0.0338461538461538,0,0.00153846153846154,0.0169230769230769,0.0661538461538462,0,0.130769230769231,0.115384615384615,0.00769230769230769,0,0,0.00153846153846154,0,0.00461538461538462,0.00307692307692308,0.00307692307692308,0.00153846153846154,0,0,0.00307692307692308,0,0,0,0.00153846153846154,0.00307692307692308,0.00153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1162,0.00673400673400673,0.0101010101010101,0.00336700336700337,0.398989898989899,0.00168350168350168,0.00168350168350168,0.0824915824915825,0.0134680134680135,0.00673400673400673,0.00673400673400673,0.00505050505050505,0.0151515151515152,0.0538720538720539,0.0269360269360269,0,0,0.0286195286195286,0.0134680134680135,0,0.00673400673400673,0.00841750841750842,0.00336700336700337,0.00336700336700337,0.00841750841750842,0.0942760942760943,0.00336700336700337,0.0942760942760943,0.0740740740740741,0.00336700336700337,0,0,0.00168350168350168,0,0.00336700336700337,0.00505050505050505,0.00336700336700337,0.00168350168350168,0,0,0.00168350168350168,0,0,0.00168350168350168,0,0,0,0.00336700336700337,0.00168350168350168,0.00168350168350168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1347,0,0.0122377622377622,0.0034965034965035,0.445804195804196,0.0034965034965035,0.006993006993007,0.0734265734265734,0.00524475524475524,0.00174825174825175,0.0034965034965035,0.0034965034965035,0.0454545454545455,0.0559440559440559,0.0244755244755245,0,0,0.00874125874125874,0.020979020979021,0.00174825174825175,0.0104895104895105,0.0192307692307692,0,0.00524475524475524,0.006993006993007,0.0961538461538462,0,0.034965034965035,0.0734265734265734,0.013986013986014,0,0.00174825174825175,0.0034965034965035,0.00174825174825175,0,0.0034965034965035,0,0,0,0,0.00174825174825175,0,0.00174825174825175,0.00174825174825175,0,0,0,0,0,0,0.00174825174825175,0.00174825174825175,0.0034965034965035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1549,0.00619834710743802,0.0185950413223141,0.00206611570247934,0.336776859504132,0.00206611570247934,0,0.140495867768595,0.0144628099173554,0.012396694214876,0,0.0144628099173554,0.0785123966942149,0.0247933884297521,0.0599173553719008,0,0,0.0103305785123967,0.00619834710743802,0.00206611570247934,0.00206611570247934,0.0413223140495868,0,0.00413223140495868,0.0351239669421488,0.0578512396694215,0,0.00826446280991736,0.0847107438016529,0.0247933884297521,0,0,0.00206611570247934,0,0,0.00413223140495868,0.00206611570247934,0,0.00206611570247934,0,0,0,0,0,0.00206611570247934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1735,0.00429184549356223,0.0343347639484979,0.00214592274678112,0.377682403433476,0.00643776824034335,0.00214592274678112,0.122317596566524,0.0171673819742489,0.0171673819742489,0,0.0150214592274678,0.00858369098712446,0.0128755364806867,0.036480686695279,0,0.00214592274678112,0.0171673819742489,0.0278969957081545,0,0.00858369098712446,0.0407725321888412,0.00214592274678112,0.00214592274678112,0.00643776824034335,0.105150214592275,0,0.0150214592274678,0.0665236051502146,0.00643776824034335,0,0,0.00214592274678112,0,0.00858369098712446,0.01931330472103,0,0,0.00214592274678112,0,0,0,0,0,0.00214592274678112,0,0.00858369098712446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1936,0.00117233294255569,0.0082063305978898,0.00117233294255569,0.36694021101993,0.00351699882766706,0.0082063305978898,0.117233294255569,0.0269636576787808,0.00351699882766706,0.00351699882766706,0.0082063305978898,0.0117233294255569,0.00117233294255569,0.0363423212192263,0,0,0.0164126611957796,0.0082063305978898,0,0.00351699882766706,0.0375146541617819,0,0.00468933177022274,0.0164126611957796,0.0773739742086753,0,0.05978898007034,0.153575615474795,0.00351699882766706,0,0,0,0,0.00234466588511137,0.00351699882766706,0.00117233294255569,0.00117233294255569,0,0,0.00468933177022274,0,0,0,0.00351699882766706,0.00117233294255569,0,0.00234466588511137,0,0.00117233294255569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2122,0.0041407867494824,0.010351966873706,0.0020703933747412,0.492753623188406,0.0041407867494824,0,0.0434782608695652,0.020703933747412,0.0062111801242236,0.0124223602484472,0.0041407867494824,0.0186335403726708,0.0331262939958592,0.020703933747412,0,0.0041407867494824,0.0144927536231884,0.031055900621118,0.0020703933747412,0.0041407867494824,0.0248447204968944,0,0,0.0082815734989648,0.0579710144927536,0,0.0434782608695652,0.111801242236025,0.0082815734989648,0,0,0.0020703933747412,0,0,0.0020703933747412,0.0020703933747412,0,0.0020703933747412,0,0.0020703933747412,0,0,0,0.0041407867494824,0,0,0,0.0020703933747412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2323,0.00569259962049336,0.00759013282732448,0,0.282732447817837,0,0.00189753320683112,0.110056925996205,0.0170777988614801,0.0132827324478178,0.00189753320683112,0.00189753320683112,0.0246679316888046,0.00569259962049336,0.0265654648956357,0,0,0.0227703984819734,0.0398481973434535,0.00379506641366224,0.00189753320683112,0.0189753320683112,0.00189753320683112,0,0.00759013282732448,0.0398481973434535,0,0.206831119544592,0.130929791271347,0.0113851992409867,0,0.00379506641366224,0,0,0,0,0,0.00189753320683112,0,0,0,0.00189753320683112,0,0,0.00189753320683112,0.00189753320683112,0.00189753320683112,0,0,0,0,0,0,0.00189753320683112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2509,0.00216450216450216,0.0216450216450216,0.00432900432900433,0.411255411255411,0,0,0.0930735930735931,0.0173160173160173,0,0.00432900432900433,0.0108225108225108,0.00432900432900433,0.038961038961039,0.0194805194805195,0,0.00216450216450216,0.012987012987013,0.0173160173160173,0.00216450216450216,0.0151515151515152,0.0238095238095238,0,0,0.0064935064935065,0.0887445887445888,0,0.0670995670995671,0.0995670995670996,0.0108225108225108,0.00216450216450216,0.0064935064935065,0.00216450216450216,0,0.00216450216450216,0,0,0,0,0,0.00865800865800866,0,0,0.00216450216450216,0,0,0,0,0,0,0,0,0,0,0.00216450216450216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2710,0.00316455696202532,0.0253164556962025,0.00632911392405063,0.401898734177215,0.00158227848101266,0,0.0886075949367089,0.0110759493670886,0.0079113924050633,0.00632911392405063,0.00316455696202532,0.00316455696202532,0.0158227848101266,0.0268987341772152,0,0,0.0126582278481013,0.0300632911392405,0.00158227848101266,0.00158227848101266,0.0268987341772152,0.00158227848101266,0.00474683544303797,0.00632911392405063,0.102848101265823,0,0.0933544303797468,0.0981012658227848,0.00316455696202532,0,0,0,0,0,0.00158227848101266,0.00158227848101266,0.00158227848101266,0,0,0.00316455696202532,0.00316455696202532,0,0,0,0,0,0.00158227848101266,0,0.00316455696202532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2912,0.00392927308447937,0.0176817288801572,0,0.385068762278978,0.00392927308447937,0.00196463654223969,0.0609037328094303,0.0137524557956778,0.00589390962671906,0.00785854616895874,0.00392927308447937,0.0137524557956778,0.0726915520628684,0.031434184675835,0,0,0.0137524557956778,0.0353634577603143,0,0.00196463654223969,0.0235756385068762,0,0.00196463654223969,0.0294695481335953,0.137524557956778,0,0.031434184675835,0.0569744597249509,0.00785854616895874,0,0,0.00392927308447937,0,0.00785854616895874,0.0117878192534381,0,0,0.00196463654223969,0,0.00589390962671906,0,0,0,0,0.00392927308447937,0,0,0,0,0,0,0,0,0,0.00196463654223969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3098,0.0103270223752151,0.0103270223752151,0.00172117039586919,0.418244406196213,0.00688468158347676,0.00172117039586919,0.0516351118760757,0.0240963855421687,0.00688468158347676,0.00688468158347676,0.00172117039586919,0.0189328743545611,0.0172117039586919,0.0309810671256454,0,0,0.0223752151462995,0.0103270223752151,0.00172117039586919,0,0.0206540447504303,0,0,0.00516351118760757,0.142857142857143,0,0.14802065404475,0.0189328743545611,0.0103270223752151,0,0.00516351118760757,0,0,0.00344234079173838,0,0,0.00172117039586919,0,0,0,0,0,0,0.00172117039586919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
