"sample.depths","sample.ages","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Abies","Larix","Pinus.strobus","Pinus.banksiana.P..resinosa","Pinus.undiff.","Betula.greater.than.20.microm","Betula.less.than.20.microm","Populus.undiff.","Populus.tremuloides.type","Fraxinus.nigra","Fraxinus.pennsylvanica.type","Quercus","Ulmus","Ostrya.Carpinus","Acer.undiff.","Acer.rubrum.type","Acer.negundo.type","Acer.saccharum.type","Celtis","Juglans.nigra","Juglans.cinerea","Salix","Shepherdia.canadensis","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Cornus.canadensis","Cornus.sericea.type","Corylus","Juniperus.Thuja","Ericaceae","Myrica","Tilia","Morus.rubra","Dryas","Poaceae","Ambrosia.type","Artemisia","Carya","Eupatorium","Polygonum.undiff.","Polygonum.aviculare.type","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Apiaceae","Brassicaceae","Chenopodiineae.undiff.","Iva.undiff.","Iva.xanthifolia","Dalea.purpurea","Platanus","Rumex","Sarcobatus.vermiculatus","Thalictrum","Urtica","Humulus","Cyperaceae.undiff."
1,64,0.06235012,0.035971223,0.151079137,0.004796163,0.002398082,0.083932854,0.151079137,0.282973621,0.055155875,0,0.019184652,0,0,0,0.023980815,0,0.002398082,0,0,0,0,0,0,0,0.007194245,0,0.009592326,0.067146283,0,0,0.009592326,0.007194245,0,0,0,0,0,0.016786571,0,0,0,0.002398082,0,0,0,0,0,0,0.004796163,0,0,0,0,0,0,0,0,0,0
17,1911,0.064377682,0.017167382,0.128755365,0,0.010729614,0.107296137,0.152360515,0.306866953,0.057939914,0,0.008583691,0,0,0,0.004291845,0,0.006437768,0,0,0,0,0,0,0,0.015021459,0,0.008583691,0.045064378,0,0,0.012875536,0,0,0,0,0,0,0.032188841,0.004291845,0.002145923,0,0.002145923,0,0,0,0,0,0,0.010729614,0.002145923,0,0,0,0,0,0,0,0,0
37,3078,0.034965035,0.022727273,0.071678322,0,0.026223776,0.120629371,0.141608392,0.255244755,0.057692308,0.001748252,0.005244755,0,0.001748252,0,0.024475524,0.005244755,0,0,0,0,0,0,0,0,0.034965035,0,0.038461538,0.052447552,0,0,0.008741259,0.003496503,0,0,0,0,0,0.019230769,0.013986014,0.013986014,0,0,0,0,0.012237762,0.003496503,0,0,0.026223776,0,0,0,0,0,0.001748252,0,0,0,0.001748252
57,3757,0.009090909,0.029545455,0.034090909,0,0.009090909,0.140909091,0.172727273,0.465909091,0.022727273,0,0.004545455,0,0,0,0.011363636,0,0.002272727,0,0,0,0,0,0,0,0.018181818,0,0,0.022727273,0,0,0.002272727,0,0,0,0,0,0,0.011363636,0.015909091,0.004545455,0,0,0,0,0.006818182,0,0,0.002272727,0.011363636,0,0,0,0,0,0.002272727,0,0,0,0
77,4436,0.018083183,0,0.014466546,0,0.003616637,0.142857143,0.164556962,0.314647378,0.070524412,0.001808318,0.01084991,0,0,0,0.025316456,0,0.01084991,0,0,0,0,0,0,0,0.028933092,0,0.009041591,0.043399638,0.003616637,0,0.016274864,0.007233273,0,0,0,0,0,0.048824593,0.028933092,0.003616637,0,0,0,0,0.005424955,0,0,0,0.027124774,0,0,0,0,0,0,0,0,0,0
97,5114,0,0.001953125,0.013671875,0,0.001953125,0.095703125,0.115234375,0.443359375,0.021484375,0,0.005859375,0,0,0,0.06640625,0.009765625,0,0,0,0,0,0,0,0,0.013671875,0,0,0.02734375,0,0,0.001953125,0.0078125,0,0,0,0,0,0.048828125,0.052734375,0.017578125,0,0,0,0,0.013671875,0,0,0,0.041015625,0,0,0,0,0,0,0,0,0,0
117,5793,0.00408998,0.010224949,0.012269939,0,0.006134969,0.083844581,0.145194274,0.480572597,0.018404908,0,0.00408998,0,0.00204499,0,0.034764826,0.010224949,0.00204499,0,0,0,0,0,0,0,0.022494888,0,0,0.024539877,0,0,0.008179959,0.008179959,0,0,0,0,0,0.024539877,0.042944785,0.014314928,0,0,0,0,0.00408998,0,0,0,0.028629857,0,0,0,0,0,0.00204499,0,0,0,0.006134969
137,6472,0.011627907,0,0.004983389,0.00166113,0.003322259,0.151162791,0.146179402,0.244186047,0.043189369,0,0.003322259,0,0,0,0.013289037,0.003322259,0.004983389,0,0,0,0,0,0,0,0.031561462,0,0.003322259,0.029900332,0,0.00166113,0.008305648,0.021594684,0.00166113,0,0,0,0,0.048172757,0.112956811,0.016611296,0,0,0,0,0.013289037,0,0,0,0.071428571,0,0.003322259,0,0,0,0,0,0,0,0.004983389
157,7208,0.013157895,0.007518797,0.016917293,0,0.001879699,0.127819549,0.157894737,0.385338346,0.043233083,0,0.003759398,0,0,0,0.009398496,0.003759398,0,0,0,0,0,0,0,0,0.016917293,0,0.001879699,0.020676692,0,0,0.003759398,0.009398496,0.001879699,0,0,0,0,0.02443609,0.060150376,0.02443609,0,0,0,0,0.011278195,0,0,0,0.046992481,0,0,0,0,0,0.001879699,0,0,0,0.005639098
177,7959,0.005474453,0.012773723,0.020072993,0,0.003649635,0.104014599,0.197080292,0.343065693,0.027372263,0,0.003649635,0,0,0,0.009124088,0.003649635,0.001824818,0,0,0,0,0,0,0,0.023722628,0,0.012773723,0,0,0,0.003649635,0.016423358,0,0,0,0,0,0.018248175,0.091240876,0.00729927,0,0,0,0,0.02189781,0.001824818,0,0,0.067518248,0,0,0,0,0,0,0,0,0,0.003649635
197,8710,0.056198347,0.003305785,0.011570248,0,0.008264463,0.140495868,0.234710744,0.33553719,0.038016529,0.00661157,0.003305785,0,0,0,0.00661157,0,0,0,0,0,0,0,0,0,0.041322314,0,0,0,0,0.004958678,0.001652893,0.01322314,0.001652893,0,0,0,0,0.009917355,0.039669421,0.003305785,0,0,0,0,0.004958678,0,0,0,0.031404959,0,0,0,0,0,0,0,0,0,0.003305785
217,9460,0.155357143,0.019642857,0.069642857,0,0.008928571,0.030357143,0.226785714,0.141071429,0.030357143,0.001785714,0.035714286,0,0,0,0.0375,0.041071429,0.0125,0,0,0,0,0,0,0,0.05,0,0.001785714,0.005357143,0,0,0.008928571,0.017857143,0,0,0,0,0,0.0125,0.048214286,0.003571429,0,0,0,0,0.001785714,0,0,0,0.0375,0,0,0,0,0,0.001785714,0,0,0,0
237,NA,0.027272727,0.025454545,0.087272727,0,0.018181818,0.007272727,0.070909091,0.169090909,0.085454545,0.010909091,0.025454545,0.001818182,0.001818182,0,0.078181818,0.169090909,0,0.001818182,0,0,0,0,0,0,0.034545455,0.001818182,0,0,0,0,0.032727273,0.04,0,0,0,0,0,0.010909091,0.027272727,0.010909091,0.003636364,0,0,0,0.010909091,0.001818182,0,0,0.038181818,0,0,0,0,0,0,0,0.005454545,0,0.001818182
