"sample.depths","sample.ages","Ambrosia.type","Betula","Carya","Castanea","Fagus","Poaceae.undiff.","Herbs.undiff.","Liquidambar","Picea","Quercus","Rumex","Ulmus","Alnus","Acer","Fraxinus","Myrica","Pinus","Plantago","Rosaceae","Tsuga","Juglans","Nyssa","Salix","Amaranthaceae","Corylus","Cupressaceae","Cerealia","Platanus","Artemisia","Ostrya.Carpinus","Tilia","Asteraceae.subf..Asteroideae.undiff."
1,-17,0.055350553505535,0.125461254612546,0.029520295202952,0.003690036900369,0.022140221402214,0.059040590405904,0.051660516605166,0.003690036900369,0.003690036900369,0.328413284132841,0.014760147601476,0.003690036900369,0.166051660516605,0.011070110701107,0.022140221402214,0.022140221402214,0.047970479704797,0.003690036900369,0.025830258302583,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-4,0.0648464163822526,0.170648464163823,0.0136518771331058,0.0102389078498294,0.0136518771331058,0.10580204778157,0.0443686006825939,0,0.00341296928327645,0.276450511945392,0.0170648464163823,0.0102389078498294,0.122866894197952,0.0136518771331058,0.0136518771331058,0.0273037542662116,0.0546075085324232,0.0068259385665529,0.0204778156996587,0.0068259385665529,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0
9,9,0.0827586206896552,0.103448275862069,0.0241379310344828,0.0310344827586207,0.0344827586206897,0.0793103448275862,0.0413793103448276,0,0,0.268965517241379,0.0344827586206897,0.0103448275862069,0.144827586206897,0.0137931034482759,0.0172413793103448,0.0241379310344828,0.0517241379310345,0.00689655172413793,0.00689655172413793,0.00689655172413793,0,0.00689655172413793,0.00344827586206897,0.00689655172413793,0,0,0,0,0,0,0,0
13,21,0.0659722222222222,0.0694444444444444,0.0277777777777778,0.00694444444444444,0.0277777777777778,0.0868055555555556,0.03125,0,0.0173611111111111,0.284722222222222,0.0625,0.0138888888888889,0.170138888888889,0.00694444444444444,0,0.0104166666666667,0.0590277777777778,0.00694444444444444,0.00694444444444444,0.0104166666666667,0,0.00694444444444444,0,0,0.0138888888888889,0.0104166666666667,0.00347222222222222,0,0,0,0,0
17,34,0.0698529411764706,0.0735294117647059,0.00735294117647059,0.00367647058823529,0.0330882352941176,0.099264705882353,0.0551470588235294,0,0.00735294117647059,0.257352941176471,0.0698529411764706,0.00367647058823529,0.150735294117647,0.0147058823529412,0.0110294117647059,0.0330882352941176,0.0625,0.00735294117647059,0,0.0220588235294118,0,0,0.00735294117647059,0,0.00367647058823529,0.00367647058823529,0,0.00367647058823529,0,0,0,0
21,47,0.0912162162162162,0.0743243243243243,0.0135135135135135,0.00675675675675676,0.0168918918918919,0.0675675675675676,0.0574324324324324,0.00337837837837838,0.00337837837837838,0.283783783783784,0.0810810810810811,0.00337837837837838,0.209459459459459,0.00337837837837838,0.00675675675675676,0.0168918918918919,0.0304054054054054,0,0.00675675675675676,0.00675675675675676,0,0.00675675675675676,0.00337837837837838,0,0.00337837837837838,0.00337837837837838,0,0,0,0,0,0
25,59,0.0721649484536082,0.0652920962199313,0.0206185567010309,0.00687285223367698,0.013745704467354,0.13745704467354,0.0549828178694158,0.00343642611683849,0.00687285223367698,0.29553264604811,0.0721649484536082,0,0.127147766323024,0.00687285223367698,0.00687285223367698,0.0206185567010309,0.0549828178694158,0.00687285223367698,0,0.0103092783505155,0,0.0103092783505155,0,0,0,0,0,0.00343642611683849,0.00343642611683849,0,0,0
29,72,0.090909090909091,0.101010101010101,0.0235690235690236,0.00336700336700337,0,0.101010101010101,0.0437710437710438,0,0,0.235690235690236,0.0673400673400673,0.00673400673400673,0.175084175084175,0.0202020202020202,0.00673400673400673,0.0134680134680135,0.0606060606060606,0,0.0168350168350168,0.0168350168350168,0,0.00336700336700337,0,0,0,0,0,0.0101010101010101,0,0.00336700336700337,0,0
33,85,0.050179211469534,0.111111111111111,0.021505376344086,0.007168458781362,0.021505376344086,0.164874551971326,0.014336917562724,0.003584229390681,0.010752688172043,0.254480286738351,0.064516129032258,0,0.0931899641577061,0.021505376344086,0.003584229390681,0.021505376344086,0.078853046594982,0,0.017921146953405,0.021505376344086,0.010752688172043,0,0,0,0,0,0.003584229390681,0,0,0.003584229390681,0,0
37,98,0.0618556701030928,0.0584192439862543,0.0240549828178694,0.0171821305841924,0.0171821305841924,0.130584192439863,0.0378006872852234,0,0.00687285223367698,0.243986254295533,0.0756013745704467,0.00687285223367698,0.209621993127148,0.0171821305841924,0,0.00343642611683849,0.0515463917525773,0,0.0171821305841924,0.0103092783505155,0,0.00687285223367698,0,0,0,0,0,0.00343642611683849,0,0,0,0
41,110,0.0491228070175439,0.0842105263157895,0.0245614035087719,0.0175438596491228,0.0421052631578947,0.0701754385964912,0.0315789473684211,0,0,0.350877192982456,0.0842105263157895,0,0.101754385964912,0.0105263157894737,0.0105263157894737,0.0140350877192982,0.056140350877193,0.00350877192982456,0.0105263157894737,0.0175438596491228,0,0.00350877192982456,0,0.00701754385964912,0,0,0,0.00350877192982456,0.00350877192982456,0.00350877192982456,0,0
43,117,0.0575221238938053,0.079646017699115,0.0309734513274336,0.0088495575221239,0.0176991150442478,0.0929203539823009,0.0221238938053097,0,0,0.367256637168142,0.0486725663716814,0,0.0929203539823009,0.0353982300884956,0.00442477876106195,0,0.084070796460177,0,0,0.0353982300884956,0.00442477876106195,0.00442477876106195,0,0,0,0,0,0.0088495575221239,0,0.00442477876106195,0,0
45,123,0.0617760617760618,0.0501930501930502,0.0193050193050193,0.0115830115830116,0.0424710424710425,0.084942084942085,0.0154440154440154,0,0,0.386100386100386,0.0888030888030888,0,0.0772200772200772,0.00772200772200772,0.00772200772200772,0,0.108108108108108,0,0,0.00772200772200772,0.00772200772200772,0,0,0.00386100386100386,0,0,0,0.00386100386100386,0.00772200772200772,0.00386100386100386,0.00386100386100386,0
47,130,0.0120481927710843,0.072289156626506,0.0240963855421687,0.0240963855421687,0.0481927710843374,0.036144578313253,0.0602409638554217,0,0,0.325301204819277,0,0,0.120481927710843,0.0240963855421687,0.036144578313253,0.0120481927710843,0.0963855421686747,0,0,0.0963855421686747,0,0,0,0,0,0,0,0,0,0.0120481927710843,0,0
49,136,0.0446096654275093,0.066914498141264,0.0297397769516729,0.00371747211895911,0.0297397769516729,0.0966542750929368,0.0260223048327138,0,0.00371747211895911,0.368029739776952,0.0408921933085502,0,0.0855018587360595,0.00743494423791822,0.0148698884758364,0,0.107806691449814,0.00371747211895911,0,0.0260223048327138,0,0.0223048327137546,0.00743494423791822,0,0.00743494423791822,0,0,0.00371747211895911,0,0,0.00371747211895911,0
