"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Betula..small.","Betula.undiff.","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Rumex","Thalictrum"
12,982,0.014652015,0.003663004,0.054945055,0,0,0.3003663,0,0,0,0,0.003663004,0.003663004,0.010989011,0.014652015,0.003663004,0,0,0.241758242,0,0.065934066,0,0.007326007,0.018315018,0,0,0,0.018315018,0,0.010989011,0.014652015,0,0,0.025641026,0,0,0,0.054945055,0.117216117,0.014652015,0,0
14,1153,0.020689655,0.003448276,0.034482759,0,0,0.351724138,0,0,0,0.010344828,0.010344828,0,0,0.010344828,0,0,0,0.324137931,0.003448276,0.068965517,0,0,0.003448276,0,0,0,0.044827586,0.003448276,0.013793103,0.013793103,0,0,0,0.006896552,0,0,0.020689655,0.034482759,0.010344828,0,0.010344828
16,1324,0.03003003,0.012012012,0.045045045,0,0,0.498498498,0.003003003,0.003003003,0,0,0.015015015,0,0,0.006006006,0,0,0,0.114114114,0.003003003,0.15015015,0.003003003,0.003003003,0.012012012,0,0,0,0.048048048,0.003003003,0,0.006006006,0,0,0,0.003003003,0,0,0.015015015,0,0.027027027,0,0
17,1410,0.01910828,0.012738854,0.060509554,0,0,0.522292994,0,0,0,0.003184713,0.012738854,0.006369427,0,0.006369427,0.003184713,0,0.003184713,0.191082803,0,0.076433121,0,0,0.006369427,0,0,0,0.012738854,0,0.006369427,0.003184713,0.006369427,0,0,0,0,0,0.012738854,0.006369427,0.02866242,0,0
18,1496,0,0,0.008695652,0,0,0.771014493,0,0,0,0.002898551,0.005797101,0.002898551,0,0.002898551,0,0,0,0.107246377,0,0.04057971,0,0,0.005797101,0,0,0,0.026086957,0,0,0,0,0,0,0,0,0,0.011594203,0,0.014492754,0,0
19,1581,0.025,0.00625,0.040625,0,0,0.525,0,0,0,0,0,0,0.00625,0.0125,0,0,0,0.153125,0,0.0625,0.003125,0,0,0,0,0,0.0375,0.003125,0.009375,0.003125,0.003125,0.003125,0.015625,0,0,0,0.021875,0.053125,0.009375,0.00625,0
20,1667,0.015748031,0.019685039,0.047244094,0,0,0.480314961,0,0,0,0.003937008,0,0,0.003937008,0,0.007874016,0,0.007874016,0.224409449,0,0.047244094,0,0,0.015748031,0,0.007874016,0,0.023622047,0.003937008,0,0.003937008,0,0,0.015748031,0,0,0,0.023622047,0.035433071,0.011811024,0,0
21,1753,0.034246575,0,0.020547945,0,0,0.506849315,0,0,0.006849315,0,0.01369863,0,0,0,0,0,0,0.232876712,0,0.109589041,0,0.01369863,0.006849315,0,0,0,0.02739726,0,0.01369863,0,0,0,0,0,0,0,0,0,0.01369863,0,0
22,1838,0.050420168,0.008403361,0.075630252,0,0,0.478991597,0,0,0,0,0.008403361,0,0,0.008403361,0,0,0,0.18487395,0,0.092436975,0,0,0.050420168,0,0,0,0.016806723,0,0.008403361,0,0,0,0,0,0,0,0.008403361,0.008403361,0,0,0
23,1924,0.010309278,0.010309278,0.06185567,0,0,0.515463918,0,0,0,0,0.010309278,0,0,0,0,0,0,0.216494845,0,0.041237113,0.015463918,0,0.015463918,0,0,0,0.025773196,0.005154639,0.015463918,0,0,0,0,0,0,0,0.030927835,0.025773196,0,0,0
