"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Ericaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Tsuga","Ulmus","Alnus","Acer","Populus","Poaceae","Plantago","Cyperaceae","Fraxinus","Asteraceae.subf..Asteroideae.undiff.","Aquifoliaceae","Tilia","Larix","Salix","Juglans","Rosaceae","Myrica","Pinus.undiff.","Rumex","Thalictrum","Asteraceae.subf..Cichorioideae","Cupressaceae","Shepherdia","Sarcobatus.vermiculatus"
0,0,269,9,12,1,138,1,1,1,1,4,8,2,34,13,4,5,3,13,5,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,100,263,9,7,1,127,0,0,1,0,7,9,1,38,13,3,3,2,3,19,6,0,9,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,200,369,13,3,0,177,1,0,0,2,8,4,1,77,18,23,5,14,2,12,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,644,303,10,1,2,162,0,0,0,0,7,5,0,42,26,13,5,9,1,12,1,0,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1089,235,6,0,3,135,0,0,0,0,10,9,3,19,22,2,2,7,1,8,1,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,1533,201,5,0,1,102,1,1,2,1,4,5,2,20,6,22,4,2,4,12,1,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,2200,214,5,0,0,105,0,0,2,1,1,8,0,15,36,11,5,6,3,10,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2645,226,0,0,0,109,0,0,0,0,5,8,1,17,30,23,4,2,6,16,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3089,242,3,0,0,122,0,0,0,0,2,16,1,13,34,27,1,0,1,14,0,0,1,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
190,3534,281,38,0,0,55,0,0,0,0,3,5,0,34,51,76,2,6,3,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
