"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ericaceae","Picea","Quercus","Ulmus","Alnus","Ambrosia","Iva.annua","Myrica","Populus","Poaceae","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Larix","Ostrya.Carpinus","Salix","Asteraceae.subf..Asteroideae.undiff.","Humulus","Fraxinus.americana","Sarcobatus.vermiculatus","Corylus","Thalictrum","Onagraceae","Tsuga","Acer.rubrum","Castanea","Carya","Iva.xanthifolia","Rosaceae","Platanus","Acer.negundo","Juglans.cinerea","Shepherdia.argentea","Amorpha","Dalea.candida","Acer.saccharum","Celtis","Shepherdia.canadensis","Apiaceae","Caryophyllaceae"
1,-14,333,4,5,42,3,2,2,2,51,5,2,11,6,1,3,1,4,11,177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,48,354,1,7,39,2,1,5,1,48,1,0,27,8,0,0,3,7,34,161,0,2,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,126,343,2,4,31,2,2,3,1,57,1,0,24,3,0,0,3,2,28,175,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,282,347,2,6,37,1,4,7,1,50,3,0,32,1,0,2,2,5,18,166,0,2,0,1,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,438,322,1,4,36,0,1,0,2,53,3,0,29,3,0,1,0,4,18,164,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,905,344,1,2,39,1,8,2,1,59,1,1,27,8,0,3,2,3,33,148,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1217,379,3,3,64,0,2,2,1,74,3,0,29,0,0,1,0,3,32,149,1,7,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1529,355,2,9,55,2,14,1,1,37,4,0,34,2,0,0,2,7,24,144,2,7,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1840,375,1,4,65,0,7,0,1,52,5,3,28,4,0,0,0,3,42,151,0,4,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2152,326,3,2,44,0,3,4,0,32,4,0,31,1,0,0,2,3,55,129,0,6,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
