"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Taxus","Ulmus","Abies.balsamea","Acer.saccharum","Castanea.dentata","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Platanus.occidentalis","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ericaceae","Fraxinus.pennsylvanica.type","Populus.balsamifera.type","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Saxifraga.cernua.type","Poaceae","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Tilia","Juglans.cinerea","Pinus.resinosa.type","Polygonaceae","Acer.saccharinum","Corylus.cornuta","Salix","Ranunculaceae.undiff.","Thalictrum","Viburnum.lentago","Ostrya.Carpinus","Fabaceae","Carya.ovata","Cornus.rugosa","Shepherdia.canadensis","Onagraceae","Caryophyllaceae","Dryas","cf..Oxyria.digyna","Asteraceae.subf..Cichorioideae","Brassicaceae","Nemopanthus.mucronatus","Saxifragaceae.undiff."
354,10650,481,0,0,0,0,133,0,200,3,0,1,2,9,33,16,18,1,2,23,0,1,0,4,7,0,0,0,19,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,11080,583,0,0,1,0,280,0,126,3,1,0,2,14,23,63,5,0,2,2,0,0,1,3,10,0,0,0,27,0,2,7,0,2,0,0,0,0,1,0,0,0,0,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
374,11511,580,0,0,0,0,376,1,95,5,0,0,0,24,9,9,8,0,1,2,0,0,2,13,7,0,0,1,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
384,11941,614,0,0,0,5,23,4,284,28,0,0,0,9,9,116,10,0,4,0,0,0,0,17,8,0,0,2,3,0,0,6,0,19,0,0,7,1,2,0,0,0,0,0,0,52,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
394,12371,634,0,0,1,6,22,12,240,49,1,1,0,11,26,23,9,0,2,1,0,0,1,13,11,0,0,1,9,1,1,2,0,7,0,0,18,0,3,0,0,0,0,0,0,131,0,0,0,0,1,0,0,8,0,2,21,0,0,0,0,0
404,NA,753,0,0,1,5,27,11,92,303,1,0,0,3,34,5,7,0,4,0,0,0,3,34,6,0,0,0,9,0,0,0,16,0,0,0,74,3,24,0,0,0,0,0,1,54,3,0,0,0,4,0,0,0,2,12,14,1,0,0,0,0
414,NA,487,0,0,1,7,24,25,48,136,0,1,0,12,41,5,1,0,1,0,0,1,0,18,12,0,0,1,11,0,0,0,4,1,1,0,32,2,4,0,0,0,0,0,1,32,1,2,0,0,0,1,0,0,0,3,0,56,2,0,0,0
424,NA,565,0,0,0,9,28,38,44,136,0,2,0,16,45,2,6,0,1,0,0,0,0,41,35,0,0,0,13,0,1,0,11,0,0,0,40,2,3,1,0,0,0,0,0,24,5,4,0,0,2,0,0,0,0,8,0,47,0,1,0,0
434,NA,415,0,0,0,4,12,19,14,155,0,0,0,27,15,0,0,0,0,0,0,0,0,69,4,0,0,0,16,0,0,0,1,0,0,0,19,1,10,0,0,0,0,0,0,17,0,1,4,0,2,1,0,0,0,13,0,7,4,0,0,0
444,NA,490,0,0,0,6,8,8,19,157,0,0,0,36,19,0,1,0,0,0,0,0,0,58,0,0,0,0,17,0,1,0,7,0,0,0,30,3,26,0,0,21,0,0,0,13,1,0,4,0,1,0,0,0,0,21,0,24,4,0,1,4
454,NA,693,0,0,0,4,1,5,47,227,0,1,0,82,27,0,3,0,2,1,0,0,0,46,0,0,0,0,27,0,1,0,28,1,1,0,34,0,37,0,0,41,0,0,0,24,0,0,4,0,7,1,0,0,0,26,0,9,6,0,0,0
464,NA,471,0,0,0,4,2,6,12,127,0,0,0,56,15,0,2,0,5,0,0,1,0,36,0,0,0,0,17,2,0,0,8,0,1,0,36,0,25,0,0,74,0,0,0,12,1,0,1,0,3,0,0,0,0,14,0,3,8,0,0,0
480,NA,340,0,0,0,2,1,2,20,85,0,2,0,96,9,0,6,0,0,0,0,0,0,9,0,0,2,0,26,0,1,0,3,0,0,0,20,0,2,0,0,35,0,0,0,7,1,0,2,0,1,1,0,0,0,0,0,3,2,0,0,2
510,NA,514,0,0,0,5,5,6,27,102,0,0,0,90,20,0,7,0,6,0,0,0,0,15,0,0,1,0,42,1,0,0,0,0,0,0,19,1,8,0,0,69,0,0,0,87,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
540,NA,411,0,0,0,11,2,7,15,39,0,1,0,157,8,0,3,0,6,10,1,0,0,12,0,0,0,0,37,1,0,0,0,0,0,0,14,0,2,2,0,77,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0
