"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Ostrya.Carpinus","Picea","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Myrica","Poaceae","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Fagus","Larix","Salix","Ulmus","Populus","Corylus","Cupressaceae","Platanus","Thalictrum","Iva.xanthifolia","Fraxinus.nigra","Ericaceae","Fraxinus.americana","Carya","Juglans.cinerea","Acer.rubrum","Apiaceae","Iva.annua","Rosaceae","Tilia","Sarcobatus.vermiculatus","Juglans.nigra","Amorpha","Vitis","Xanthium","Onagraceae","Ranunculus"
1,-28,0.0308219178082192,0.0308219178082192,0.373287671232877,0.0136986301369863,0.00684931506849315,0.00342465753424658,0.126712328767123,0.0308219178082192,0.00684931506849315,0.00684931506849315,0.00342465753424658,0.065068493150685,0.0719178082191781,0.00342465753424658,0.00342465753424658,0.00684931506849315,0.0924657534246575,0.123287671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-6,0.02,0.0166666666666667,0.383333333333333,0.01,0,0.00333333333333333,0.153333333333333,0.0366666666666667,0.00333333333333333,0.00666666666666667,0.00333333333333333,0.0533333333333333,0.06,0,0.00666666666666667,0.00333333333333333,0.0366666666666667,0.17,0.00666666666666667,0.00666666666666667,0.00333333333333333,0.01,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,17,0.0166666666666667,0.02,0.4,0.00666666666666667,0,0.00333333333333333,0.123333333333333,0.0466666666666667,0,0.0133333333333333,0,0.0766666666666667,0.0333333333333333,0,0.00666666666666667,0,0.07,0.113333333333333,0.00666666666666667,0.01,0,0.01,0,0.01,0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,41,0.020066889632107,0.0100334448160535,0.441471571906354,0.00668896321070234,0,0.00668896321070234,0.167224080267559,0.020066889632107,0,0.00334448160535117,0.00668896321070234,0.0468227424749164,0.0167224080267559,0.00334448160535117,0,0.00668896321070234,0.0133779264214047,0.177257525083612,0.0100334448160535,0.00334448160535117,0,0.0267558528428094,0,0.00334448160535117,0.00334448160535117,0,0,0,0,0.00334448160535117,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,65,0.02,0.0166666666666667,0.366666666666667,0.00333333333333333,0.00333333333333333,0,0.156666666666667,0.0233333333333333,0,0.01,0.00333333333333333,0.0466666666666667,0.02,0,0.00333333333333333,0.00333333333333333,0.113333333333333,0.166666666666667,0,0.0166666666666667,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00666666666666667,0,0,0,0,0,0,0.00666666666666667,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
50,88,0.0466666666666667,0.0166666666666667,0.37,0,0,0.0166666666666667,0.153333333333333,0.03,0,0.00333333333333333,0.00333333333333333,0.0566666666666667,0.02,0,0.00333333333333333,0.01,0.0733333333333333,0.146666666666667,0.00333333333333333,0.0133333333333333,0,0.01,0.00666666666666667,0,0.00666666666666667,0,0,0,0.00333333333333333,0,0.00333333333333333,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0
60,213,0.0266666666666667,0.0166666666666667,0.436666666666667,0.00333333333333333,0.00333333333333333,0,0.146666666666667,0.0233333333333333,0,0.01,0,0.06,0.00333333333333333,0,0,0,0.0866666666666667,0.156666666666667,0,0.00666666666666667,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0
80,666,0.0166666666666667,0,0.483333333333333,0,0.01,0,0.113333333333333,0.0233333333333333,0,0.0166666666666667,0.00333333333333333,0.08,0,0.00666666666666667,0.00333333333333333,0.00333333333333333,0.0366666666666667,0.173333333333333,0.00333333333333333,0.00333333333333333,0,0.01,0,0,0.00333333333333333,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0
100,1118,0.0333333333333333,0.01,0.403333333333333,0,0.00666666666666667,0.00666666666666667,0.136666666666667,0.0266666666666667,0,0.00666666666666667,0,0.0833333333333333,0.00666666666666667,0,0.00333333333333333,0.0166666666666667,0.0466666666666667,0.19,0,0.00333333333333333,0.00666666666666667,0.01,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1571,0.0366666666666667,0.01,0.413333333333333,0.00333333333333333,0,0.00333333333333333,0.123333333333333,0.02,0,0.00666666666666667,0.00333333333333333,0.0666666666666667,0.00333333333333333,0.0133333333333333,0,0.00333333333333333,0.08,0.143333333333333,0,0.00666666666666667,0,0.0366666666666667,0,0,0.01,0,0,0,0,0,0.00666666666666667,0.00333333333333333,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0
140,2023,0.0266666666666667,0.0166666666666667,0.38,0,0.00333333333333333,0.00333333333333333,0.113333333333333,0.0333333333333333,0,0,0.0133333333333333,0.08,0.00333333333333333,0,0.00333333333333333,0,0.113333333333333,0.17,0.00333333333333333,0.01,0,0.01,0,0,0.00333333333333333,0,0,0,0.00666666666666667,0,0.00333333333333333,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0
160,2476,0.0332225913621262,0.00664451827242525,0.46843853820598,0,0,0,0.162790697674419,0.0166112956810631,0,0.0132890365448505,0.00332225913621262,0.0730897009966777,0.00332225913621262,0,0.00332225913621262,0,0.0730897009966777,0.119601328903654,0,0.0166112956810631,0,0,0,0,0,0,0,0,0,0,0,0,0.00332225913621262,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0
180,2928,0.03,0.00666666666666667,0.436666666666667,0,0.00333333333333333,0,0.15,0.01,0,0.0133333333333333,0,0.0466666666666667,0.00666666666666667,0,0.01,0.00333333333333333,0.113333333333333,0.143333333333333,0,0.00666666666666667,0.00333333333333333,0.01,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3381,0.0366666666666667,0.00333333333333333,0.526666666666667,0,0,0,0.0833333333333333,0.0133333333333333,0,0,0.00333333333333333,0.07,0.0133333333333333,0,0,0.01,0.0933333333333333,0.0733333333333333,0.00333333333333333,0.01,0,0.00666666666666667,0.0133333333333333,0,0.0233333333333333,0,0,0,0.00666666666666667,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
