"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Ericaceae","Picea","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Populus","Poaceae","Rosaceae","Ambrosia.type","Herbs.undiff.","Sarcobatus.vermiculatus","Fraxinus","Myrica","Larix","Thalictrum","Ulmus","Abies","Corylus","Quercus","Shepherdia","Elaeagnus","Trees.undiff.","Ostrya.Carpinus","Polygonaceae.undiff.","Rumex"
0,11,668,15,233,6,1,2,90,11,5,101,199,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,275,228,8,114,2,0,1,41,3,1,51,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,539,366,11,82,1,1,1,58,3,0,51,155,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,803,259,6,75,1,1,3,33,2,1,37,96,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1067,323,7,77,0,0,3,53,3,1,51,119,1,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50,1331,299,8,81,3,1,5,36,1,0,49,111,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1595,372,15,70,2,5,6,44,2,3,56,158,3,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
70,1859,377,8,105,1,0,6,53,2,0,59,142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2123,407,8,81,0,1,5,47,2,3,46,211,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2387,339,9,86,1,0,1,46,6,1,52,133,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
100,2651,326,0,66,0,1,3,56,2,0,36,158,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2915,278,7,53,0,1,5,50,1,1,22,129,0,2,0,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
120,3179,327,9,59,1,2,1,41,5,1,50,154,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,3443,367,6,64,1,2,2,50,0,0,62,177,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
140,3707,393,15,68,1,1,2,48,3,0,68,182,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
150,3971,399,8,71,0,0,3,49,2,2,59,200,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4235,309,5,65,1,2,0,42,2,0,45,140,1,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
170,4499,304,4,81,3,1,1,43,2,6,40,120,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
180,4763,326,5,98,1,0,0,23,1,3,89,101,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
190,5028,473,14,107,2,2,0,26,2,1,107,205,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
