"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cephalanthus","Cornus.canadensis","Corylus","Cupressaceae","Cyperaceae","Dryas","Dryopteris.type","Ericaceae","Fabaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lycopodium.type","Morus","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Pteridium","Quercus","Rhus","Rumex","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis","Zea.mays"
1,-16,1,0,0,6,0,17,6,71,0,9,5,0,80,0,1,8,0,0,0,0,0,8,2,0,7,0,0,14,2,0,5,0,5,0,0,0,1,0,0,0,0,0,8,9,76,17,2,1,38,2,0,0,50,0,0,3,0,0,0,0,0,0,3,8,0,29,2,0,0,1
10,14,5,0,0,9,0,17,3,76,0,2,4,0,65,0,0,4,0,1,1,0,0,8,7,0,5,0,2,10,8,1,13,0,0,2,0,0,1,0,0,0,0,0,14,14,202,19,0,0,50,14,0,2,53,0,0,1,0,0,0,2,0,0,2,10,0,27,2,0,0,0
20,47,2,0,0,17,0,20,3,67,3,4,4,0,73,0,0,4,0,1,0,0,0,12,6,0,7,0,1,10,2,3,11,0,1,1,0,0,3,0,0,1,2,0,22,10,120,25,0,0,39,19,2,4,44,0,0,1,0,0,0,0,0,0,2,18,0,26,11,0,0,0
30,80,0,0,0,17,0,11,0,18,0,2,4,1,71,0,0,4,0,0,0,0,0,4,0,0,6,0,0,25,5,0,7,0,0,1,1,0,1,0,0,1,0,0,15,6,105,14,0,0,8,4,4,0,77,0,0,0,0,0,0,1,0,0,5,24,1,19,2,0,0,0
40,113,2,0,0,8,0,18,0,7,0,1,1,0,75,0,0,3,0,0,0,0,0,3,3,0,2,0,0,20,12,0,2,0,0,2,0,0,3,0,0,0,0,0,17,6,115,6,0,2,6,0,0,0,78,0,0,0,0,0,0,1,0,0,2,37,0,18,0,0,0,0
50,289,0,0,0,16,0,5,1,1,0,0,0,0,54,0,0,5,1,0,0,0,1,1,0,0,1,0,0,25,10,0,3,0,1,4,1,0,2,0,0,0,1,0,14,11,105,2,0,2,0,0,0,2,94,0,0,0,0,0,0,1,0,1,2,52,0,22,0,0,0,0
60,608,1,0,1,18,0,4,0,1,0,0,2,0,77,0,0,7,0,1,0,0,0,5,4,0,0,0,0,26,8,0,10,0,0,2,0,0,5,0,0,0,0,0,12,9,86,7,0,0,2,3,1,2,95,0,1,0,0,0,0,0,0,2,3,34,0,23,2,0,0,0
70,927,0,0,1,29,0,4,1,3,0,2,1,0,62,0,0,3,0,2,0,0,0,5,1,0,1,0,0,43,13,0,9,0,0,4,0,0,3,0,0,0,0,0,18,3,62,10,0,2,0,0,1,4,90,0,0,2,0,0,0,0,0,1,3,42,0,23,0,0,0,0
80,1246,0,0,0,17,0,6,0,0,0,0,1,0,82,1,0,1,0,0,0,0,0,0,4,0,1,0,0,72,15,0,7,0,0,3,0,0,1,0,0,0,1,0,19,3,67,9,0,2,0,1,2,1,95,0,0,1,0,0,0,0,0,0,2,30,0,21,1,0,0,0
90,1565,1,0,0,27,0,7,0,0,0,0,1,0,73,0,0,8,0,0,0,0,0,3,1,0,0,0,0,56,19,0,4,0,0,0,0,0,1,0,0,0,1,0,15,4,58,3,0,0,0,0,2,0,85,0,2,2,1,0,0,2,0,1,3,29,0,21,1,0,1,0
100,1884,3,0,0,37,0,10,0,0,0,0,2,0,52,0,0,2,0,0,0,0,0,0,0,0,2,0,0,66,14,0,5,0,0,3,0,0,2,0,0,0,0,0,5,7,97,6,0,3,1,0,0,1,77,0,0,0,0,0,0,0,0,0,8,28,1,27,0,0,0,0
110,2203,1,0,0,18,0,4,0,1,0,0,1,0,65,1,0,7,0,0,0,0,0,0,3,0,0,0,0,48,21,0,4,0,0,0,0,0,3,0,0,0,1,0,13,3,66,6,0,3,0,0,1,0,92,0,0,0,0,0,0,0,0,0,4,34,0,29,0,0,0,0
120,2522,1,1,0,28,2,2,0,2,0,1,1,0,69,0,0,12,0,1,0,0,0,1,4,0,2,0,0,48,13,0,4,0,1,2,0,0,1,0,0,0,1,0,18,3,39,2,0,3,1,0,2,2,129,0,1,0,0,0,0,0,0,0,7,33,0,27,1,0,0,0
130,2841,0,0,1,28,1,3,0,2,0,0,0,0,63,0,0,4,0,0,0,0,0,0,1,0,0,0,0,77,11,0,20,0,0,0,1,0,0,0,0,0,1,0,15,0,29,4,0,1,0,0,3,4,98,1,1,0,0,0,0,0,0,0,6,25,0,37,4,0,0,0
140,3160,0,0,0,20,0,9,0,0,0,1,0,0,58,0,0,8,0,0,0,1,2,0,2,0,4,1,0,68,15,0,19,0,0,0,0,0,1,0,0,0,0,0,16,3,49,8,0,4,0,0,4,0,61,0,2,0,0,0,0,1,0,0,9,31,2,39,0,0,0,0
150,3479,2,0,0,33,0,7,1,2,0,3,0,0,73,0,0,2,0,0,0,0,0,0,1,0,0,0,0,101,11,0,4,0,0,1,0,0,2,0,0,0,0,0,19,0,29,7,0,1,1,0,2,1,49,0,0,1,0,0,0,0,0,1,14,15,1,48,1,0,0,0
160,3798,1,1,1,23,0,4,1,0,0,1,0,0,83,0,1,3,0,0,0,0,1,0,1,0,1,0,0,86,13,0,6,0,0,1,0,0,1,0,0,0,0,0,14,1,33,5,0,2,0,0,2,0,55,0,3,1,0,1,0,0,0,0,7,31,0,24,3,0,1,0
170,4117,0,0,0,36,0,6,1,1,0,1,0,0,63,0,0,5,0,0,0,0,0,0,2,0,0,0,0,85,28,0,3,0,1,0,0,0,2,0,0,0,0,1,14,3,38,6,0,2,0,0,3,0,53,0,2,1,0,0,0,0,0,0,9,27,0,26,1,0,0,0
180,4436,1,0,1,36,0,6,0,3,0,3,1,0,66,0,0,10,0,0,0,0,0,2,1,0,5,0,0,84,13,0,9,0,0,2,1,0,1,0,0,0,0,0,11,4,46,7,0,0,1,2,1,0,77,0,1,0,0,0,0,1,0,0,13,28,0,43,0,0,0,0
195,4914,0,1,1,47,0,6,0,0,0,1,0,0,68,0,0,7,0,0,0,0,0,5,1,0,1,0,0,80,9,0,12,0,0,2,0,0,1,0,0,0,0,0,13,1,56,9,0,1,0,0,0,2,97,0,0,0,0,0,0,0,0,0,12,23,0,45,3,0,0,0
200,5074,0,0,1,27,0,4,2,2,0,0,0,0,70,0,0,7,0,0,2,0,0,1,0,0,1,0,0,59,15,0,2,0,1,6,0,0,0,0,0,0,0,0,24,3,34,8,0,3,0,0,0,0,97,0,0,0,0,0,0,0,0,2,12,20,0,31,1,0,2,0
210,5319,0,0,0,31,1,4,1,1,0,1,1,0,54,0,0,7,0,0,0,0,0,0,1,0,0,0,0,70,25,1,1,0,0,4,0,0,3,0,0,0,0,0,11,3,40,2,0,6,0,0,1,0,50,0,1,0,0,0,0,1,0,0,17,121,0,42,1,0,0,0
220,5565,0,0,0,39,0,3,0,2,0,2,1,0,63,0,0,12,0,0,0,0,0,1,1,0,2,0,0,65,21,0,2,0,0,5,0,0,3,0,0,0,0,0,7,3,40,6,0,6,0,0,0,0,73,0,0,0,0,0,0,0,0,0,11,85,0,26,2,0,0,0
230,5811,0,2,1,36,0,5,1,2,0,0,0,0,38,0,0,11,0,0,0,0,0,0,0,0,0,0,0,79,29,0,8,0,1,8,1,0,5,1,0,0,0,0,12,3,33,6,0,3,0,0,1,4,75,0,2,0,0,0,0,1,0,0,10,80,0,36,1,0,0,0
240,6056,0,2,1,32,0,2,0,0,0,2,0,0,38,0,0,2,0,0,0,0,1,0,3,0,1,0,0,58,15,0,3,0,0,1,0,0,1,0,0,0,1,0,12,3,45,7,0,10,0,0,1,2,64,0,0,1,0,0,0,0,0,0,17,77,0,40,2,0,0,0
250,6302,0,0,0,37,0,6,0,0,0,0,0,0,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,62,12,0,4,1,0,1,0,0,2,0,0,0,0,0,12,1,53,3,0,7,0,0,1,0,50,0,0,1,0,0,0,1,0,0,7,96,0,32,0,0,0,0
260,6547,1,0,0,44,0,5,0,0,0,0,1,0,38,0,0,2,0,1,0,0,1,0,0,0,0,0,0,53,20,0,5,0,0,0,0,1,2,0,0,0,1,0,15,3,56,12,0,10,0,0,0,0,63,0,1,0,0,0,0,0,0,0,12,62,0,34,3,0,0,0
270,6793,0,0,0,22,1,0,1,0,0,0,0,0,34,0,0,3,0,0,0,0,3,2,5,1,2,0,0,73,8,0,3,0,0,1,0,0,0,0,0,0,0,0,15,3,80,15,0,11,0,0,2,0,70,0,0,2,0,0,0,1,0,0,9,59,0,23,0,0,0,0
280,7038,0,0,0,32,0,2,0,0,0,0,0,0,34,0,0,3,0,0,0,0,1,1,2,0,4,0,0,54,11,0,3,1,0,2,0,0,0,1,0,0,1,0,8,2,104,13,0,2,2,1,2,0,68,0,0,0,0,0,0,0,0,0,15,33,0,33,1,0,0,0
